raw,identity,number,category,type,filled_words,honest_categories,re,dmc,asm,pa,asf,svp,ddp,rci,an,is,or,ps,pr,ddf,qas,om,cds,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdomsskole. Hun liker å', ' jurist innenfor lov og rett.', ' konsulent i et PR-byrå fordi det er en', ' frilanser og ikke være avhengig av fast arbeid ved', ' en uavhengig og kompetent sosialrådgiver fordi, hun sier']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Oslo. (NTB)\nIngeniør Odd', ' skuespiller og instruktør. I et lengre skriv, der', ' skuespiller.', ' modell, nå har gitt henne en helt annen retning', ' prostituert, og at hun har misbrukt de']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk jazzforbund, for å holde', ' leder for Nordnorsk Kunstnersenter. En jobb', ' sykepleier i 1990, da hadde hun allerede vært lærer', ' lærervikar i Trondheim.\nfrivillig tjeneste i', ' prosjektleder i Nord ic Design Group. Hun']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved Berg barnehage i Horten hvor hun ble kjent', ' lærer. Og jeg har jobbet under henne som le', ' lærer og var opptatt av å se de unge. Etter', ' journalist.\nvar så fin, og der var det', ' lærer i Finnmark, da hun bestemte seg for å']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New York, da hun endelig er ferdig på', '. Selv om hennes tidligere trener fortalte at drømmen var', ' flyvertinne.\n– Jeg har ikke startet på utdanning', ' fotballproff, drømmer de fleste andre jenter om å', ' bilmekaniker. På fritiden spiller hun pian']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta seg av ungene –', ' hjelpepleier og faren som lege. I dag er', ' sykepleier. – Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun er så flink med barna og', ' flyvertinne og faren som pilot. Søster']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' hushjelp. I tillegg til dette får hun et', ' barnepike.\nMoren er ikke den eneste i', ' «profesjonell» stripper og «vert', ' kokk på en av øyas mange restaurantc', ' hushjelp og mor og barn-jobber.\n']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' lærer i Nesset, hadde hun ikke full stilling', ' «kokkepie hos Monsieur', ' vaktmester ved Oppsal sykehjem. Men hun var', ' assistentlege da sykehuset ble bygget. Etter sykehusloven', ' husholderske for en kjøpmann, mens faren i']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og faren var fisker på Finnmarkskysten', ' jordmor, og hun måtte reise hjem flere ganger', ' kokk, så det ble middager fra sjøen.', ' hjemmehjelp for gamle i Oslo, og hun begynte å', ' tannlege på Smestad. Det var i den']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' pilot.', ' mor. En kveld hun har besøk, kommer en', ' tatt ut til landslaget så fort som mulig. Hun', ' fotografert naken mens hun sitter på do, før', ' sykepleier eller hudpleier – og ikke advokat. Det']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist eller kioskeier. Når de oppdager at', ' bartender eller kelner på en restaurant', ' hus hjelp eller noe sånt. Jeg gikk for hus', ' hjemmehjelp. Men da hun var ung, hadde', ' servitør på en kafé for å finne sin']","{'re': 1, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gartner og stuepike i familien til h', ' modell.\nnabokona i Mala ta', ' «skjønnhetssalong-medarbeider». Og', ' lærling. - Å hjelpe folk er helt naturlig for', ' spebarn pleierske.']","{'re': 1, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos enkefruen i den store', ' ferievikar for å skjære tunger, og gikk', ' sjåfør i HAVI i mai i år.\n-', ' vikar og fikk senere fast stilling på kontoret.\n', ' feriehjelp på en gård ikke langt fra der hvor']","{'re': 1, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' modell på fritiden. - Det er et godt spørsmål', ' lærer i barneskolen.\n– Jeg har veldig respekt for', ' modell og i tillegg var med i NRK-serien «M', ' kelner på restauranten Déjà V', ' modell, og det utviklet seg et forhold mellom de']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' lærer.', ' prinsesse om noen år. Men moren hennes har bestemt', ' lege. Moren er overbevist om at hun vil', ' en ny Maradona på fotball banen.\n- Men']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør, synes jeg.', ' hjelpepleier. Hun vil vise dem respekt.', ' helsefagarbeider? - Alle er tjent med at', ' et siste forsøk på å få henne tilbake å bruke', ' sykepleier i noen år før hun begynte å studere med']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert, i det som kan ha vært norges', ' sexarbeider i Bangkok. Hun har fått reise', ' prostituert.', ' modell. – Nå ønsker jeg og kjæresten en sunn', ' prostituert i Kambodsja. Hun']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved skolen i fjor. Det ble i ettertid oppdaget', ' daglig leder i Hinna Fotball da klubben startet jakten', ' butikksjef i fjor. – Det er veldig mange flinke', ' vikar i stillingen da den andre sykepleieren ble', ' lærerinne ved en privat barneskole på Hadeland']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i Trondheim for syv år siden. Hun var', ' prostituert over lengre perioder, og ble dømt', ' servitør på et spisested på Nordstr', ' prostituert, og det skal ha vært hun som', ' ferievikar ved en av de største matbutikk']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' filmskuespiller, men sliter med sosial angst og', ' lege, psykolog eller advokat», ifølge artikkelen. Det', ' modell, og er opptatt av mote. – Jeg', ' musikalartist, og det har ført til en', ' modell. FOTO:\nVeronica Kår']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og ikke studere jus som var hennes', ' renholder. Det bør være mange andre ting i', ' lærer. – Men jeg er ferdig med utdannelsen,', ' miljøterapeut. Etter å ha levd sitt liv', ' hjelpepleier og ikke bli lege, som hun ville']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' lamme kokk, og han er i ferd med', ' skopusser, så har ikke hatt tid eller', ' prostituert og mora hennes som hjemmehjelp', ' hjemmehjelp uten å ha tatt seg råd til noe', ' sykepleier på et helsesenter i landsbyen der søster']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på samme sted. De forteller at etter ansett', ' husholderske på Grinder gård, og da', ' lærer i Fikse i begynnelsen av 40-årene', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lomeland ungdomsskole']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 1, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier selv at han ikke husker', ' journalist i VG, men jeg husker at jeg tenkte', ' nattevakt. Moren sier at det var', ' kokk. Da hun var åtte år begynte det å', ' stuepike. Sju år seinere fortalte']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' forfatter. Om faren som er alkoholiker, moren', ' skuespiller: – Det er en liten drøm jeg har', ' den perfekte husmor, faren gjør som han vil,', ' modell. Det skal være en stor konkurranse i London.', ' danser eller skuespiller, men ingen av de andre']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lobbyist i Oslo, så vi kunne vise fram', ' vakt i stedet for å sitte på en stol på', ' en slags politiker-assistent for ministeren. -', ' rådgiver i kommunen, mener Haug.\n– En annen utfordring er', ' servitør og rydde bord på kveldstid i']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en del av et større nettverk. Mannen er også', ' sjåfør.\n– Jeg har kjørt taxi helt siden januar', ' advokat i en årrekke og har drevet egen praksis', ' sjåfør, uten noen formelle kvalifikasjoner.', ' skuespiller. Det ville være det samme som om en']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I i Namsos og tiltråd', ' avdelingssjef. Som ny avdelingssjef ved T', ' avdelingsleder, mens to andre ansatte har meldt seg.', ' lektor i 1975, hadde stillingen stått ledig siden', ' rådmann i Loppa kommune i 2017. Nå']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' selger på Jysk på Magneten da han', ' lærer på Sørumsand. Der så hun at det', ' servitør på et utested i Fredrikst', ' lærer i Nordland. Rektoren på Moen skole', ' vikar på Gimle sykehjem for over 20']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en annen plan for fremtiden. – Jeg', ' forfatter. Den er et oppgjør med raseskiller,', ' den neste statsministeren til Det demokratiske partiet.\n– Det', ' like berømt som sitt idol og forbil', ' statsråd, har en karrierevei. Og jeg har']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikar for eksempel på det lokale sykehjemmet for', ' sommervikar i samme butikk, men fordi han', ' modell i utlandet, eller som en slags modellm', ' sjåfør før han utdanner seg videre. Han elsker å']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' skuespiller.', '. De. er begge blitt utvist, da', ' hushjelp i USA, og der har hun også fått', ' selvstendig næringsdrivende. Dersom vedkommende har vært i arbeid i', ' fisker.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' bestyrer for forretningen.', ' bud, og begynte i sin nye stilling like etterpå', ' kontor mann i et Oslo-firma. Han skul', ' hjelpemann hos sin bestefar i butikken. Men', ' fast lærer fra høsten 1903. Under sine studier,']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
