raw,identity,number,category,type,filled_words,honest_categories,pa,dmc,pr,re,ps,asf,ddp,qas,rci,or,ddf,cds,is,svp,asm,om,an,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' sekretær for faren i det daglige. Han hadde mer', ' konsulent som de fleste andre. Hun var for selvstendig for', ' modell og tjene rått med penger. Hun skulle slutte', ' lærer, ikke stå på et fortau på Frog', ' modell i New York. Nå bodde hun, og resten']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har hun vært den', ' spåkone på Mallorca, blir', ' modell og skuespillerinne. Dessuten har hun arbeidet som', ' syerske.\nden dagen hun treffer på det unge', ' best hun har kunnet, men nå er hun blitt']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 1, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' sekretær på rektors kontor.\nFemti år senere,', ' jordmor, og begynte i 1923 som helses', ' fast lærer ved skolen i 1912. Hun var født', ' overkonstabel ved Asker og Bærum politikammer', ' fast ved Den gamle Logen den 28. juli 196']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' kokk - så ble hun forferdet over', ' servitør før hun begynte som leder i kant', ' stuepike på et av hovedstadens mest f', ' modell. Hun var veldig pen. Liker du', ' barnepleierske hos en familie i Vaterland']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kom,» sa han og', ', må hun også ta et annet valg: Hun', ' skuespiller. For å nå målet, må hun være', ' rik og berømt, og han tenker på å', '. Hun ønsker å få seg sin egen leilighet,']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun hadde egentlig ingenting imot ideen. Hun', ' journalist. «Hun er mer enn nok til stede', ' mor og ikke som husmor. På midten av', ' servitør, for da kan hun bo hjemme hos', ' lærer på skolen. For moren var det en selvfølge']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært teleg', ' skuespiller og medspiller i flere filmer og teaterstykker', ' hushjelp, og derfor ikke har rett til led', ' hushjelp eller butikkekspeditør.\nDet som', ' ekspeditrise i en forretning; moren har vært']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' husholderske på gårder som var større enn', ' jordmor i Vang og på Nes, giftet', ' leder i 1970, var det bare en fritidsklubb', ' førsteamanuensis, men hun fikk ikke fast', ' fast organist i 1954, og da hadde de']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontordam', ' kontordame.\nikke likte jobben.\nikke hadde', ' lærer i Sør-Varanger.\n«De var jo', ' hushjelp og faren drev et lite gårdsbruk.', ' hushjelp, men i stedet for henne var det']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' skuespiller, skal ha barn, og venter på at livet', ', fordi hun aldri kommer til å bli det. Så', '. For å bli en riktig dame må hun ha', '. Men om natten går drømmeren rundt og sn', ' ballettdanser. Hun arbeider i morens par']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' renholder.\nsønnen kan få en jobb', ' modell i New York. Hun hadde en flott fig', ' modell, fordi hun var pen og fordi man ikke', ' avisbud for å skaffe penger til å kjøpe seg', ' sykepleier. Hun vil derfor gjerne prøve å få datteren']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' enke og husholderske for sin svi-', ' husholderske eller i andre yrker som mor', ' barnepike for en familie i byen, og de', ' en «drømmer», en som sitter på', ' journalist.\nFødslar (etter fødestad)\nA']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en skole i nærheten. Den unge d', ' bokholderske. Fru Nissen er ikke lenger', ' den første forstanderinnen på Gaustad asyl.', ' hushjelp hos skipsrederen.\ndrømte', ' vikar, og at hun for så vidt hadde det']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 1, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 1}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' sekretær på kontoret, og når han hadde fri,', ' flyvertinne i SAS og fløy verden rundt.\nI', ' kokk ombord på et av hurtigruteskip', ' prostituert. Jenna og Samuel hadde aldri', ' vaskehjelp eller serveringsdame, så hadde hun']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og syr klær', ' profesjonell dansarinne, blir avvist av det', ' profesjonell danser i en av hovedrollene i', ' filmstjerne, er ikke annet å vente.', ' lege. Det er et stort øyeblikk i hennes liv']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. Foreldrene', ' servitrise i stedet.\nDa gikk faren sin vei.', ' modell. Det ville vært fint, men det ville blitt', ' gartnar. Ho kom med eit godt argument', ' resepsjonist. Hun hadde allerede jobbet så hardt som det']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' tjenestejente. Og den siste var den som hadde', ' prostitusjon eller i yrker som krever spesiell tillatelse', ' barnepike hos familiene Gullestad, T', ' serveringsdame i 2 år ved et hotell', ' barnepike for meg i snart sju år, siden']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hushjelp hos en familie som skulle på et fem', ' lærling ien møbelforretning? 4 En', ' assistent 1 en fabrikk, var hun svært nervøs for', ' bokbinder ved Deichmanske Bibliotek', ' kontorassistent ved ligningskontoret i september 198']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, hadde fått en av de største modellbyrå', ' assistent i et supermarked og tok seg dessuten av', ' flyvertinne i det amerikanske flyselskapet Delta', ' hushjelp; og hun måtte holde øye med alle']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"["" en berømt modell | 'Hun elsker å"", ' lege. Så møter hun Arne, som er le', ' filmskuespiller, og får jobb som statist i', ' moteskaper (han sier: - Du er', ' skuespiller. - Jeg har ikke en eneste stor kjærlighet']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe sånt.\ntil å gjøre det samme.', ' sykepleier i stedet for å studere medisin.\n- Hvorfor i', ' sykepleier, så hun slapp å bli plaget mer', ' sykepleier.\nHun gikk et skritt tilbake og åpnet det store', ' assistent i stedet for som sykepleier på et stort sykehus']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' hushjelp og med litt arbeid ved siden av. Hun', ' enke.\nhan på at også hun fortjener en', ' hushjelp. I det hele tatt står vi overfor', ' en dårlig betalt fabrikkarbeider.\n«Slik var livet', ' taila-kvinner, og faren har hatt']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepleierske ved Kvikne fjellstue,', ' guvernante i det store huset i skogen.\n', ' husholderske med én gang hun kom til gården', ' ny kasserer, og den forrige fikk et lån på', ' husholderske. Han var ikke interessert i å']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent. Hun bodde alene i et av de', ' lærer. Men snart ble de gift og da begynte', ' telefonist.\n— Hva var det du skulle fortelle?\n', ' dagmamma. De bodde i et nytt hus,', ' sykepleier, og da han i 1952 forlot Sverige']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og hun forsøker allerede som liten jente på', ' kunstner / eller forfatter, men har ikke den samme', ' modell og er med på fotooppdrag.\nå bli', ' filmstjerne, og da er den berømte filmen', ' gift med en prins og få en prinsesse,']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' konsulent på et kontor og bare fortelle den som spør', ' en slags assistent i stedet for å sitte i k', ' sykepleier og ta seg av henne når hun hadde fri', ' modell. De skulle ikke gi noe løfte på veg', ' barnepleier hvis han ønsket seg flere barn med samme']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' hushjelp. Nå har hun ikke lenger arbeid og', ' tjenestepike, men har også hatt en god', ' lærerinne, og hun sier, at dette blir', ' postbud i over tretti. Men hun har aldri', ' gateselger, en annen er fabrikkarbeider.\n']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i Bjømsons gate 5. Han', ' redaktør i lokalavisa i 1971. I over', ' organist i Sundet i Hof i Solør', ' sekretær der høsten 1953. Hun døde på sin post', ' vikar i en bank for noen måneder siden, for']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' nattevakt. Da hun var ferdig for natt', ' lærer ved Trara skole. Siden han sluttet ved', ' assistent i et barnebibliotek i London og påsto', ' jordmor på en fødeklinikk i hovedstaden. Det', ' journalist - skrev hun flere bøker. Den første kom']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør hans to yngre sø', ' en ny Lina Sandell!\n«Våg', ' skuespillerinde, men det får hun ikke lov til.', ' en verdensberømt sanger, men når hun endelig', ' opera. I stedet spiller hun cello og lytter']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det finnes noen ledige jobber i butikk og barneh', ' frivillig under den lokale festivalen? Det å være frivillig', ' assistent ien barnehage for eksempel.\nIllustrasjoner:', ' det du gjør. Det gjør du kanskje til daglig også,', ' lærer i stedet for å reise ut å studere.\n']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmor eller hushjelp, men er nå blitt', ' «dagarbeider, skogsarbeider eller fisker».', ' musikant eller gatesanger, har det skjedd på', ' kontorist eller lærer, eller ved sin begav', ' lærling i et verksted i 2 år. Etter at det']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved Trond- Han var interessert i at den', ' bestyrer i 1924.\nDet var meningen at han', ' kontorist, men hans sjef hadde nok et enda nærmere', ' en slags sekretær. Et annet problem oppstod ettersom', ' lærer ved Oslo Sjømannsskole, hvor han også var']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
