raw,identity,number,category,type,filled_words,honest_categories,pa,svp,qas,dmc,re,an,ddf,ps,is,or,asf,asm,rci,om,pr,ddp,cds,count
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Begge er enige om at det ville vært', ' journalist. Mødrene fra hans årskull', ' tolk og oversettaren - Jeg tenkte jeg ikke ville', ' syerske. Moren døde i barsel, og', ' sykepleier på et sykehus, og at de på grunn']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært alt fra', ' skuespiller og med å arrangere fester for rike forretningsmenn', ' prostituert i Oslo.\nnøkternt,', ' prostituert. Hun gir de to en god oppdrag', ' prostituert i Italia. Dommeren har imidlertid']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 1, 'ddp': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' husholder ske på gårder i distriktet, var', ' renholder i selskapet i 2013, mens datteren fikk sommer', ' leder i et nytt selskap der hennes bror er med', ' direktør ved sykehuset i Fredrikstad. De kom på', ' rektor ved Kuben videregående skole i 2013. Hun']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' frivillig, og de andre frivillige har de også blitt', ' tannlege frem til 2009, altså i godt voksen al', ' lærer i 30 år. – Hun snakket lite om jobben', ' hushjelp og renholder.\n- Når begynte du med', ' sykepleier og broren hennes hadde også tatt helsefaglig']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, har datteren planer om å bli politietter', ' forfatter. Men mens drømmen hennes blir mer og mer', ' en superstjerne i Bollywood. Hun har', ' profe sjonell danser, og ser for seg', ' profesjonell golfspiller og at hennes eldste datter også har']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' prostituert. Men det er bare en brøk', ' modell i flere reklamer. FOTO: SHUTTERST', ' prostituert for å betale narkogj el', ' lege i stedet for veterinær.', ' sykepleier.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en halvtids stripper for å finansiere mor', ' modell.\nhan henne opp til en av de største', ' barnepasser for en familie i London. Det var', ' en «drømme pike» i et', ' prostituert. På hjemmebane har hun en sønn']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' sosialsekretær. Der gikk hun inn med hele seg.', ' ekstrahjelp for et års tid.', ' butikkselger og kordame i butikken', ' vikarlærer ved skolen. Moren til jenta mener']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et barnehjem i India der barna', ' vikar. Hun så seg etterhvert selv som en viktig', ' kokk på et hotell og kunne tjene godt over', ' prostituert. Jenta og hennes mor ble tatt', ' kokke på en restaurant i Vancouver.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner allerede som P', ' profesjonell fotballspiller. Og det er ingen hvilken som', ' profesjonell danser, i motsetning til moren. Som et', ' film stjerne.\n- Hun er ikke opptatt av skuespill', ' lege. Det har også gjort inntrykk på henne. –']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. Det er', ' servitrise i stedet for som journalist, så', ' modell. Det ville vært artig å ha noe å', ' profe sjonell modell.\ntilbakemelding var', ' danser. Hun hadde allerede gått på Step In']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert, og at han har betalt henne 400', ' prostitusjon eller ikke, men at hun på grunn av', ' en halvprofesjonell pokerspil ler. For', ' stue pike på et hotell i hjembyen I', ' prostituert. Hun er blitt truet på livet av']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' rådmann. I løpet av våren og sommeren har', ' lærling i frisørforretningen i august 2004. En', ' assistent 1 en kolonlalforretning t Oslo,', ' hjelpepleier ved sykehuset fordi ledel sen trodde hun', ' kontorassistent ved ligningskontoret i september 198']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også med til Ålesund og hjalp', ' telefonvert inne på en av sexlinjene,', ' assistent i skolen.\nMannens forsvarer Kaj W', ' lærling på en restaurant i sentrum da politiet kom på', ' renholder på skolen og hadde tilgang til garderoben']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er mange modeller i', ' forfatter. Så ble hun plukket blant over 400 sø', ' en skigåer, og etter hvert vil vi', ' moteskaper.\n- Det hadde vært utrolig gøy.', ' brann mann - sammen med storesøster på seks år.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe innenfor helse.', ' tolk. Det er imidlertid lite sannsynlig at noen i', ' sykepleier, så også hun kunne bli millionær. Det', ' sykepleier.\nHun jobber på sykehjem og synes ikke det er', ' sykepleier. Da de kom til Bodø møtte de faren']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballkeeper for Totten hams dam', ' prostituert, en skisse av en overbær', ' hushjelp i Oslo. Da de ble sammen for fem', ' gate artist i Italias hoved stad, men da', ' stripper, og det er på en av strippe']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Koh ler. Hun var', ' den nye lærerinnen. Det sies at for å', ' avdelingsoverlege ved DPS Gjøvik. Den', ' ny toppsjef i den tyske bilgigant', ' vikar på et legekontor. I august 2021']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærer på skolen.', ' lærer. Men en dag endret alt seg da den', ' tolk for PST flere år tidligere. I februar 2014', ' fysioterapeut på det samme stedet.\njobbet sammen', ' sykepleiere ved sykehuset i Elverum de to første krig']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det blir en prøvelse for ham', ' filmstjerne.', ' modell og er allerede på god vei. Moren tar', ' filmregissør, mens deres mor helst vil fortsette', ' gift med en prins og brødrene håper å bli']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' politi ker på heltid. Det vil i så fall', ' en «vaktbik kje» i forhold til', ' lærer, var ikke dette svaret de ville ha, men', ' en lærer, sier en engasjert Sandven.', ' barnepleier hvis han fikk en datter. - Som']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' skuespiller i New York- siden slutten av 90-tallet', ' modell og har gått på audition for en rekke', ' fotomodell. Hun sier også at dette blir', ' modell, manne keng og ekspeditris', ' gateselger, en beskjeftigelse som']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, mens han seiv gikk', ' ny sjefredaktør i Fædrelandsvennen', ' skolestyrer ved Finneid skole. Da dette', ' rådmann. Den videre behandling førte til at hun', ' vikar i en barnehage. Barnehagen søkte om']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden hun sluttet der', ' jordmor på det lokale sykehuset etter å ha blitt', ' jordmor på en fødeklinikk.\n– Jeg ble spurt', ' lærer - men etter hvert ble han nødt til å']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør niesen. T', ' en ny Lotta Engberg eller Sissel K', ' skuespiller. For å bli det må hun lære seg', ' en verdensmester? - Jeg tror jeg kunne lykkes', ' filmstjerne. En dag får de sjansen.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en veldig dårlig løsning, og det er', ' frivillig under Ungdommens Kulturmøn string?', ' lærling i en bedrift for å få fullført utdannelsen', ' håndverker eller gartner i den mest produktive', ' ufaglært innen for eksempel pleie eller but']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' servitør både på, Pizzakjelleren,', ' «fotomodell». Og det har vært', ' musikksjefens gartnerassistent, men nå har', ' DJ eller produsent siden tenårene. Nå står han midt', ' fisker, journalist i fiske- og fangsttid']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' førstebetjent i en forretning i Oslo i 195', ' praktikant i hansfirma,og det gikkikke', ' assisterende lager. Det hadde nok noe med saken', ' en slags sekretær. Et annet problem opp stod ved', ' journalist i Arbeiderbladet i 1939 og etter krigen']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
