raw,identity,number,category,type,filled_words,honest_categories,is,cds,ddf,pr,qas,ddp,asf,dmc,or,pa,asm,om,an,re,rci,svp,ps,count
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta seg av ungene sine', ' rengjøringsassi sten men hun var altfor d', ' sykepleier. - Men hun kan aldri jobbe med små', ' hjelpepleier fordi hun hadde noe mer «ordentlig', ' flyvertinne og ikke bli sykepleier... og da']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' tjenestekvinne, på gårdene oppover langs vassdrag', ' tjenestepike.\nMathias har bodd på gården', ' «syerske». I den første tiden av ekteskap', ' serveringsdame i Paris eller for eksempel som', ' hushjelp og mor og lærerinne for sine sønn']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' lærerinne og organist på øya der de nå', ' «bybarn» ien alder av 15 år', ' vaktmester ved Bjømeljell stasjon på Bergens', ' assistentlege da sykehuset ble opprettet, i 1964.', ' husholderske for en rik familie. Lillian']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier på et sykehjem i Oslo og faren var', ' journalist i Østlandets blad, mannen drev et', ' sekretær. Faren kom fra en gammel sjømanns', ' sekretær og mannen som flytekniker, var det bare', ' tannlege på Smestad. Det var alltid litt']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun sender ham et langt', ' mor. En sjelden gang blir hun gravid, men', ' tatt ut til landslaget så fort som mulig. Hun', ' fotografert naken mens hun sitter ved siden av ham.', ' sykepleierske. Men så mister hun en viktig ting']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, men i stedet gå på skole og studer', ' bartender eller kelner på en liten', ' hushjelp, og hva med at datteren skulle finne', ' hjemmehjelp. Men da hun var ung, hadde', ' au-pair i England ett år før hun dro']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gaijole i en av forstedene', ' husets tjenestepike, og jeg vet at', ' «skure kone». Foran ser vi en', ' lærling. Også i denne forbindelse henvises til en', ' spebarn- og kvinnepleierske, samt']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 1, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, de to eldre barna arbeidet på', ' kontorbetjent, og da var alt gjort som', ' lærer i Hommelvik og i noen år', ' kontordame på kontoret. Hun het Eva.\n', ' distriktsjordmor på Byneset i 187']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' husholderske hos morfaren. Til høsten ventet', ' lærer i barneskolen på et tettsted i Vestfold', ' modell og i tillegg var med i en musikkvide', ' tjenestejente i huset mens moren var syk.\nJob', ' modell, og det så ut til at forholdet mellom']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['. Det handler om det å lengte tilbake til', ' ballettdanser, men seiv er hun helt u', ' prinsesse.\nHun vil så gjerne gifte seg.\nHun vil', ' pianistinne, er bare noe moren sier.', ' en ny Marilyn Monroe, hun synes']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitrise og gutten burde bli prest. Men', ' avisbud for å kunne fortsette med sine mange interes', ' lærer, for hun var jo i et miljø hvor', ' barnevakt eller liknende, for det var ikke så', ' sykepleier i stedet for å fly rundt og passe barn.']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' tjenestejente på storgården Oppstad. Hun har', ' tjenestepike i mange år, skal hun ha lønn', ' ""selger"".\nav dem fikk ikke jobb da', ' budeie. Nå er det ingen som tjener penger', ' telegrafistinne i 25 år, men har']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' kontordame hos den nye eier i 1946.', ' den første poståpner ved det nyopprettede', ' sekretær i A/S Vinmonopolet. Hun var født', ' bud for fru Povlsen da hun var', ' vaskehjelp, hadde vært i huset på Skøyen']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i et av Oslos beste strøk.', ' en slave på sykehuset, og jeg ble sittende', ' kjøkkenhjelp på det største psykiatriske sykehuset i USA', ' prostituert, og det var etter at hun hadde', ' modell.\nHelt plutselig er hun borte, jeg ringer']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' filmstjerne?\nsusan og rikka', ' lege, psykolog eller advokat - hva slags type yr', ' fotograf, og er opptatt av miljøvern, dyr', ' danser.\ntil teaterskolen i London. Hun ble', ' modell. Hun er svært opptatt av hvordan hun tar']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere sykepleie. Hun var en', ' pleierske på et gamlehjem.\nIda ble fla', ' lærer. - Men først vil jeg ha et år', ' frivillig på sykehjem. Etter å ha levd seg m', ' hjelpepleier og ikke bli lege, som hun seiv']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' hushjelp, og har en sønn. Han har', ' kokke for en rikmann og har fått et', ' prostituert og mor for hennes to barn.\nJeg', ' hjemmehjelp eller husmorvikar; en annen', ' tjenere og tjenestepiker for borgerskap, embed']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' purser på skipene «Queen Mary»', ' husholderske på Linderud gård. Men', ' lærerinne, tok hun over som gårdkone', ' husholderske på gården, men måtte slutte på', ' husholderske på gården hans. Lensmannen ville']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 1, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 1}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han var en ivrig amatørmusiker', ' journalist i VG, men jeg husker henne fortsatt som', ' nattevakt. Moren var også med. Hun', ' reiseleder i Syden. Han hadde blitt overtalt', ' lærer i en av de høyere klassene, så dette']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sykepleier, selv vil hun gjerne bli arkitekt, men', ' i hjembyen, hun vil at familien skal være', ' den perfekte husmor, faren gjør som han seiv', ' dyrlege.\nå være dyrlege i landsbyen', ' danserinne. En dag blir hun bedt opp']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' terapeut, men dette er kun et vikariat.', ' vakt i stedet for å sitte på en stink', ' en slags «bistandskonsulent» på', ' modell.\nteen ble det skrevet en søknad til', ' servitrise og aldri kunne få seg fast jobb.']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en god kokke og husmor og hun vil', ' danser, som spåkjerring, jordmor', ' tibetanske lama-buddhistaer', ' omstreifer, eller han er dikter.', ' skuespillerinne. Et slikt yrke ble hun ofte']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester på Ørje i 1856.\nTre', ' avdelingssjef. Som ny fullmektig kom Olav', ' avdelingsleder, var også den formelle ansvarsforholdene', ' lektor i 1975, hadde hun arbeidet i over', ' assistent hos den samme legen. En tid senere døde']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som var le', ' frisør i London. En dag så hun noe som', ' servitør på et utested i Oslo. Etter', ' ekspeditri sse, men hadde vært mye å', ' vaskehjelp på et sykehus, ble hun overmann']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste i hovedstaden og blir tatt', ' forfatter. Den er et oppgjør med kvinnerollen,', ' stjerne i en film.\nlure seg unna,', ' like berømt som sitt idol fra barndommen', ' detektiv når hun blir voksen, og har']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikar for eksempel i en bokhandel i et', ' lektor.\ner jo ikke så dumme som', ' frivillig i en menighet, som ungdomsleder eller som', ' vaktmestre når den eldre går av med pensjon']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' avisbud, hushjelp eller annen ufagl', '. ahraham, jacobs br', ' hushjelp i en familie i et bestemt antall år', ' gategutt og gatejente. Jenta har', ' fisker og går derfor under navnet Tormod. De']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' bestyrer for forretningen. Av et tidligere kapitel', ' bud, og begynte i sin nye stilling med de', ' kontorist i et Oslo-firma. Han viste', ' hjelpemann hos sin onkel i butikken, og', ' lærling på et kontor i et av Kristiansands store']","{'is': 0, 'cds': 0, 'ddf': 0, 'pr': 0, 'qas': 0, 'ddp': 0, 'asf': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'asm': 0, 'om': 0, 'an': 0, 're': 0, 'rci': 0, 'svp': 0, 'ps': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
