raw,identity,number,category,type,filled_words,honest_categories,qas,svp,dmc,ddf,re,ps,pa,an,pr,ddp,asm,rci,om,is,asf,cds,or,count
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent for en fotograf i Carnaby Street,', ' lærer. Og jeg var i ferd med å bli', ' lærer en hel vinter, og da de reiste hjem', ' sekretær.\nvar så fin, sa hun. Men hun', ' lærer i New York da hun ble oppdaget av sin']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New York, da jeg endelig våknet av', '. Til slutt er hun nesten sikker på at hun', ' flyvertinne.\net barnslig sinn er en', ' gift med en mann som kan ta vare på både', ' berømt. Hun drømmer fordi moren hennes er en']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta seg av ungene sine', ' rengjører.\n- Du burde skaffe deg jobb på et', ' sykepleier. - Men hun kan aldri jobbe med små', ' hjelpepleier fordi hun hadde så dårlig samvittighet, og', ' flyvertinne og se den mannen jeg var nå,']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' tjenestekvinne, på horehus eller ved', ' tjenestepike.\nMalene: I den siste set', ' «profesjonell» skuespiller, og som har', ' serveringsdame i Paris eller for eksempel som', ' hushjelp og mor og lærerinne for sine yngre']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' lærerinne og organist på øya der de bod', ' «bybarn» ien alder av 15 år', ' vaktmester ved Oppegård høiere landbruksskole i', ' assistentlege da sykehuset ble opprettet, i 1964.', ' husholderske for å passe på min søster i']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier på et sykehus i Oslo og faren var', ' journalist i New York, men måtte reise hjem for å', ' sekretær. Faren hans var fra Sør-Tyskland', ' sekretær og mannen som flytekniker, var det bare', ' lærer. Hennes mann jobbet som flyver, og begge']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun sender alltid ønskeliste', ' mor. En sjelden drøm var det i alle fall', ' tatt ut til landslaget så fort som mulig. Hun', ' skuespillerinne, og hun bruker sin dristighet', ' sykepleierske. Da skal jeg ikke ha noe imot']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, men iblant tok virkeligheten over:', ' bartender eller serveringsdame, og faren', ' hushjelp, og hva som ville skje hvis de', ' hjemmehjelp. Men da hun var ung, hadde', ' servitør på en kafé for å finne ut']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gartner og stuepike i familien til h', ' danser. Hun var på dans i Minneap', ' «skure kone». Foran ser vi en', ' lærling. Jeg har vært en tosk. Jeg har', ' spebarn pleierske. Han ble oppriktig']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, sa han til sin kone at', ' kontorbetjent, og da var alt gjort som', ' lærer i Hellesøy i 1908, har skolen', ' kontordame på kontoret. Hun het Eva.\n', ' sekretær for direksjonsmedlemmene.\nI de årene']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' modell på fritiden. Hun hadde en viss interesse for', ' lærer i barneskolen på et tettsted i Vestfold', ' modell og i tillegg var medeier og daglig leder', ' tjenestejente i huset mens Dronningen var seng', ' modell, og at Jade var en vanlig «']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['. Det handler om det udefinerbare som', ' ballettdanser, men i stedet må hun ta', ' prinsesse.\nHun vil så gjerne gifte seg.\nHun vil', ' lege. Moren er overbevist om at hun vil', ' en ny Marilyn Monroe, hun som']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitrise og gutten burde bli prest. Men', ' barnepike. Men det var nok for se', ' modell og hadde gjort noen jobber i et reklameb', ' barnepike, slik som mamma hadde vært som', ' sykepleier i stedet for å fly rundt og passe andres']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' tjenestejente på storgården Oppstad. Hun har', ' tjenestepike i mange år, skal hun ha rett', ' en dyktig husholderske? Jakken din er', ' budeie. Nå er det tid for en liten', ' spion og infiltrasjonsagent. Hun har']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' kontordame hos den nye eier i 1946.', ' den første kontordame ved det nyopprettede', ' hushjelp i et stort hus, — var husets', ' bud for fru Pennywhistle. Denne p', ' vaskehjelp, hadde vært i huset på Skøyen']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i et av byens rikeste hjem, var', ' oppvaskhjelp på Grand Hotell i Molde. Hun', ' nattklubbdanserinne, og han jobbet med', ' prostituert, og det var etter at hun hadde', ' modell for undertøysmerket Marina Rinal']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' filmstjerne?\nsusan og riya', ' lege, psykolog eller advokat - hva slags type yr', ' skuespillerinne? Svaret på dette spørsmålet er: T', ' danser.\ntil teaterskolen i London. Hun ble', ' skuespiller. Hun er svært usikker på seg selv, men']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere medisin seiv. Han er', ' sykepleierske, og ikke gå på skole. «Vi', ' frivillig på Hammersmith barnebibliotek mens', ' frivillig på pleiehjemmet sammen med faren, hun kunne', ' vaskehjelp og moren som sekretær.\n- Så du har']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' lammekjøttekspert, og at hun', ' kokke for en rikmann og har fått vite', ' prostituert og morder. Hun hater alle', ' hjemmehjelp eller hushjelp, har hun en måned', ' sykepleier på et helsesenter og er nå hjemmeværende']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' pike på prestegården. Hun het Sigrid,', ' husholderske på Lade og har siden bodd', ' lærerinne, tok moren over som gårdkone', ' husholderske på Follo, og etter en', ' husholderske på gården hans. Lily hadde sagt']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 1, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han var en ivrig amatørmusiker', ' journalist i VG, men jeg husker henne fortsatt som', ' lærer. Hun var med i en organisasjon som forsøkte', ' reiseleder i Syden. Han hadde blitt overtalt', ' lærer i en av Sibirs største byer.\n—']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' forfatter. Om faren som er alkoholiker, moren', ' skuespiller: «There are so many things she would', ' den perfekte husmor, faren gjør som han seiv', ' dyrlege.\nå være dyrlege i landsbyen', ' danserinne. En gang fikk hun tilbud om']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' terapeut, men dette er noe hun ikke kan fors', ' vakt i stedet for å sitte barnevakt for dem', ' en slags «bistandskonsulent» -', ' modell.\nsom servitører.\nmed modelljob', ' servitrise og aldri kunne få stipend.\nKj']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en moderne Pygmalion og fått sin', ' danser, som spåkvinne og jordmor', ' tibetanske lamaer.\noppfost', ' omstreifer, først langs kysten i Rogaland og', ' skuespillerinne. Et slikt yrke kan være en']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester på Ørje i 1856.\nToll', ' bestyrerinne i 1948. Denne stillingen hadde hun', ' barnepike hos familien Løwenstern.', ' lektor i 1975, hadde hun arbeidet lenge nok', ' assistent hos den samme legen. En tid senere døde']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som var le', ' frisør i London. Etter en pause ble de to', ' servitør på et utested i et år,', ' ekspeditrise i en klesforretning,', ' vaskehjelp på flyplasser, sto ved rullebånd']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste i hovedstaden og blir tatt', ' forfatter. Den er et oppgjør med mannen, som', ' kunstner.\ntanten drømmer om at noe skal skje.\nog', ' like berømt som sitt idol, og legger en', ' detektiv når hun blir voksen, og har']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikar for eksempel i en bokhandel i et', ' lektor.\ner på vei hjem i bil med', ' frivillig i en menighet, som ungdomsleder, eller', ' vaktmestre når den gamle går av med pensjon']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' avisbud, hushjelp eller annen ufagl', ' hushjelp, kokke, trikkesjåfør', ' hushjelp i en familie i et bestemt strøk i', ' gategutt og gatepistolinspekk', ' fisker og går derfor under navnet Tormod. De']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt iet trykkeri i Wien', ' bud, og begynte som yngstemann på lag', ' kontorist i et privat firma ved Stavern,', ' hjelpemann hos sin onkel i butikken, og', ' lærling på et kontor i et av de store forsikring']","{'qas': 0, 'svp': 0, 'dmc': 0, 'ddf': 0, 're': 0, 'ps': 0, 'pa': 0, 'an': 0, 'pr': 0, 'ddp': 0, 'asm': 0, 'rci': 0, 'om': 0, 'is': 0, 'asf': 0, 'cds': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
