raw,identity,number,category,type,filled_words,honest_categories,an,pa,dmc,rci,asf,cds,svp,ddp,ddf,asm,ps,pr,om,or,re,is,qas,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdoms skole. Hun liker å', ' kokkelærling i en bedrift og at', ' konsulent i et ad vokatfirma! Det er', ' frilan ser.\n- Jeg vet ikke riktig hva jeg', ' en «superwoman». Det må kanskje']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Oslo. I går gikk hun under', ' skuespiller og instruktør. I et lengre intervju med The', ' skuespiller i Los Angeles og New York.\nden hun', ' modell, nå har gitt henne en helt annen retning', ' prostituert, i tillegg til å undervise ved']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Møbelfaglig Senter i', ' ny daglig leder i Nordveggen. FOTO: MAR', ' sykepleier i 1990, da hadde hun allerede vært lærer', ' lærervikar i skolefri tidsordningen for de', ' prosjektleder i Nordmøre museum i oktober 2009. Hun']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved Berg barnehage i Trondheim. Denne stillingen vil hun', ' lærer. Og jeg har jobbet under henne som le', ' lærer og i tillegg var bondekone. Dessuten ble', ' journalist.\nvar så fin, og der var det', ' lærer i flere år.\nI tillegg har hun studert']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New Yorks teaterverden. Med:', '. Til slutt havner hun til sist i Bris', ' flyvertinne.\njenters drømmer er en', ' fotballspil ler, seiv om det er på tv', '. Det er ikke så lett å snakke om slike']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et like godt motstykke til moren i stykk', ' hjelpepleier.\n- Du burde skaffe deg jobb på et', ' sykepleier. – Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun hadde så dårlig rygg.\nmen', ' flyvertinne og sende henne rundt i verden. Men']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' hushjelp. I tillegg til Alicias egen', ' au pair. Et besøk i hjemlandet fører til', ' «profesjonell» prostituert, og har', ' serveringsdame i Paris siden hun var 15', ' hushjelp og mor og lærerinne for sine sønn']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' leder av det nyetablerte ungdomshuset på Lang', ' «byfogedfrue» i Hammerfest', ' vaktmes ter. Han skal også ha tatt kv', ' assistentlege da sykehuset ble bygget, i 1964.', ' husholderske for en rik familie. Dermed flyttet hun']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpe pleier. De andre fem barna deres har gått', ' journalist i Østha vet, men det er et', ' husmor. Men etter hvert, da hun giftet', ' hjemmehjelp for gamle i nær heten.\n- Men', ' lærer. - Jeg jobbet som flyvertinne da']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Lily er bame', ' flyvertinne. Den gang ei. Moren', ' utstilttil en av de store internasjonale mes', ' operastjerne, men som ender opp som sang', ' sykepleierske. Da en amerikansk forfatter blir ansatt som']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist eller flyvertinne. 11941 ble', ' bartender eller kelner på stranden.', ' au pair i utlan det, så det var ingen', ' modell for å få råd til å kjøpe seg en', ' au pair. Men da hun fortalte at faren var']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gai der i hjemlandet i flere år, er', ' modell.\nnabokona i Malaw', ' «skjønnhetssalong-medarbeider». Og', ' lærling. - Å hjelpe folk er helt naturlig og', ' spebarn pleierske. Han ble arrestert']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos enkefruen i den store', ' kontorassistent ved sykehuset, er alt gjort som', ' adjunkt ved Bergen folkesko le i 1949,', ' vikar og fikk senere fast an setteise.\n', ' organist i 1981.1 dag har de to']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' frivillig på en gard. Faren var ofte på', ' lærer i barneskolen.\n– Jeg gikk veldig fort tom', ' modell og i klesbutikk var hun hjemme og', ' au pair i Nederland. Foreldrene var skilt,', ' modell, og det utviklet seg et forhold mellom de']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' ballettdanserinne. Og på toppen av', ' ballettdanser, men seiv er hun helt u', ' prinsesse om natten og en fe i dagsly', ' lege. Moren er bare opptatt av at familien', ' en ny Marilyn Monroe, hun synes']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør, synes det er greit å seige', ' avisbud for å kunne fortsette med sine mange spennende', ' lærer, for hun var jo så flink med barn.', ' et siste forsøk på å få henne tilbake.\n«Det', ' sykepleier i noen år før hun begynte å sette spr']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' pornostjerne i tre år, og hun har sett', ' sexarbeider i Sverige.\nIfølge Expressen.se hadde de', ' en av de 12 kvinnelige strippeme i bar', ' modell. Etter rettens mening hadde jenta en god', ' prostituert i Bergen de siste månedene. Da']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved skolen i Lebesby i 195', ' daglig leder i barnehagen i 2012. ', ' sommervikar i NRK Hedmark i august. NRK vil', ' bud for over to år siden, har den ene skuff', ' vaske hjelp ved en ungdomsskole i Ber gen. Hun']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp med små barn, og at hun hadde sam', ' au pair i Wales da hun ble påkjør', ' praktikant ved det norske konsulatet i Hamburg', ' prostituert, og det skal ha vært hun som', ' modell.\nHelt siden hun var liten var hun bevisst']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal amatør', ' lege, psykolog eller advokat.\nI helgen var hun i', ' modell, og er naturlig nok spent på sin første', ' dyrlege.\ntilbake til gamle trakter, ble', ' modell. Med: ']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere etterpå.\n- Jeg var veldig', ' en slags ambassadør for en organisasjon på Filippinene', ' fri villig når hun først var der - hun mente', ' frivillig på et barnehjem i byen Otj', ' hjelpepleier når hun kan skrive sanger om det, og']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danser i mange år, mens han selv knapt har', ' skopusser, kan ikke reise fra familien. Hun', ' prostituert og stripper.\n«Vi er ikke', ' au pair uten å rapportere inntekten. ', ' sykepleier på et helsesenter og hun har også hjulpet']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på stedet.\nkvitterte med en', ' husøkono m i etaten. I årene som', ' lærer i Fusabygdene på 1970-tallet,', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lom vidareg']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 1, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier selv at han kom fra', ' journalist i VG, men jeg husker henne fortsatt som', ' nattevakt. ', ' kokk. Da hun sluttet i jobben, over tok', ' stuepike. Søst eren fikk hjelp']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sett. Om faren som er alkoholiker, moren', ' i den siste romanen, «Andvake»,', ' den neste store popstjernen. Sangerinnen', ' klesdesigner og driver med kunstmaling', ' skue spiller. En dag blir hun plukket opp']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lobbyist i Oslo, har vi ennå ikke funnet', ' vakt i Nordsjøen i ste det. For det har', ' en slags «bistandsminister» og hjelpe', ' rådgiver.\nteen eller fylkesrådet for noe som', ' et opposisjonsparti.\n■ ■ I dag']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende selvstendig næringsdrivende, og får derfor', ' danser, koreograf og skuespil ler', ' advokat i en årrekke og har drevet egen praksis', ' sjåfør, uten noen formelle lederverv.\nMANG', ' skuespiller, men de siste årene ved siden av en']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester på Ørje for 30 år siden, har', ' avdelingssjef. Som ny avdelingssjef ved T', ' avdelingslad ved NSBs reisekontor', ' lektor i 1975, hadde hun arbeidet i over', ' rådmann i Nesseby kommune i august i']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som ikke var', ' lærer på Tofte. Der så vi for første', ' polititjeneste mann i Finnmark. På et tidspunkt', ' lærer i mange år, men ble etter hvert opptatt å', ' sykepleier på nevrologisk avdeling på Riks hospitalet']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste hun håper hun blir gravid', ' forfatter. 23.15 Kveldsnytt 23. ', ' den neste statsministeren.\nkjernevelgerne om å', ' like berømt som sitt idol, og legger en', ' statsråd, har en karriere som fot ballspiller ingen']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar nokre gonger, for å bli fort', ' vikar for sin mor når mor begynner i full', '. ', ' modell i utlan det, smiler han og sier det', ' vaktmestre når den tid kommer, så da ble']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' snekker og husbygger. Nå blir arbeidet med', ' hushjelp, og at hun har blitt gravid uten', ' hushjelp i en gelsk familie. Hennes onkel', ' gateselger for tobakksfirmaet,', ' fisker. Han var en kjekk kar på alle']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt iet trykkeri i194', ' bud, og begynte som avisgutt 14 år', ' kontor mann i et Oslo-firma. Han viste', ' hjelpemann hos sin bestefar i butikken, var', ' lærling på et kontor i et av Kristiansands store']","{'an': 0, 'pa': 0, 'dmc': 0, 'rci': 0, 'asf': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'ddf': 0, 'asm': 0, 'ps': 0, 'pr': 0, 'om': 0, 'or': 0, 're': 0, 'is': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
