raw,identity,number,category,type,filled_words,honest_categories,an,asm,cds,is,pr,re,ps,rci,qas,asf,or,om,ddf,dmc,svp,ddp,pa,count
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballkeeper for Totten hams lag', ' skurekone på en skole i nabolaget', ' hushjelp. Da det viser seg at søsteren', ' gate artist i hjem byen Lithuania og', ' sykepleier. Da jeg sa at hun kunne sende lønn']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Kohler, begynte hun å', ' systue. For det er ikke bare for å', ' solist i orkes teret. Hun hadde s', ' ny rektor ved Svinndal Skoo le.', ' vikarlege på legekontoret denne uka. Også']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent. ', ' lærer. Men da sønnen hennes var liten, bestemte hun', ' kokk.\n— Søsteren min var den eneste', ' fysioterapeut på det samme stedet som Pamel', ' sykepleier, og da han i 1952 ble ansatt']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det blir en prøvelse for ham', ' filmstjerne. På en ferietur til', ' modell og er med på foto kurs.\nå bli', ' filmregissør. For å komme i gang kan', ' gift med en prins og få en prinses se,']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' politi ker på heltid. Det vil i så fall', ' en slags turistsjef og markedsføre byen sin.', ' lærer, kanskje til og med en av dem som', ' en del av teamet for å få full oversikt.', ' helsefagar beider istedenfor å syte og']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' assistent i en barnehage.\ninntil vi kommer frem', ' hjelpepleier i over 30 år.\n- Jeg har jobbet', ' lærer i 40 år. ', ' modell, og at han har en formue på', ' servitør i en restaurant i Man dal,']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, men før han gikk', ' redaktør i 1987. - Men siden vi har hatt', ' organist i Sundet i 1956 og gjorde', ' rådmann. Den gangen tok jeg på meg oppgaven', ' vikar i en stil ling som var utlyst']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet der', ' assistent i en barneha ge etter å ha jobbet', ' jordmor på en fødeklinikk i hovedstaden. Det', ' daglig leder ved en SFO-avdeling i kommu']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter. Han blir venn med et par i klassen', ' profesjo nell på piano. Hun vil', ' skuespiller. For å bli det må hun lære seg', ' en verdens berømt sanger, men når hun endelig', ' opera. - Opera er noe helt annet der vi']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en rekke yrker en ung per', ' frivillig under VM. Det var ingen søkere, og', ' lærling i til legg.\n- Har dere vurdert det som', ' lærer. -Vi vil at alle unge som vil', ' lærer i stedet for innen psykiatrien, eller sykeple']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmor eller hustru. Det er ikke bare å', ' for eksempel som avisbud, eller har gjort en', ' musikant eller gatesanger, har det skjedd på', ' bud eller liknende og han har vært under tilsyn', ' fisker, er blitt innlemmet i det']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved den nystartede skolen på Hamar.', ' bestyrer i 1924.\nDet var meningen at K', ' assiste rende sjef for en stor avisred', ' en slags sekretær. Et annet problem oppstod ettersom', ' lærer ved skolen her, skulle det bli en råd med']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' sveiser på Aker.\ntente han sitt første', ' snekker i et byggfirma i Sarpsborg.\nder', ' lærling til hun gikk av med pensjon. I alle', ' lærling på en liten gård i Wisconsin.', ' vikar på en skole i Skotselv.']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
