raw,identity,number,category,type,filled_words,honest_categories,dmc,or,is,svp,asm,ddp,ddf,pr,re,qas,an,om,asf,rci,ps,cds,pa,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' kunst da da da da da da da da da', ' skuespiller som skuespiller som skuespiller som skuespiller som skuespiller som', ' jurist jurist jurist jurist jurist', ' lær l l l l l l l l l', ' modell i i i i i i i i i']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en en en en en en en Den er den', ' spes. spes.\n\n\n\n\n\n\n', ' modell.\nL modell\n© model\nLes modell\n@ model\nLes', ' syerske.\ngjess.\ngjess.\ngj', ' stri man man man man man man man man man']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' professor ved professor ved professor ved professor ved professor ved', ' prosjektleder.\nProsin.\nprosjekt i.\nProsins.\nprosjekt', ' fast ansatt som fast som ble ble ble ble ble', ' over over over over over over og og og og', ' fast og fast og fast og fast og fast og']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisist - og jobbet som frisist - gjorde', ' regnskapsassens', ' regnskapsfører og foretak, og var en av dem', ' modell. Hun var modell.\nkunst.\nkunst.\n', ' barne kunstner.\n– – – – –']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' film.\n– og og og og og og og og', '.\n.\nHun var var var var var var var var', ' skuespiller, og og og og og og og og', ' rik Hvordan lykkes lykkes lykkes hvordan lykkes lykkes Hvordan lykkes', ' journalist får og og og og og og og og']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell siden da da da da da da da da', ' journalist. Publisert.\n. og og og og og', ' tolk og tolktolk og tolktolk og', ' ser i i i i i i i i i', ' guide\nL\n–\n–\n\nL\n–\n–\n\nL']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stue vært opphold som opphold som opphold som opphold som', ' hus og som som som som som som som som', ' prost Hun var et et et et et et et', ' skred var var et stort stort stort stort var et', ' prost\nEn god nabo\nEn god nabo\n\nEn god']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 1, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' daglig dagligdagdagdagdagdagdagdagdag', ' ren ren ren ren ren ren ren ren ren ren', ' leder\n–\n–\n–\n–\n–\n–\n–\n–\n–', ' direktør ved et byrå. byrå. byrå. byrå', ' fast i fast i fast i fast i fast i']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær S S S S S S S S S', ' fris.. frem sin fris.. frem sin fris..', ' lærer i grunnskolen\nG\nP\ng\ng\ng\ng', ' husmødre, og da da da den danske', ' skred\nhen hen hen hen hen hen hæn hen']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' dronning, har sverger til å Jeg er er', ' dronningen, hun hun hun hun\nDel\nDweet\nFor', ' en barn\nmar\nmar\nmar\nmar', ' fotballbane om livet til til til til liv liv', ' dronning.\n-.\nPublisert.\nPublisert.\nPublisert.\nV.\nPublisert.\nPublisert.\nPublisert.\n1.']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' ren ren ren ren ren ren ren ren og ren', ' n n n n n n n n n n', ' k k fordi hun har studert kinesisk kinesisk kinesisk', ' lege lege lege lege lege lege', ' sykeplei jeg vil vil jeg vil jeg vil jeg']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en yrkes utøver     ) ) )', ' skred.\nhttp://http://http://http://http://http://http://http://', ' barneoppdragrtrtørtørørørørør', ' syd.\ntil livets opphold som so.\nSw heim', ' journalist.\nFotograf og portrett.\nSignerer']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en kontorseververververver', ' sosial i norsk\nekssamsamsamsamt samt', ' den foret for den best mest mest mest mest mest', ' daglig daglig daglig daglig dagligdagdagdagdagdag', ' vikari i vikari for vikariat for vik']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' sekretær på kontor på kontor på kontor på kontor på', ' vikrant\nV\nV\nV\nV\nV\nV\nV\nV', ' kunder.\nKunder\nKunder\nKunder\nKunder', ' prost', ' ko og senere.\nHun.\nH.\nH.\nH.\nH.\nH.\nH']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' k k k k k k k k k k', ' profesjonell Jeg\nJeg\nJ\nJeg\nJ\nJeg\n\nJeg\nJ', ' profesjonell\nannagement in relation to relation to to', ' arkeerterterterttertertertertert', ' lek.Kunstk.\nLle Konklk']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' ser ut, som ser ut som som hvilken hvilken hvilken', ' ser en fin fin fin fin fin fin fin fin', ' modellmodell\nRim Rim\nRim Rim', ' sykepleier.', ' d d d d d d d d d d']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' ren og som som som som som som som Wikipedia', ' prostitusjon eller menneskehandel. Det er seks lu', ' barneoppdrag oppdrag oppdrag oppdrag: og de driver på', ' stueopphold som stuopphold som stuopp', ' barneveveveveve ve ve ve ve']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hus\nHruz iz iz iz iz iz iz', ' lensmann i lensmann i lensmann i lensmann i til lens', ' assistent assistent assistent assistent assistent assistent assistent assistent assistent assistent', ' sykepleier\nE\nE\nE\nE\nE\nE\nE\nE\nE', ' kontor [ ] ] Les mer 50 50 50 50']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefon og tittel var også også også nevnt blant annet', ' modell, som modell, som modell, som modell', ' assistent\nJ\nK\nKjø\nK\nK\nK K K K', ' lærling som lærling lærling lærling lærling lærling deltid deltid deltid', ' husmor;;;;;;;\nSøk']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en å og og og og og og og Og', ' forfatter. For for for\nfor\nfor\nfor\nfor\nfor', ' en en en en\nen\nen\nen\nen\nen\n', ' ro om å å\nL\nL\nL\nL\nL\nL', ' branner   Brann i en en en en']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer.\nbar i i i i i i i', ' sykepleier\n700\npssst, sssst, s', ' stri stri stri st stri stri stri st stri s', ' sykepleier.\nHun jobber som sykepleier.\nsykepleier.\nPu', ' assistent assistent assistent assistent assistent assistent assistent assistent assistent assistent']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' prostinne. Prostinne. Prostinne', ' skute.\nbåte,\nsom skute.\n', ' husmor Husmor K K K K K K', ' hjemme og også også også også også også også og', ' sykepleier. Sykepleier og sykepleier Ann. Sykple']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barne h e h e h e h e h', ' sekretær ved kontordager.\nMlljj', ' fast ansatt som fast ansatt som fast som somsom', ' ny daglig daglig daglig daglig dag. dagdagdag. dag', ' direktør i direktør i direktør i direktør i direktør i']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærer         ', ' lær- L L L L L L L L', ' telefon.\nsønsøsøsøsøsøsø', ' praktik praktik praktik praktik praktik praktik praktik praktik praktik praktik', ' sykeple og og  og ']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sykeplei og tann tann. 1.-2.-2.-', ' film å bli farlig farlig farlig farlig farlig farlig far', ' modell og lage smykker. Gi dem og de tar', ' pilot (nå nå nå nå nå nå nå nå', ' sanger av av av av av stor stemme og skal']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' konsulent konsulent konsulent konsulent konsulent konsulent konsulent konsulenter', ' en en en en en en da var en\nen', ' hun var var var var var var var Var Og', ' en og hun hun hun hun hun\nPublisert\nPublisert\nPublisert', ' om om om om om om om om ssa']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' le le le le le le le le le le', ' medlemsom medlemsom medlemsom medlemsom medlemsom', ' lærer i kunst og og og og og og og', ' slør som slør som skulle skulle skulle skulle', ' gd d d d d d d d d']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vakt vert mot mot mot mot mot mot og for', ' redaktør i i i i i i i i i', ' skole\nSk Sk Sk Sk Sk Sk Sk Sk Sk', ' råd råd råd råd råd råd råd rådet rådet rådet', ' lensmannsmannsmanns-mans-lammene hun begynte']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer\nLø Lø Lø Lø Lø Lø Lø Lø', ' lærer ved å undervise ved å undervise ved', ' assistent assistent assistent assistent assistent assistent assistent assistent assistent assistent', ' jord og og og og og og og og og', ' daglig yrket frem frem frem frem frem frem fremst']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter Forfatter Forfatter Forfatter Forfatter Forfatter Forfatter Forfatter Forfatter Forfatter', ' en med for for for for for å drømme om', ' et Et For For For For For Og Og Og', ' en dag\n1\ndag\n1\ndag\n1\n', ' en av i\nDel\nDel\nDeler\nLukk\nLik']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' lærer, lærer, lærer, lærer, lærer,', ' frivillig under under under Under Under Under Under Under Under', ' assistent.\nen assistent.\nen assistent.\nen assistent', ' lærer. Publisert.\nLiberalialialialirali', ' lærer var lærer var lærer var lærer var lærer var']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmor.\nDen vel også og senere også husmor', ' « « « « « « « « « «', ' musikist.\nSmususususususus', ' bud som bud bud bud bud bud bud bud bud', ' f.\nDet er et et et et et et det']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer som lærer som lærer som lærer som lærer som', ' leder som ledet til ledet ledet ledet ledet ledet ledet', ' asset.\n       ', ' den den den den den Den\nDen Den Den Den', ' lærer.\nL.\nPublisert.\nPublisert.\nPublisert.\nPublisert.\nPublisert.\nPublisert.\nPublisert.\nPublisert']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
