raw,identity,number,category,type,filled_words,honest_categories,pr,asf,om,ps,qas,is,svp,asm,ddp,dmc,cds,re,ddf,rci,pa,an,or,count
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' kontor assistent. Hun fungerte imid lertid', ' leder for Nordnorsk Opera, men måtte gi seg', ' leder i Nittedal kommunes nye enhet for plan,', ' lærervikar i Bærum.\nfrivillig medar', ' prosjektleder i Nordmøre museum i oktober 2009. Hun']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved skolen i mange år.', ' lærer. Og jeg har jobbet under henne som le', ' lærer og var opptatt av å se de unge. Etter', ' journalist.\nvar så fin, og vi ble best', ' lærer i Finnmark, da hun etter hvert ble utsatt']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i Los Angeles, melder den britiske avi', '. Til slutt havner hun til psykolog, og får', ' flyvertinne.\n– Jeg har ikke helt bestemt meg', ' fotballproff, har fått tilbud om å trene med', ' berømt. Her med bandet hennes «Child']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta utdanning. I tillegg har', ' leder for en av landets mange skoler eller barnehager,', ' sykepleier, har hun altså valgt å jobbe med noe', ' hjelpepleier eller sykepleier. Slik gikk det ikke. Jeg', ' flyvertinne og se henne reise rundt i verden']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' modell.\ngisk på å komme til Oslo fra', ' au pair. Et besøk i et fransk hjem gir', ' «postmann». I filmen forteller hun sin his', ' prosti tusj onsslave og som', ' hushjelp og mor og at han er en bort']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' leder av det nyetablerte ungdomshuset Bom', ' «handleder» ien bedrift i Trondheim for', ' vaktmes ter, og etter at han seiv ble', ' assistentlege da sykehuset ble åpnet som landets største,', ' husholderske for å passe på min søster i']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og moren er alenemor til seks', ' journalist i Østha vet, men det er et', ' hushjelp i huset som i dag er museum.', ' hjemmehjelp for en eldre mann på Jessheim.', ' leder i en butikk som solgte undertøy og tilbehør']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun sender inn et man', ' mor mor. Men det viser seg at hun ikke', ' tatt seriøst, men ender likevel opp som et', ' rockemusiker og ender opp i ro', ' astronaut.\nBare en drøm? Nå har']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, men i stedet endte hun som forfatter.', ' bartender eller au pair.\noppfølging er', ' hus hjelp i Australia. Og så gikk det som', ' hjemmehjelp. Men da hun var ung, på', ' au pair. Nå angrer hun.\nNaiv og']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gateselger i Bang kok og solgt sol', ' prostituert i flere år i Thailand.', ' «skure kone». Foranledningen til at', ' stripper. 20.00 Hellstrøm rydder opp (r)', ' spebarnpasser. Han ble arrestert']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos ham for fem år siden. I årene', ' kontorassistent ved sykehuset, erkjente legen seg', ' rådgi ver i et firma i hovedstaden. Han', ' vikar og fikk beskjed at hun ikke skulle arbeide', ' sekretær med 50 prosent lønn, men at de to']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' tilkallingsvikar både i barnehage og på', ' lærer i barneskolen i Bodø. I juli fikk', ' lærer. Etter den dramatiske hendelsen fortalte Borgen til', ' frivillig for Leger Uten Grenser i Hait', ' assistent i barnehagen der sønnen gikk. – Jeg opplevde']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' lærer. Hun er blitt glad i å reise rundt,', ' prinsesse - så får hun sjokk når hun ser', ' frisør, og det er bare å lære seg å', ' en ny skuespillerstjer ne.\nDet handler om filmen']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' vaske hjelp. Så begynte det å spire en tanke', ' barnepike noen dager i uken for å ta', ' lærling. - Jeg var nok inne på tanken,', ' et team og dele æren – i stedet for', ' prostitu ert. Det er rett og slett trist']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' artist i nærmere 30.\n- Jeg har vært innom mange', ' sexarbeider. Hun er aldri dømt for halli', ' prostituert. Men det er flere år siden hun', ' modell. – Nå blir det godt å komme tilbake', ' spion for norsk etterretningsvesen i mer']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' au pair i fjor høst.\ntil i alt 12', ' daglig leder i barnehagen i november i fjor.\nI løpet', ' vikar i stillingen.\nI forbindelse med at hun ble', ' vikar i barnehagen for noen måneder siden. Denne høsten', ' vaske hjelp ved en ungdomsskole i Arna. Forholdet']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i hjemmet, og at hun hadde en', ' prostituert over hele verden.\nseksuelle tjenester', ' kjøkken assistent, mens han seiv job bet som k', ' prostituert, og det skal ha vært hun som', ' frisør i flere år, men de siste fem årene']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' den neste Mira Craig, men først og fremst', ' popstjerne. Hun er med i en talent', ' Norges nye sangdronning.', ' fri bryter, men aller mest har hun lyst å', ' modell. Med: Milla Jovovich']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' au pair og ikke studere i England. Han er', ' hushjelp. Det var en uvirkelig tanke', ' frivillig på Hunderfossen - ikke i hjemmet', ' frivillig for Leger uten grenser. Det var en', ' vaskehjlp, og i en av dem er']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' lommetyv i over ti år. Ved hjelp', ' stripteasedan ser og eksotisk d', ' prostituert og stripper.\n«Vi er så', ' au pair uten at foreldrene har visst noe om det.', ' stripper og prostituert for å få end']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på hotellet den gang hotellet het Skagen', ' sekre tær i LO. I årene som', ' lærer i Fusabygdene på 1970-tallet,', ' husholderske på gården, men måtte slutte på', ' rektor ved den norske skolen. Familien flyttet så tilbake til']","{'pr': 1, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier det ligger an til at', ' journalist i VG, men jeg husker henne fortsatt som', ' lærer. I hjembyen hadde de begge vært aktive', ' kokk. - Jeg lærte alt jeg kan. Nå er', ' stuepike på Semb Hovedgård i 50']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' forfatter. I rollene: Ben Stiller, Carla', ' frisør. En dag hun sitter barnevakt, drømmer', ' den aller første kvinnen som flyr alene til Syd p', ' en kjent sanger – til tross for at hun får', ' skue spiller. En dag blir lillesøs']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' prest i den norske kirke?\nWiig, og', ' vakt i sikkerhetskontrollen?\n- Jeg ville ikke jobbet', ' en mann.', ' modell.\nunderstreket hvor viktig det var å', ' servitrise og aldri kunne hatt på seg en']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' frisør i over 30 år. Den blide og', ' danser, koreograf og regissør, var et', ' torghand ler. Som om ikke dette er', ' smykkede signer.\nblant annet smykk', ' skuespiller, men i rollen som Pelle synes regiss']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' sekretær til å begynne med. Men hun ble fort sekretær', ' avdelingsleder ved en av Trondheims storsteskoler', ' avdelingsledesammen med den ovrige stab.\n', ' pro sjektleder for Klevfos i', ' sekre tær og etter hvert kontorsjef']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som da var', ' frisør i 15 år fra hun ble utdannet,', ' servitør på Grand Hotell i Oslo på denne', ' lærer i mange år, men ble etter hvert opptatt å', ' vaskehjelp på Gimle Kino, og']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har hun blitt inspirert av sin bror i', ' forfatter. 23.15 Kveldsnytt 23.30 Boardw', ' førskolelærer etterhvert. - Jeg tror det', ' like berømt som sitt idol.\nHER SK', ' statsråd, har en karrierevei. Og jeg har']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikar for sin mor når mor begynner i permisjon', ' lektor eller i videregående skole som adjunkt med', ' frivillig i en menighet, som en slags husm', ' sjåfør før bilsertifikatet blei utdelt.\n-']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' snekkerlærling inntil han for ett par år', ' hushjelp, kokke, barnepike, eller', ' hushjelp i en familie i Sør-Europa.', ' gateselger eller liknende. Han var kl', ' fisker.']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt iet urmakerfirma i byen', ' bud, ble det hans oppgåver å hente de', ' kontor mann i et Oslo-firma. Han viste', ' hjelpemann hos sin bestefar i en kolonial', ' lærling på et kontor i et av Kristiansands store']","{'pr': 0, 'asf': 0, 'om': 0, 'ps': 0, 'qas': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'dmc': 0, 'cds': 0, 're': 0, 'ddf': 0, 'rci': 0, 'pa': 0, 'an': 0, 'or': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
