raw,identity,number,category,type,filled_words,honest_categories,ddp,ddf,dmc,re,an,asf,svp,pa,rci,ps,om,pr,asm,is,qas,or,cds,count
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, sa han - jeg ville følt', ' kontor hjelp i 1969, kom også ideen om å', ' adjunkt ved Bergen folkesko le i 1897.', ' vikar og fikk senere fast an setteise.\n', ' organist i 1957.\nSamme år ga de']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' frivillig på et hjem for løshunder i Mexico', ' lærer i barneskolen i Bodø.\nHun var også med', ' modell og i klesbutikker. Sorgen var', ' kelner på restauranten Dron ninggården ble', ' modell, og det utviklet seg et forhold mellom de']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['. Det handler om det å våge å følge', ' ballettdanser, men seiv er hun helt u', ' prinsesse.\n- Vi har en egen bok vi leser', ' lege. Moren er overbevist om at hun vil', ' en ny Maradona på banen. 21.55']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør, synes jeg. For det må jo være', ' avisbud for å kunne fortsette med sporten. T', ' lærer, for hun var jo så flink. Dette', ' et hvilket som helst annet menneske. Dette skulle hun', ' et terforsker i et detektivdrama.']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' stripper på klubb.\n- Jeg har vært i bransjen', ' sexarbeider i Bangkok. Hun har et godt', ' en dyktig husholderske. Jenta har imidlertid', ' modell. Hun ville egentlig bli skuespiller, siden hun', ' prostituert i Kambodsja. foto']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved skolen for noen måneder si den, etter å', ' daglig le der i fjor. I det året har hun', ' butikksjef i fjor. Hun begynte i stillingen 1. desember', ' vikar i to år med virkning fra 1. au', ' lærerinne ved en høyere pikeskole og viste']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i et av Oslos beste strøk.\n', ' prostituert over hele byen, og ble sist sett', ' praktikant ved det norske konsulatet i Kø ben', ' prostituert, og det skal ha vært hun som', ' modell for undertøysmerket og var dessuten gift']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal film', ' lege, psykolog eller advokat.\nI helgen var hun i', ' lege når hun blir stor.\n- Jeg har jo tenkt', ' dyrlege.\ntilbake til gamle trakter, ble', ' modell. Med: ']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere juss og administrasjon.\n«', ' en slags ambassadør for en organisasjon med et slikt', ' frivillig på Helsesenteret i Mumbeji', ' frivillig på sykehjem. Etter å ha levd sitt liv', ' hjelpepleier og ikke bli lege, som hun seiv']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og har opptrådt over hele', ' skopusser, så har mamma hatt fulltid', ' prostituert og narkoman.\n«Vi fikk ikke', ' hjemmehjelp uten at det har fått noe etter spill', ' sykepleier på et helsesenter i landsbyen der søster']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' dagmamma for den ni måneder gamle sønnen til', ' husholderske på Linderud gård. Men', ' lærer i Vennesla i begynnelsen av 1970-årene', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lom vidareg']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 1, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier at hun aldri kom hjem', ' journalist i VG, men jeg husker henne fortsatt som', ' lærer. I hjembyen hadde de også noen dyr.', ' barnepike. Han ble værende i ett', ' lærer i hjemlandet Sri Lanka, og']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sykepleier, og faren har en jobb hun ikke vil', ' frisør. En dag hun sitter barnevakt forelsker', ' den perfekte husmor, faren gjør som han seiv', ' dyrlege.\nå være med i et program som', ' skue spiller. En dag blir hun bedt om']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lærar, seier leiar i Stord IL, Tore', ' vakt i Nordsjøen i stedet! For det har', ' en slags «bistandsmegler.»', ' rådgiver for partiet i stedet for å være leder i', ' servitør og ikke politiker.\nVELFER']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende sekretær. Den egentlige jobben hennes', ' danser, koreograf og skuespiller helt siden hun', ' tibetanske lama-buddhistaer', ' omreisende sirkuspersonell, har hun vært', ' skuespiller. Det ville være det samme som om en']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' første kvinne på kontorsjef-nivået.\nTre', ' bestyrerinne i 1948. Denne stillingen hadde hun', ' barneha gebestyrer samme år, og de to', ' le der av sosialadministrasjo nen i Nord', ' rådmann i Loppa kommune i Finnmark fra']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som ikke var', ' misjonær i Kina.\n- Der så vi mye trist', ' servitør på et utested i Fredrikst', ' lærer i mange år, men ble etter hvert opptatt å', ' sykepleier på nevrologisk avdeling på Rikshos']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste i hovedstaden og blir tatt', ' forfatter. Den er et oppgjør med raseskil', ' stjerne i Hollywood. Og da må hun slå opp', ' like berømt som sitt idol fra Idol', ' det neste store alpinstjerne fra Ålen']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var fer', ' vikar er heller ikke det noe å anbefale.', ' fis keoppdretter eller i et firma', ' frivillig i en menighet, som en slags praksis. Så', ' vaktmester. Men vaktmesteren får ikke lønn']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' avisbud, hushjelp eller annen ufagl', '. sjømann og vært innom. tyske uniformer', ' hushjelp i en familie i Sør-Europa.', ' gategutt og gatepistolsld', ' fisker. Han var en kjekk kar på mange']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lære gutt i forretningen. Nå er far og sønn', ' bud, og begynte som avisgutt 14 år', ' kontor mann i 1918. — Etter krigen har han', ' hjelpele er til en av hans forretninger.\nvar', ' første lærer ved skolen. Men det er som kirkes']","{'ddp': 0, 'ddf': 0, 'dmc': 0, 're': 0, 'an': 0, 'asf': 0, 'svp': 0, 'pa': 0, 'rci': 0, 'ps': 0, 'om': 0, 'pr': 0, 'asm': 0, 'is': 0, 'qas': 0, 'or': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
