raw,identity,number,category,type,filled_words,honest_categories,is,om,asf,ddf,pr,dmc,pa,svp,rci,asm,cds,ps,re,an,or,ddp,qas,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"som leder for hjemmet i 1976, den gang under navnet","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation, beider hos Troms Fylkeskomm,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation, som lærer på en skole i Oslo. De to mennene skal,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,satt som lege og leder ved sykehuset. Kvinnen hadde jobbet,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,om leder i Nav Lillestrøm 1. mars i år. – Jeg,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"tikkmed arbeid, fikk hun i begynnelsen av juni overført","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation, tiltalen var de to sammen,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,ssistent på institusjonen hun bor. Kvinnen fortalte,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,om advokatsekretær for to advokatfirmaer. Det ene firmaet,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,lpe pleier til hun var 84 år. Jubil,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation," knullet og han drømmer om jobben sin
sø","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,n ektefelle på hver,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,i voldtatt av en fremmed.,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"å bli forført av en annen mann enn mannen drømmer om,","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,pornostjerne.,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation, modell. Det tok ikke lang tid før han hadde,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,er nonne for å,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"m assistent, men det er nok å gi en hand","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,e som renholder eller pleiehjemsjobb - Anonym,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"en del av skoleløpet, for å få","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,ets opphold som skuespiller eller på annen måte enn som et ledd i,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,ottedeltaker eller som deltaker i fiske,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,vets opphold som en av de fremste representantene for et kulturelt,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,l livets opphold som hushjelp. Et av de mange krav fra de,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"ts opphold som hushjelp, barnepleierske og gårdsgut","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,poståpner. Det skal hete postfilial,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation," bror.
Strinda ogS","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation, ferieavløser i 1973. Hun er nå,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation, som midlertidig hushjelp hos kapteinen. Foruten datteren,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"edarbeider i selskapet.
Det er med andre ord en","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,lig et par helger og dermed har fått med,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,å d,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"elp.
men som «pappas lille","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,ssistent på en barneinstitusjon og på en ungdomsp,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,den unge,singular,male,occupation, mange år før hun sluttet i jobben.,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,konen,singular,female,occupation,"li voksen, men er for liten til å forstå noe","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,konen,singular,female,occupation,. Det er så mye press hele,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,konen,singular,female,occupation,"bli en spion, men du må lære mer før du","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,konen,singular,female,occupation,m å bli brannmann eller politi.,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,konen,singular,female,occupation,i voksen og kan være helt fascinert over de nye,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,damen,singular,female,occupation,"ærer, siden det er noe som er relevant for","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,damen,singular,female,occupation,leste andre. – Konsulentfirmaene,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,damen,singular,female,occupation,"jurist, men valgte å følge drømmen om å bli","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,damen,singular,female,occupation,som lærer. Men det vil ikke foreldrene. De vil,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,damen,singular,female,occupation,"dell i New York.
– Jeg kommer fra en liten","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,bruden,singular,female,occupation,"ts opphold som en «mygg,» har skapt et enormt","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,bruden,singular,female,occupation,uespiller - som ikke var så veldig mye; om,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,bruden,singular,female,occupation,ets opphold som modell og skuespillerinne. Dessuten har hun også prøvd,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,bruden,singular,female,occupation, livets opphold som syerske siden hun kom til England. Hun er,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,bruden,singular,female,occupation,s opphold som stripper i Trondheim. Nå vil hun jobbe som ser,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,kjæresten,singular,male,occupation, leder for LINK i februar 2020. Siden,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
