raw,identity,number,category,type,filled_words,honest_categories,or,rci,om,qas,asm,asf,pr,cds,an,ddf,ps,re,svp,ddp,is,dmc,pa,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer, siden hun hadde en bachelor i det da', ' konsulent som kan tilby tjenester på lik linje med andre', ' jurist, men valgte å følge hjertet og ble barnehag', ' lærer. Men det vil hun ikke.\n– Jeg kunne', ' modell i New York.\n– Jeg kommer fra en liten']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har skapt et enormt', ' skuespiller - som ikke var så veldig mye å sk', ' modell og skuespillerinne. Dessuten har hun også prøvd', ' syerske siden hun kom til England. Hun er', ' stripper i Trondheim. Nå er hun aktuell som deltager']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder for LINK i februar 2020. Siden', ' jordmor, og har i ettertid jobbet med mange', ' fastlege ved Storgata legekontor. Siden', ' vikar i en fast stilling som butikkmedarbeider', ' fastlege og helsesekretær, forteller han. – Hun']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisør. - Jeg ble frisør. Og jeg gjorde', ' servitør før hun begynte som kokk på', ' lærer i Oslo fram til hun pensjonerte seg i', ' modell. Hun var imidlertid mest kjent som «verd', ' lærer på en barneskole. Hun var gift, men']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmskuespiller. Kanskje aller helst som filmst', ' skuespiller. Under kveldens forestilling på Drottning', ' skuespiller. For å nå målet, må hun være', ' pilot. Hun drømmer vel om å bli en dyktig', ' sykepleier. Hun var ikke fornøyd med den videregående opplæringen']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun har derimot valgt en helt annen vei', ' journalist. Men hun er mer glad i bøker.', ' ren holder i stedet for hjemmevær ende.\n- I', ' vaskedame for å tjene penger til å kjøpe', ' sykepleier på et aldershjem. - Men da']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren tar fatt på sin', ' skuespiller. Når hun får beskjed om at hun har', ' prostituert i Oslo.\nnøkternt,', ' hushjelp i England og de opp gåver som', ' fisker.']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' daglig leder i 2018. Ifølge moren hadde hun ansvar for', ' renholder. FOtO:', ' ekstrahjelp ved Domuskaféen i 1974.', ' midlertidig styrer på Solum distrikts fødehjem på', ' fast organist i 1954, og da hadde de']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' skuespiller ved Trøndelag Teater i 15 år. - Vi var', ' tannlegeassistent. FOTO:', ' lærer i 30 år, og er redd sønnen hennes vil', ' hushjelp og faren drev med gård.\nbåde', ' sykepleier, og de to hadde et veldig godt forhold.']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, skal hun få gjøre det på en annen', ' gravid med ham, mens jenta drømmer om en fremtid med', ' en supermodell er det for å få oppfylt den', ' skuespiller, og har flere drømmer om framtiden. I', ' profesjonell golfspiller og at hennes eldste bror er en']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' renholder.\nsønnen kan få en jobb', ' modell i LA. Han er overrasket over å høre', ' modell, fordi hun har timeglassfigur og', ' avisbud for å skaffe penger til å kjøpe seg', ' sykepleier.']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 1, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en gelsklærer, og for dette har hun', ' modell.\ninnrømmet at han er far til', ' barnepike for en familie i London. I forbindelse', ' en «drømmearbeidstager». En', ' journalist med den spesielle tematikken. Hun har levert']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' bokholder, skulle egentlig ikke være nødvendig nå. -', ' servitør, men hun ble like hardt trak', ' butikkselger – en stilling han overtok i', ' vikar, forteller at hun kjenner seg godt igjen i']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 1, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et lite tettsted i Norge. Hun', ' vikar. Hun så seg nødt til å søke om', ' kokk på et hotell og en kafé, og', ' prostituert. Siden de ikke klarte å finne noen', ' vaskehjelp flere plasser de siste ti årene.\n– Jeg']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og planlegger klær', ' profesjonell sprangrytter og at hun kan ta henne', ' profesjonell danser, i en alder av ti år. Hun', ' modell. – Hun er kjempedyktig! sier', ' lege. Det har hun gjort helt siden hun var']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. – I', ' servitør.', ' modell for å få større rumpe». - Dette', ' lærling til hun er 25 år, og heller komme ut', ' resepsjonist. Hun er en utrolig hyggelig person, som har']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert, og sier at hun bare har vært', ' prostitusjon eller menneskehandel. Det er vanskelig å', ' en prostituert i Bergen og de to har', ' stue pike på et hotell i Tromsø. Men der', ' prostituert. Hun ble i juli i fjor pågrepet']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' daglig leder for en ny kafé på Nærbø.', ' lærling i Nesselquist Consulting for', ' assistent 1 på skolen i fjor. Hun fikk opplæring i', ' sykepleier ved Ahus. De hevder gjennom sin advokat at', ' salgskonsulent ved Coca Cola. I tillegg']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende med barn, men', ' modell, sier politiadvokaten. Fengslingskj', ' assistent i skolen frem til hun ble avslørt.', ' lærling på en restaurant på Aker Brygge. Den aktuelle', ' renholder på skolen og hadde vasket der hver dag']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en anerkjent og attraktiv skuespiller i den populære dramaser', ' lege. Så ble hun syk. – Jeg mistet', ' håndballspiller.\njenten har nettopp fått ny jobb', ' motedesigner, og sier at hun også planlegger', ' brannmann, og jobber hardt for å øve til opptak']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe lignende var det beste det da fikk', ' sykepleier i stedet for å studere medisin».\nselv', ' sykepleier, så hun meldte henne på kurs i stedet.', ' sykepleier i stedet. – Hva tenker du om det hun', ' assistent i stedet for som sykepleier på et stort sykehus']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballspiller.\ntil å skaffe ham mat da', ' skopusser på en av de travle', ' hushjelp i mange år, men ingen av dem hadde', ' en lokal prostituert. Her hjemme er det jo', ' sykepleier. Da faren hennes dør, gifter hun']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Kinas president, en jobb', ' journalist i Adresseavisen etter en tre dagers turné', ' sosialkurator med seks måneders prøvetid. Sosialsekret', ' ny rektor på Svinndal Skule i mars.', ' vikarlege på legekontoret i hjembygda G']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærer på skolen.', ' lærer. Men da sønnen hennes var liten, bestemte hun', ' telefonreklame i hjemlandet, og er for', ' prostituert.', ' sykepleier, og da koronaen brøt ut i mars']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' lærer, og det kan være vanskelig å vite på', ' filmstjerne.', ' modell og er med på en fotoseanse.', ' filmregissør, og da er den italienske filmen', ' gift med sin fetter, slik at hun kan få']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' konsulent på et av kommunens mange selskaper, slik at', ' en uavhengig kontrollør. Da kunne hun sjekket opp saker', ' sykepleier og ta seg av henne når hun hadde fri', ' ombudsmann for innbyggerne i kommunen. En kan ikke', ' drosjeeier eller bussjåfør, så det']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' taxisjåfør.\ninntil vi kommer frem', ' bussjåfør og renholder. Han har ingen', ' bussjåfør og hun sier at hun ikke akkurat', ' postbud i over 50 år og dermed hatt en', ' servitør i en årrekke og fått det']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i kom munen uten at han var', ' redaktør i lokalavisa i desember 1973. Han', ' skolestyrer ved Finneid skole. Vedtaket', ' rådmann. Den tidligere rådmannen var også ordfører', ' vikar i stillingen fra 3. november og ut desember']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet der', ' assistent i en barneha ge etter å ha jobbet', ' hjelpepleier på en demensavdeling.\n– Etter hvert ble', ' daglig leder ved en Kiwi-butikk, da']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter?\n– Det er helt urealistisk akkurat nå, men', ' heltidspolitiker en gang, kanskje etter at han', ' skuespiller. For å bli det må hun lære seg', ' en verdensleder. Han og vennene bruker dagene sine', ' operasangerinne. De får en ny nab']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en rekke yrker man kan utdan', ' frivillig under VM. Det var noe han vurderte', ' assistent i barnehagen. – Jeg ville hjelpe til. Det', ' lærer. – Jeg kunne godt ha tenkt meg å', ' lærer i stedet for å reise ut å studere.\n']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' lærer.', ' «hjemmearbeidende», ofte i ensomhet eller', ' musiker, men nå sliter med å komme tilbake på', ' sjåfør eller annen form for privat tjeneste yting.\n', ' fisker, er blitt innlemmet i det']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved Trond- | heim lærerskole. Han tok', ' bestyrer for hotellet. Han var 23 år gammel', ' assi stent ved kommunens oppmå lings', ' bestyrerinne. Den andre ungpiken,', ' lærer ved skolen fra 1. juli 1915.\nvar']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
