raw,identity,number,category,type,filled_words,honest_categories,om,re,is,ps,pr,cds,ddp,or,pa,asf,dmc,asm,qas,svp,rci,an,ddf,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer, siden det er noe som er relevant for', ' konsulent som de fleste andre. – Konsulentfirmaene', ' jurist, men valgte å følge drømmen om å bli', ' lærer. Men det vil ikke foreldrene. De vil', ' modell i New York.\n– Jeg kommer fra en liten']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har skapt et enormt', ' skuespiller - som ikke var så veldig mye; om', ' modell og skuespillerinne. Dessuten har hun også prøvd', ' syerske siden hun kom til England. Hun er', ' stripper i Trondheim. Nå vil hun jobbe som ser']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder for LINK i februar 2020. Siden', ' jordmor, og har i ettertid jobbet med mange', ' fastlege ved Storgata legekontor. Siden', ' vikar i en fast stilling som butikkmedarbeider', ' fastlege og helsesekretær, men har i over']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisør. - Jeg ble mobbet og trakk meg', ' servitør før hun begynte som kokk på', ' lærer i Skien, men det var først da M', ' modell. Hun var imidlertid mest kjent som «verd', ' lærer på en barneskole. Hun var gift, men']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmskuespiller. Men det er ikke lett å', ' skuespiller. FOTO:', ' skuespiller. For å nå målet, må hun være', ' pilot. Hun drømmer vel om å bli en dyktig', ' sykepleier. Og hun har gjort det kjempebra i']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun må vente til hun er rundt 20', ' journalist. Men hun er mer bekymret for at hun', ' sykepleier og moren som lærer. – På den måten', ' servitør, for da kan hun betale husle', ' sykepleier på et aldershjem. - Men da']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren tar en jobb som', ' skuespiller og medspiller i flere filmer og tv-ser', ' prostituert i Oslo.\nnøkler til', ' hushjelp i England og de to guttene var begge', ' fisker. På den måten har familien alltid hatt de']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 1, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' daglig leder i 2018. Ifølge dommen fra Agder tingrett var', ' renhol der i kom munen.\n- Det har', ' leder i den nye private barnehagen på Vågstrand', ' midlertidig styrer på Solum gård, etter at driften', ' fast lege i kommunen, var den nå 42 år gamle']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontoren I', ' tannlegeassistent. FOTO:', ' lærer i 30 år, og er utdannet innenfor teater og', ' hushjelp og faren drev et slakteri.\n', ' sykepleier og faren som ingeniør hadde vi en grei inntekt']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, skal ha blitt så lei at hun kastet', ' gravid med ham, mens jenta drømmer om en fremtid med', ' en supermodell er det for å få en mann', ' skuespiller, og har lite tro på at datteren vil', ' profesjonell golfspiller og at gutten skal spille hockey']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' renholder.\nsønnen kan få en jobb', ' modell i LA. Han er en anerkjent DJ og', ' kles selger på skolen eller selge blomster for moren', ' avisbud for å skaffe penger til å kjøpe seg', ' sykepleier. – Vi pratet om å få til']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp for en eldre mann på pleie', ' modell.\ninnrømmet at han er far til', ' barnepike for en familie i London. Hun tok', ' en «drømmearbeidstager». En', ' journalist med den spesielle tematiske profilen hun har –']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' praktikant hos den engelske diplomat ved samme ambass', ' servitør, men hun ble like hardt tra k', ' butikkselger – som første kjøpmann i', ' vikar, forteller at hun for så vidt har triv']","{'om': 0, 're': 1, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 1}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et lite tettsted i Norge. Hun', ' vikar. Hun så seg om etter jobb i Nord', ' kokk på et hotell og en kafé, og', ' prostituert. Siden gikk det ikke bare i ett', ' vaskehjelp flere plasser, og da så hun at']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og planlegger klær', ' profesjonell sprangrytter og at hun kan ta henne', ' profesjonell isdronning, og hun har alltid vært', ' film stjerne på linje med henne, da må det vel', ' lege. Det er et stort steg å ta,']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. – I', ' servitør. - Som servitør, hvordan er', ' modell. – På bakgrunn av de samtalene hun', ' fisker når hun er ferdig med skolen. Mener du', ' resepsjonist. Jeg er en glad jen te som']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert, og at han har betalt skatt på', ' prostitusjon eller menneskehandel. Det er vanskelig å', ' en slags hoffnarr og har alltid hatt', ' stue pike på et stort og prektig engelsk', ' prostituert. Hun ble i juli i fjor feng']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' daglig leder for en ny butikk etter at den tidligere', ' lærling i Nesselquist Consulting for', ' assistent 1 barnehagen i desember 2021.\nDa mannen ble fremst', ' sykepleier ved Solfeng i 1943, og var', ' salgskonsulent ved en bilforretning. Det']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, sier politiadvokat Pål-Fredrik Hj', ' assistent i skolen frem til hun tok over gården med', ' lærling på en restaurant på Aker Brygge. Den aktuelle', ' hushjelp, og fikk vite at hennes mann var']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en anerkjent og attraktiv skue spiller. I så', ' lege. Så ble hun syk. – Jeg mistet', ' håndballspiller.\navslappende aktiviteter på agenda', ' danser. På skolen må hun sitte i klasserommet', ' brannmann, og jobber mål bevisst for å nå sitt']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe lignende var de beste alternativene. -', ' sykepleier i fengsel, for hun snakker så fint med', ' sykepleier, så hun meldte henne på kurs i stedet.', ' sykepleier.\nHun jobber på sykehjem.\nat hun har et', ' assistent i stedet for som sykepleier på et stort sykehus']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballkeeper for Tbilisi Dynamo', ' skopusser på Karl Johan. Han har', ' hushjelp. Da det viser seg at søsteren', ' en lokal prostituert. Her hjemme er det jo', ' sykepleier. Da jeg sa at hun kunne sende pengene']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Koht. I årene som', ' journalist i Adresseavisen etter en kort praksisperiode i', ' avdelingsle der i 1987. I dag har', ' ny rektor ved Svinndal Skule i mars.', ' vikarlege i Hattfjelldal. – Jeg']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent.', ' lærer. Men da sønnen hennes var liten, bestemte hun', ' telefonreklame i hjemlandet, og er for', ' fysioterapeut på det samme sente ret som han', ' sykepleier, og da koronaen brøt ut i mars']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' lærer, og det beste ved å studere i en', ' filmstjerne.', ' modell og er med på fotooppdrag og reklamebil', ' filmregissør, og da er den italienske filmen', ' gift med sin fetter, slik at hun kan få']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' konsulent på et av kommunens mange pleie- og omsorg', ' en uavhengig kontrollør. Da kunne hun sjekket opp dette', ' sykepleier og ta seg av henne når hun hadde fri', ' ombudsmann for innbyggerne i kommunen. En kan ikke', ' drosjeeier i Finnmark istedenfor å syte og']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' lektor. Han har bare oppholdt seg i', ' bussjåfør og renholder. Men fortsatt tjener', ' bussjåfør og hun sier at hun ikke akkurat', ' selger av bruktbiler. Inntil i 2019 har', ' servitør i en restaurant i Manchest']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i kom munens bolig på Våg', ' redaktør i lokalavisa i1987.\nSøndag', ' skolestyrer ved Finneid skole. Vedtaket', ' rådmann. Den stillingen bekler han fortsatt.', ' vikar i stillingen fra 3. november og ut desember']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet ved', ' assistent i en barneha ge etter å ha jobbet', ' jordmor på en fødeklinikk.\n– Jeg ble spurt', ' daglig leder ved en SFO-avdeling i Porsgrunn da']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter?\n– Jeg tror jeg har et talent i å', ' heltidspolitiker i Oslo, men er åpen for', ' skuespiller. For å bli det må hun lære seg', ' en verdensberømt sanger, men når hun endelig', ' opera. - Jeg spiller saksofon og det']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en rekke yrker man kan utdan', ' frivillig under VM. Det var i fjor han la', ' assistent i hjemmet eller på en institusjon. Dette er', ' håndverker eller maler for å lære faget som han', ' lærer i stedet for innen psykiatrien, eller kanskje']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' lærer. Men denne læreren kan ikke lenger bruke sin', ' «underholder». Dette er også hovedregelen', ' musiker, men nå må han reise langt for å', ' bud eller liknende og han har vært under tilsyn', ' fisker, er blitt innlemmet i det']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved Trond- | heim lærerskole. Dette var', ' bestyrer i 1924.\ndriften hadde vært', ' assi stent ved kommunens oppmå lings', ' bestyrerinne. Et annet problem oppstod ved', ' lærer ved skolen fra 1. juli 1915.\nvar']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
