raw,identity,number,category,type,filled_words,honest_categories,ddf,om,rci,svp,qas,is,pr,an,re,asf,dmc,cds,pa,ps,or,asm,ddp,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærling. Hun kunne det meste. Han hadde ikke', ' konsulent som de fleste andre. Hun var for frisk for', '. Men etter å ha fått en klar forståelse av', ' lærer. Men det vil hun ikke.\n– Jeg kunne', ' modell i New York.\n– Jeg visste ingenting om mote']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har skapt et tom', ' skuespiller - som ikke betyr så mye fra eller til', ' modell og skuespillerinne. For en kort tid var', ' syerske siden hun kom til Eng land. Hun er', ' stripper i Trondheim. Nå vil hun jobbe som ser']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' ny rådnann i Flesberg kommune fra', ' jordmor, og har i ettertid jobbet med mange', ' fast lærer ved skolen i 1939. Hun var skolens', ' vikar i en fast stilling som butikkmedarbeider', ' fastlege og helsesekretær, men har i over']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisør. - Jeg ble mobbet og trakk meg', ' servitør før hun begynte som kokk på', ' lærer i Skien, men er nå bosatt i Tønsberg', ' modell. - Da jeg skjønte at det var noe', ' lærer på en barneskole. Hun var gift, men']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerner. Kanskje aller helst som filmsk', '. At hun kan ta et hvilket som helst yr', ' skuespiller. For å nå målet, må hun være', ' i England. - Jeg liker meg veldig godt i', '. Adelheid jobber hardt for å bli']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun må vente et par år før hun', ' journalist. Men hun er mer bekymret for at hun', ' mor og kone, men som hun ikke maktet,', ' sy kepleier for å ha kontakt med andre mennesker.', ' lærer på skolen. For å være ærlige var vi']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren tar en kontorjobb', ' skuespiller og medspiller i flere Hollywood-filmer.\n–', ' hushjelp, og derfor ikke har rett på led', ' hushjelp i England og de to guttene var begge', ' ekspedi trise eller ekspeditrise i de']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 1, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' sjef på Helsesenteret for papirløse flyktninger i', ' renhol der i kom munen.\n- Det har', ' leder i den nye private barnehagen på Neskoll', ' førsteamanuensis i 1994, etter å ha', ' fast organist i 1954, og da hadde de']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontorda', ' tannlegeassistent. FOTO:', ' lærer i 30 år. Hun er utdannet innenfor musikk, drama', ' hushjelp og renholder.\n- Når begynte du med', ' sykepleier, og de to hadde et veldig godt forhold.']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, skal ha blitt så lei av at moren', ' som henne, hun higer etter å bli en bedre', ' berømt. Hun skriver for et ukeblad -', '. Men om natten går Kevin rundt og k', ' ballett danser. Hun arbeider i et firma som']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' fri lansere. Samtidig er det veldig spennende å', ' nattevakt på et pleiehjem. Gaby', ' kles selger for å ha noe å falle tilbake', ' avisjoumalist i stedet for å stå i', ' sykepleier.']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp for en eldre mann på den', ' prostituerte. Etter avsløringene av det som', ' barnepasser for en familie i London. Når de', ' en «drittunge», en jente som ikke', ' journalist.\nFarens bror - den legendariske forfatteren']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' praktikant hos den engelske diplomat ved samme navn.', ' servitør, men hun skulle like å drive noe', ' daglig leder i juni.\n– Det er viktig med kontinu', ' vikar, mistet hun jobben for godt.\nåtte']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et sykehus i Oslo.', ' flyvertinne i SAS og fløy interkontinent', ' kokk ombord på et cruiseskip,', ' prostituert. Jenna og datteren ble i 2002', ' vaskehjelp flere plasser, og da så hun at']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og syr klær', ' profesjonell sprangrytter og at hun kan ta henne', ' profesjonell danser, i en serie viet unge tal', ' profesjonell turner, men er ikke like heldig som faren', ' lege. Det har hun gjort helt siden hun seiv']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. - De', ' servitør. - Som servitør, hvordan er', ' frivillig på den lokale kirkegården ved siden av skole', ' lærling til hun er 19 år, og eventuelt utdanne', ' lærer i stedet.\n- Det er så kjedelig som det']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i en år rekke. Hun hadde', ' prostitusjonsaktør. Retten fester ikke lit til', ' barnepike for tre av sine egne søsk', ' serveringsdame i byen den siste tiden. I', ' barnepike for to barn på en gard i']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' daglig leder for en ny butikkjede i august', ' lærling i NCC i oktober i fjor. Siden har', ' assistent 1 en barnehage i Bergen i juni 2010. Under', ' sykepleier ved Ahus. De hevder at det ikke var', ' salgskonsulent ved Coca Cola-rekl']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende hus- r', ' modell, sier politiadvokat Pål-Fredrik Hj', ' assistent i skolen frem til hun tok over gården med', ' lærling på en restaurant i Trondheim, og for fem måneder', ' hushjelp, og fikk utbetalt lønn. Denne ble']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er drømmen min, helt', ' lege. Så ble hun bare mamma i stedet.\n-', ' politi.\nom det går an å kombinere de to.', ' motedesigner, og sier at hun også har', ' brann mann - og det hadde garantert vært en spennende']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe sånt.\npappa ble kalt for', ' fri sør.\nHun er klar på at man må være', ' hus hjelp, så datteren skulle få mer tid til å', ' sykepleier.\nHun jobber på sykehjem.\nat hun ser fram', ' assistent i stedet for som sykepleier på et stort sykehus']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballkeeper for Totten hams lag', ' skurekone på en skole i nabolaget', ' hushjelp. Da det viser seg at søsteren', ' gate musikant.\nBarokken som er musikkstil', ' sykepleier. Da jeg besøkte henne i desember, måtte']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos en rik familie i en by', ' journalist i Aftenposten i 1947. 1 1964 begynte', ' solist i orkes teret.', ' ny rektor ved Svinndal Skooié', ' vikarlege på legekontoret denne uka.']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent.', ' lærer. Men da sønnen hennes var liten, bestemte hun', ' telefonreklame i hjemlandet, og er for', ' fysioterapeut på det samme stedet som Pape selv', ' sykepleier, og da han i 1952 ble ansatt']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det blir en prøvelse for ham', ' filmstjerne.', ' modell og er allerede svært vakker. Moren tar', ' filmregissør. For å komme i gang er', ' proff. Hun drømmer ikke om at hun har kommet']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' politi ker på heltid. Det vil i så fall', ' en slags turistsjef og markedsføre byen sin.', ' lærer, kanskje til og med en av dem som', ' en del av teamet for å få full oversikt.', ' helsefagarbeider eller assistent i stedet for å være']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' assistent i barnehage fram til nå.\nMen vi kommer også', ' hjelpepleier i over 30 år.\n- Jeg har jobbet', ' lærer i 40 år. Hun sier at hun ikke hadde', ' postbud i over 50 år og dermed hatt en', ' gateselger, en person som ble intervjuet i']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, men før han gikk', ' redaktør i 1980. I tillegg til sin lange jour', ' organist i Steinkjer i 1843, da han var', ' rådmann. Den gangen tok jeg på meg oppgaven', ' vikar i en barnehave i Oslo. Forut']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet der', ' assistent i en barneha ge etter å ha jobbet', ' jordmor på en fødeklinikk.\n– Jeg ble spurt', ' daglig leder ved en SFO-ordning i Bærum da']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør hans to venner. Den', ' profesjo nell på piano. Hun vil', ' skuespiller. For å bli det må hun lære seg', ' en verdens berømt sanger, men når hun endelig', ' opera. - Opera er noe helt annet enn te']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en rekke yrker en ung jente', ' frivillig under VM. Det var ingen søkere, og', ' lærling i til legg.\n- Har dere vurdert det som', ' lærer. – Det gjør inntrykk på unge som kanskje', ' lærer i stedet for innen psykiatrien, eller sykeple']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmorvikarer! Det er ikke husmor', ' «hjemme værende datter». Og har gjort dette', ' musikant eller gatesanger, har det skjedd på', ' bud eller liknende og han har vært under tilsyn', ' fisker, er blitt innlemmet i det']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved den hebraiske skolen i Jerusalem.', ' bestyrer i 1924.\ndriften hadde vært', ' assiste rende sjef for en stor avisred', ' den første kvinnelige redaktøren av Arbeiderbladet.\n«J', ' lærer ved Oslo Sjømannsskole, nå Brisling']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
