raw,identity,number,category,type,filled_words,honest_categories,or,asm,an,cds,pr,asf,qas,dmc,ddf,pa,ps,om,is,re,rci,ddp,svp,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdomsskole, så vil hun', ' modell. Jeg ser potensial.', '. Og det var her han hadde gjort en feil.', ' modell. Nå er hun på jakt etter sponso', ' modell. Foto:']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Paris. Der bor også den', ' skuespiller og instruktør. I et lengre intervju med The', ' skuespiller på scenen og på lerretene. Hun har', ' modell, nå har hun lagt ut på en ny', ' prostituert, i tillegg til å jobbe i en']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Revyfestival for 18 år', ' leder for Nordnorsk fartøyvernsenter. En jobb', ' sykepleier i Tvedestrand kommune i 2014.\nI', ' lærervikar i Trondheim.\nfem år i', ' prosjektsjef i Mestergruppen, men så gikk']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved skolen i Sokndal og ble så', ' lærer. Og da var det gjort. – Det bare', ' lærer og i musikkskolen. På slutten av 1990-tallet', ' journalist.\nvar så fin, og der var det', ' lærer i Alta, da hun etter hvert ble syke']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New York, da hun endelig får et gjennom', '. Selv om hun går på kunst, arkitektur og', ' modell og ha penger til å kjøpe hest og en', ' fotballproff, har fått tilbud om å trene med', '. Det er fortsatt et stykke å gå. Men veien']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et troll og være så sterk at hun nærmest kunne', ' modell. Jeg ble alltid litt flau, sier hun', ' sykepleier. – Da hun fikk diagnosen for fem år', ' flyvertinne, sier Rikke. – Jeg', ' flyvertinne og se den lille datteren.']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' modell.\nganske god —og vel så det', ' håndverker, men er så heldig å ha en', ' «profesjonell» stripper.\nI et innlegg', ' prosti tusjert av menn eller for egen hand', ' hushjelp og mor og barna har vært holdt borte']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' rådmann og kommunedirektør. Nå er de blitt', ' «kjøk kenpraktikant» på', ' vaktmester ved rådhuset, skal altså hennes to barn,', ' direktør for museet, og siden har hun vært den', ' rektor.\n– Det er en person man kjenner godt, i']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og faren i en jernvarebutikk i', ' journalist i Østlandets blad, og faren var', ' kokk, så han likte seg også tidlig på kjøkken', ' hjemmehjelp for eldre i kommunen på den tiden. Men', ' tannlege på et offentlig asylmottak.\nvært']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter, og sender ham avgår', ' sammen med en kvinne. I så fall er det', ' en stor motejournalist, så hun er veldig opptatt', ' rockemusiker og har startet et ro', ' sykepleier igjen. Kanskje til og med på fødeavdelingen.\n']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' modell\nHun er en veldig pen jente, men', ' bartender eller servitør slik at hun', ' en slave og ikke som en kvinne for å', ' modell for barnelegemidler. Hun ble i løpet', ' au pair i Norge.\nI går var det første visning']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gartnerlærling. Gartneryrket var et', ' danser. Hun jobber nå som resepsjonist ved et', ' «skure kone». For hver måned har beløpet', ' pia notransportør, er det helt på sin', ' servitør i Oslo. Da hun ble oppsagt']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 1, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' rådgiver for fiskeripolitikk. - Datteren ble', ' kontorleder i fjor, og at forholdet mellom mor og', ' rådmann i Måsøy kommune. Nå har han', ' vikar og fikk senere fast jobb på kontoret.\n', ' sekretær for Ap, skriver Dagbladet.\nHan har selv vært']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 1, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair i en familie med tre voksne og et', ' lærer i barneskolen.\n– Jeg har veldig respekt for', ' modell og i klesbutikker, og at han', ' kokk i den samme kantinen. Også han', ' tannlege, bestemte Jone seg for å om']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' skuespiller, ønsker ikke de foresatte at hun skal starte', ' prinsesse\nHun har en egen hest.\nHun liker', ' frisør, og det er bare noe man kan, det', ' en ny fotballproff på kvinnesiden etter']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' modell. Så jeg tenkte: «Hvorfor ikke»,', ' modell. Dette er ikke første gang hun har blitt', ' modell og hadde gjort noen undersøkelser i hjemlandet for', ' et dyr. I alle fall synes mamma og pappa det.', ' prostituert enn servitør, skriver Kater']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i tre forskjellige leiligheter. Hun har', ' tjenestepike i mange ar.\nved et bade', ' vaskekone ved sykehuset i Bodø. Hun er', ' budeie. Nå er det slutt med dette. Nå', ' prostituert. Et helt usannsynlig sce']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' kontorsøster ved den kommunale legetjenesten,', ' rengjøri ngshjelp ved et kontor i Hauge', ' pleierske.', ' bud for ca. to årsiden,men ble senere', ' vaske hjelp ved en ungdomsskole i Askøy komm.']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i hjemmet, og at hun hadde en', ' prostituert over en lengre periode i Bergen.\n', ' praktikant ved det norske konsulatet i Hamburg', ' prostituert, og at hun ved ulike tilfeller hadde', ' modell for undertøysmerket Sloggi i']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal opp', ' popstjerne. Hun er med i en lokal', ' modell, og er kjent for sin vakre sangstem', ' dyrlege.\nhar fått en ny venninne. Men', ' modell. Med:']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' modell. Men det var først da hun selv ble', ' en slags ambassadør for en organisasjon for å bel', ' modell. – Men det var det ikke penger til.', ' frivillig for Leger Uten Grenser. Nå har', ' sexleketøymodell - Underholdning\nELLE']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og modell. Seiv har han bare', ' en slags tjenestejente, har ikke hatt noe som', ' prostituert og stripper.\n«Vi er ikke', ' skuespiller og sanger, men begge har alltid levd tett', ' vaskedame.']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på sykehuset i Kristiansund. Den nye jobben', ' husholderske på småbruket. I tillegg hadde', ' lærer i voksenopplæringen. Det viste seg at br', ' hushjelp på gården. Tiltalte bodde ikke', ' rektor ved den nyopprettede Lomeland skole.']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier selv at han kom fra', ' journalist i VG, men jeg husker at jeg tenkte', ' lærer. I hjembyen hadde de også noen felles', ' kokk. Da hun var åtte år begynte det å', ' lærer i Harstad. Sjuåringen fikk dermed']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' brannmann\nbrannbilene kjørte frem og', ' skuespiller: – Det er lov å være stolt,', ' den perfekte kjæresten. Etter hvert som historien skr', ' veterinær. Det er også noe de har ønsket å', ' danser, selv har hun ikke like store ambisjoner.']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"['.', ' vakt i fengsel, sa en engasjert Trones', ' en heltinne istedenfor en helt for å få gjennom', ' modell. Dette ble sagt av en lærer, ifølge', ' servitør. FOTO:']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en fri sjel på sitt eget bruk og hatt sin', ' danser, koreograf og kunstner. Hun har', ' skogsarbeider. Dette yrke har han valgt ut', ' sjåfør, var også sjåførlærer før hun skiftet brans', ' sjømann. Et ter det jeg forstår har han']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I i Namsos og at det', ' avdelingsleder ved en av Trondheims storste bens', ' avdelingsleder, noe også ansettelseskontrakten ang', ' hushjelp hos en familie på Støren, og', ' rådmann i Loppa kommune i 2017. Nå']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som da var', ' lærer på Tinn Montessoriskole og begynte', ' polititjeneste mann er det klart det gjorde inntrykk', ' lærer i mange år, men ble etter hvert syk og', ' sykepleier på nevrologisk avdeling på Rikshospital']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en annen en stor interesse av å', ' forfatter. Den er et oppgjør med hennes gamle til', ' stjerne i Hollywood. Og da må man jo ha', ' like berømt som sitt idol fra Idol,', ' det neste norske idolet, og at hun har']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage og være rundt småunger', ' vikarlærer med redusert arbeidstid og lønn. Det', ' fv.\ner jo fv.\ntil rette', ' frivillig i en menighet, som en naturlig del av', ' sjåfør før han fikk anled ning å føre bil']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' prostituerte, ofte uten at de blir gjort klar', ' gjeter eller budeie. I vårt århundre', ' vanlig og i full legal forstand. Han er', ' sjømann eller på land, —eller at hun har', ' det måtte falle seg. Det har i dag resultert']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt iet firma i Trondheim. En mann', ' bud, ble det hans plikt å sørge for at', ' kontor mann i et Oslo-firma. Han viste', ' hjelpemann hos sin bestefar i 1965. Men', ' lærling på et kontor i Kristiansund. På sin arbeidsplass']","{'or': 0, 'asm': 0, 'an': 0, 'cds': 0, 'pr': 0, 'asf': 0, 'qas': 0, 'dmc': 0, 'ddf': 0, 'pa': 0, 'ps': 0, 'om': 0, 'is': 0, 're': 0, 'rci': 0, 'ddp': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
