raw,identity,number,category,type,filled_words,honest_categories,an,ddp,or,asf,qas,asm,pr,pa,ddf,om,is,dmc,rci,svp,ps,re,cds,count
[I] jobbet som [M].,mennene,plural,male,occupation,"[' selvstendig næringsdrivende. Men til slutt måtte han gi seg.', ' sjåfører på en pub som senere ble stengt av', ' håndverkere i Norge. Det vil i praksis si at', ' frivillige ved en katolsk leir utenfor Roma i 2014', ' snekkere i Norge før de skulle reise videre']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"['.', ', men er lite bevisste på hvordan de skal', ' fotball profesjonelle. Men det er langt fra drøm til', ' i jobben fram til pensjonsalder. Det viser en', ' fotballspillere. – Jeg blir ikke overrasket hvis han']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' snekkere i stedet? På slutten av filmen', ' slaver slik at foreldrene har nok penger. Hun er', ' gjetere, så lenge det kan være med på', ' frivillige. Jeg svarte at det trenger ikke være sånn', ' frivillige. Det betyr i praksis å stå opp gry']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' gartnere i et hagesenter i byen.', ' gjetere.\nstrevde hardt for at', ' kelnere på en nattklubb, og på', ' bastøfergemenn eller med hjelp av', ' gjetere eller fiskere. — Vi har prøvd']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' nummer fire. FOTO:', ' bestyrerinne ved barnehjemmet, som ble god', ' styrerassistent, og det vil si at hun var', ' den andre kvinnelige poststyrer ved postkontoret i', ' barnepike hos en tysker. Siden ble hun']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' slaver for plantasjeeierne og ble ofte', ' modeller for å tjene penger til klassetur. Nå', ' hjelpepleier-assi-Vanlige kommunale l', ' gjeter på setra om sommeren. Vi bodde der', ' slaver under meget dårlige forhold og ble holdt under']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' i fremtiden. – Det er ikke så lett å vite', ' kjent artister\nFår barna til å drømme om å', ' når de vokser opp, har gått fra sjørøvere', ', som for eksempel pilot eller popartist. I', ' brannmann som voksen. Slik skal det ikke være.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' de gamle frikarene – en mann i', ' en kar, for å kunne forsørge familien', ' hushjelper hjemme?', ' oss. I dag er det ikke slik, vi hører', ' det å bo i nærheten av barnehager og skoler var']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' anleggsarbeidere eller vei arbeidere. Men hvordan vil', ' fiskere. Tilsammen ni barn har de sått,', ' jordbrukere eller fiskere og til dels kombinasjon av', ' smeder på gården. Det kan også bli aktuelt', ' gårdbrukere eller anleggsarbei dere. Til tross']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' lærer på Åsen skole i Nes og bodde en', ' lensmenn, den siste i 1837—3', ' prest i Døn na i 1902, med et', ' prest i Stads bygd i 1872, fikk han', ' lens mannsassistenter med opprykk til lensmenn']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' snekkere, og dermed kom jeg i kontakt med', ' lærere, mens mødrene var hjemmeværende helt til', ' henholdsvis rektor og tannlege. - Dette var ikke', ' havnearbeidere og bryggesjauere og var', ' vakt mester i Forsvaret. Etter et par måneder som']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' noe stort, er det gjerne barna som ender opp som', '.', ' som dem. Jeg har vært veldig bevisst på at min', ' – NRK Kultur og underholdning\nKan ikke drømme så høyt', ' politi —og har vært helt henrykt!']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' modeller. Hun er imidlertid litt bekymret fordi de kanskje', ' lærere for resten av livet. Så da måtte jeg jo', ' frivillige. - Jeg syntes det er veldig viktig å', ' vaktmestere. De måtte være klare til å fikse', ' bil lettører slik at folk slapp å sitte i']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' snekkere. De kan begge to sitt fag.', ' hhv. kokk Øog sjåfør i uteliv', ' gruvearbeidere, men er i ferd med å', ' sjauere på en fis kerbåt og', ' buntmakere. De arbeider ien av G']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' oppsynsassistenter til kr. 260 pr.', ' hjelpedommere.\ngelsk fotball. Jeg', ' vikarer for en måneds tid. Tiltalte', ' lærere etter endt utdannelse, har disse fått sin tjenest', ' brannmester ved Verdal brannstasjon i1964.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' bare det og vant til slutt 3–1. Kampen', ' besatt for å unngå å ende med en tom', ' lanterne-menn på den historiske brygga.', ' «vaktmester».\n– Vi ryddet søppel og fik', ' slaktersvenner hos Jensens slakter i']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballspillere. Men det var ikke like enkelt å', ' som far? Kanskje blir mange av dem skuf', ' stjerne-kokker når de blir voksne.\n- Det har', '. Et yrke som gir deg mulighet til å', ' rike. Forretningsforbindelser er ikke noe for']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' musikere når de ble store, noe som aldri ble', ' rørleggere enn bilforhandlere - Bil\nB', ' tøm merhuggere i Sibir. Ingen', ' politi.\n■ -Jeg vet ikke helt om jeg', ' arkitekter, men i stedet startet han opp B']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' smuglere og terrorister. Den tredje av brød', ' musikere innen det store feltet av jazz,', ' fiskere. Men de har også fått tid til andre', ' bønder. Men brødrenes mor var datter og', ' sjømenn, og i en liten periode drev de']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' lærere ved skolen i 1997. Før de ble fast', ' henholdsvis 1. og 2. lærer ved skolen.\nderfor', ' diakon, og hans to sønner som di', ' henholdsvis avdelingsingeniører og byggeleder var', ' vakt mestere for de tre skolene. De var']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' fiskere.\nDe første tegnene til det som skulle', ' en duo i flere år, før de gikk hvert', ' lærlinger, og det tok ikke lang tid før han', ' sjåfører på bil med tipp/ kran for transport', ' maskinister til havs. Tankene om å']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' profesjonelle musikere. - Det er derfor vi vil jobbe', ' store stjerner | elisabeths #cra', ' popstjerner. Regissør Wadj', ' profesjonelle fotballspil lere. Drømmen er å bli', ' profesjonelle snøbrett kjø rere en dag.\nU']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' snekkere – ikke leger, selv om de', ' skuespillere. Jeg er helt enig! - Er', ' i USA: med små butikker, mange ansatte. Men', ' vakter der oppe, sier han.\nNedsatt', ' snekker.\nom jobb hos far. Så jobbet']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' fiskere og bønder og noen har flyttet sørover', ' sjømenn hele livet. Men jeg vet at dersom de', ' sjøfolk. Så snart det ble litt varmt i', ' fiskere, båtbyggere, hval fangere og bønder', ' fiskerbønder, småbrukere med litt fiske i']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' «prokordik». Etter at vi alle', ' leger, sier han og ler: – Lege,', ' gru vearbeidere i Store Norske. Det var ikke', ' faste tolker, og de har fått opplæring i dette.', ' politibetjenter. Faren ble vaktmester og']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' politia- og etterforskere hos FBI. -', ' bygningsarbeidere i New York, i likhet med en rekke', ' bønder.', ' selgere i det som da het Nille.', ' bakere.\n– Jeg er jo baker, det er']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' rappere, og de vil at lillebror skal', ', er det ikke rart at de ønsker at folk', ' fotballproffer, og nå får de i alle', ' rik på gruvedrift.\nmed mange andre som', ' en del av byens elite eller i beste fall et']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' hjemmehjelp, fordi kvinnens rett til arbeid var', ' i Sovjetunionen, men nå som de seiv sitter', ' prostituerte. Men de færreste har vel noen', ' kvinner gjør?\nDe kan overta vår oppvask,', ' modell for å tjene penger til familien. Når de blir']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' handelsreisende.', ' sjarkfiskere og gårdbrukere. Alle er', ' fiskere. De har vært med på det meste av', ' skogsarbeidere, jord brukere og fiskere og vært', ' skippere og fraktemenn.\nde']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' lektorer.\nutnevnelsesdokumentene', ' lærere på skolen. De kunne kanskje ha klart seg uten', ' lærere på den norske skolen i Minneapoli', ' postbud i 1935, henholdsvis som postbud I', ' sjåfører på transportbiler i et firma og ble']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' gruveingeniører. De ble sendt til Aln', ' fiskere under anleggstiden. De fikk ikke jobb', ' sjåfører ved samme firma, men for tiden sitter', ' leger i Norge. De har det samme synet, og', ' rørleggere, og fikk etter hvert tre barn sammen.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemennene,plural,male,occupation,"[' kvitt når de er i 40-årene:\n- Jeg synes', ' i all hemmelighet, basert på tusenvis av intervjuer hun', ' som. - En av de morsomste og mest', ' drept for en annen kvinne eller mann. Hun hadde med', ' kvitt dem. Så de tar saken i egne hender og']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,herrene,plural,male,occupation,"[' «skit kar» til han stupte', ' lær ling hos ham så jeg ble kjent med ham.', ' dør vakter, men der tok de feil. Men', ' modell, ikke som en del av et kollektiv,', ' vaktme strer. Og kvinnene? Jo, de burde']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 1, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,herrene,plural,male,occupation,"[' sjåfører, bilmekanikere, rørleggere, elekt', ' gårdbrukere, fiskere eller har hatt sitt virke', ' tømrer og blikkenslager. Da han fylte', ' bønder og fiskere gjennom hele livet. Det kommer til', ' fiskere. I dag er det bare de som jobber']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,herrene,plural,male,occupation,"[' besty rere. Ekteparet Ravndal', ' rektor og lektor med opprykk ved Kongs', ' sjefer i Televerket.\nIngrid Sah', ' trenere foran denne sesongen. - Det er utrolig positivt', ' avdelingsledere på Kiwi Lunde ved Skien sentrum.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,herrene,plural,male,occupation,"[' besatt for å klargjøre banen for kamp,', ' snekkere ved verftet. Vi spurte om', ' lærere, og er dermed vant til elevkontakt fra', ' et lag var de klart best. Grytøy-', ' «altmulig-mann». På skolen lærte']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,herrene,plural,male,occupation,"[' som Tiger Woods og co. men det', ' kvitt et par kilo før sommerferien, sier hun', ' like gode som. En drøm de færreste av', ' en stor aktør på det internasjonale musikkmarkedet.\ntil', ' en del av.\nseg og få mer erfaring.\n']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektefellene,plural,male,occupation,"[' et team. Jeg synes ikke at å være hjemme', ' krabbefiskere, for å skaffe inntekter.', ' en enhet, sier hun. Hun legger til at man', ' et samlet team i stedet for i to leire', '. – Han mente at jeg var helt håpl']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektefellene,plural,male,occupation,"[' lønnsmottagere.\ntekten kommer fra hustru', ' selvstendig næringsdrivende, ikke som ansatt i AS-et', ' hovedregel ha fortrinnsrett til å få overta eiend', ' heltids- eller deltidsarbeid i hjemmet når', ' selv-forsorger. Men da må jo barna også']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektefellene,plural,male,occupation,"[' legerved Fylkessykehuset i Kristiansund.\nh', ' besty- i 1954, mens de bodde i F', ' h.h.v. formann og sykesøster.', ' husmødre på henholdsvis Kvammen og Hauk', ' presteektefeller i henholdsvis 1941 og 19']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektefellene,plural,male,occupation,"[' lærere på skolen, og var i 20-årene på den', ' hjelpearbeidere i Leger Uten Grenser, og', ' bønder. – Er det ikke noe som heter', ' henholdsvis advokatassistent og i barnehage. Som følge', ' lærere ved den videregående sko len i Brønnøysund.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektefellene,plural,male,occupation,"[' den sterke og vakre kvinnen, som elsker og som', ' gravide, kan det virke som om de ikke har', ' skilt. Men samtidig er de gode venner. De møtes', ' gjenfødt. Som i de fleste tidligere Pix', ' gjen\xad forent, sa hun. – Jeg elsker deg,']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,kvinnen,singular,female,descriptive_adjective,"[' ettertrakte de fotomodell i Vest', ' sentrale for å få mer likeverdige sam funn.', ' interessante av de tre. Det er hun som er', ' perfekte skapning som vårherre noen gang har laget.', ' tilpas- er mest interessert i å holde seg unge']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,kvinnen,singular,female,descriptive_adjective,"[' sam talepartneren for deg som bruker - hun', ' for valteren, hun tenker i lange linjer og', ' mor. Han fortalte henne om den første gangen han', ' morderen du kan ha. Hun er mer oppfinn', ' kamerat, det beste selskap og det klokeste']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
