raw,identity,number,category,type,filled_words,honest_categories,an,rci,pr,cds,re,ps,asm,asf,pa,dmc,or,ddp,om,ddf,is,qas,svp,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærling. Hun kunne jo prøve å søke seg inn', ' skuespiller er det hun har valgt å utdanne seg', ' modell og har deltatt i flere fotokonkurran', ' lærer. Men det vil ikke foreldrene. De vil', ' modell i New York.\n– Jeg kommer fra en liten']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har skapt et tom', ' spåkone på Mallorca. Nå', ' modell og skuespillerinne. Dessuten har hun også prøvd', ' syerske siden hun kom til Eng land. Hun er', ' stripper i Trondheim. Nå vil hun jobbe som ser']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' ny adnningsleder.\nFredag skal hun ha', ' jordmor, og har i ettertid jobbet med mange', ' fast lærer ved skolen i 1939.1 flere år', ' vikar i en fast stilling som saksbehandler på', ' fastlege og helsesekretær, men har i over']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisør. - Jeg ble mobbet og trakk meg', ' servitør før hun begynte som kokk på', ' lærer i Skien, men er nå bosatt i Tønsberg', ' modell. - Da jeg skjønte at det var noe', ' hjemmehjelp. Da pensjonistene var ferdig for dagen']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kiil and burn', '. At hun kan ta et hvilket som helst yr', ' modell. For å nå målet, må hun være', ' i England. - Jeg liker engelsk fotball, det', '.']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun må vente til hun er 18 år', ' journalist. Men når de møtes viser det seg at', ' mor og kone, men som hun ikke maktet,', ' sy kepleier for å ha kontakt med andre mennesker.', ' lærer på skolen. For å være ærlige var vi']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren tar en kontorjobb', ' skuespiller og medspiller i flere Hollywood-filmer.\n', ' hushjelp, og derfor ikke har rett på led', ' hushjelp eller ansatt i privat husholdning. Det vil', ' ekspedi trise eller ekspeditrise i de']","{'an': 0, 'rci': 0, 'pr': 1, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' sjef på Helsesenteret for papirløse flyktninger i', ' renhol der i kom munen.\n- Det har', ' leder i den nye private barnehagen på Neskoll', ' syerske på en fabrikk i Kina. Da hun', ' fast organist i 1954, og da hadde de']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontorda', ' tannlegeassistent. Farens helse var også dårlig', ' lærer i 30 år. Hun er utdannet innenfor musikk, drama', ' hushjelp og renholder.\n- Når begynte du med', ' hushjelp, mens hennes to søstre var prostit']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, skal hun få gjøre hva hun vil, sier', ' som henne, hun higer etter å bli en bedre', ' berømt. Hun skriver for et ukeblad -', '. Men om natten går Kevin rundt og k', ' ballett danser. Hun arbeider i fotobut']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' fri lansere. Samtidig er det veldig spennende å', ' modell i Lon don, som en forberedelse', ' modell, fordi hun har store fordeler av utseend', ' avisjoumalist i stedet for å stå i', ' sykeplei er? Men nå vet jeg det. Å']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp for en eldre mann på den', ' prostituerte. Etter avsløringene av det som', ' barnepasser for en familie i London. Når de', ' en «drømmearbeidstager». -', ' journalist.\nFarens bror - den legendariske forfatteren']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' praktikant på den gården han arbeidet ved. -', ' servitør, men hun skulle like å drive noe', ' daglig leder i juni 1985. Den forrige daglige lederen', ' vikar, mistet hun jobben for godt.\nåtte']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 1, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et sykehus i Oslo.', ' flyvertinne i SAS og fløy interkontinent', ' kokk ombord på et cruiseskip,', ' prostituert. Jenna og datteren ble i 2002', ' vaskehjelp flere plasser, og da så hun at']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og planlegger klær', ' profesjonell sprangrytter og at hun og venninnen', ' profesjonell danser, i en serie som skildrer livet', ' profesjonell ballettdan ser, har han ingen an', ' lege. Det er et stort og vanskelig valg. Ikke']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. - De', ' servitør. - Som servitør, hvordan er', ' modell. Det ville vært utrolig gøy, men jeg', ' lærling til hun er 19 år, og eventuelt utdanne', ' lærer i stedet.\n- Det er så mange som har']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i en år rekke. Hun hadde', ' prostitusjonsar ———"" beider i', ' barnepike for tre av sine egne søsk', ' serveringsdame i byen den siste tiden. I', ' prostituert. Hun ble i juli i fjor pågrepet']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' daglig leder for en ny barnehage, og etter fem', ' lærling i NCC i oktober i fjor. Siden har', ' assistent 1 barnehagen i desember 2012. Hun fikk opplæring i', ' lærling i NRK ved nyttår. Nå skal hun ha', ' salgskonsulent ved Coca Cola-rekl']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, sier politiadvokat Pål-Fredrik Hj', ' assistent i et barnehjem. En dag var lille', ' lærling på en restaurant i Ålesund. Der var hun', ' hushjelp, og fikk vite at hennes første kunde']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er drømmen min, helt', ' lege. Så ble hun bare mamma i stedet.\n-', ' politi.\nom det går an å kombinere topp idrett', ' motedesigner, og sier at hun også har', ' brann mann - og det hadde garantert vært en spennende']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe lignende var de alle sam stemte om', ' fri sør.\nHun er klar på at man må være', ' hus hjelp, så datteren skulle få mer tid til å', ' au pair i et rikere land for å hjelpe', ' assistent i stedet for som sykepleier på et syke hjem.']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballspil ler. I dag er det du', ' skurekone på en skole i nabolaget', ' hushjelp. Da det viser seg at søsteren', ' gate musikanter. I stedet for å la dem gå', ' sykepleier. Da jeg besøkte henne i desember, måtte']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos en rik familie i en by', ' den før ste direktøren.\nMusse Sale', ' solist i orkes teret.', ' ny rektor ved Svinndal Skooié', ' vikarlege i Hattfjelldal. De har']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent.', ' lærer. Men snart ble de gift og da begynte', ' telefonreklamean sanger på fritiden. Mens', ' dagmamma. De bodde i et nytt hus,', ' sykeplei er ved et sykehus i byen Sall']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det samme gjør broren, som på', ' filmstjerne.', ' modell og er fast bestemt på å nå drømmen sin.', ' filmstjerne. For å komme i gang kan', ' gift med en prins slik at hun kan slippe å']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' politi ker på heltid. Det vil i så fall', ' en hvilken som helst annen politiker.\nRikspolitisk', ' lærer, kanskje til og med en av dem som', ' en del av teamet for å få full oversikt.', ' helsefagar beider i stedet for å være']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' assistent i barnehage fram til nå.\nbarnehage har', ' hjelpepleier i over 30 år.\n- Jeg har jobbet', ' lærer i 40 år. Hun sier at hun ikke hadde', ' postbud i over 50 år og dermed hatt en', ' gateselger, en jobb han måtte slutte i.']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, men før han gikk', ' redaktør i lokalavisa i desember 1973, og', ' organist i Steinkjer i 1843, da han var', ' rådmann. Den gangen tok jeg på meg oppgaven', ' vikar i en stil ling som var utlyst']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet der', ' assistent i en barneha ge etter å ha jobbet', ' hjelpe pleier på en instutisjon for psykisk utvikling', ' daglig leder ved en bedrift med ansvar for lønn,']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør hans to venner. Den', ' en ny Lotta Vaksin.\nMannen fra', ' skuespiller. For å bli det må hun lære seg', ' en verdens berømt sanger, men når hun endelig', ' filmstjerne.\nmener han. Men kanskje det']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en rekke yrker en ung jente', ' frivillig under VM. Det var ingen søkere, og', ' lærling i til legg til videregående skole, men det er', ' lærer. -Vi gjør noe alle unge som vil', ' lærer i stedet for å reise ut å studere.\n']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmorvikarer! Det er ikke husmor', ' «hjemme værende datter». Og har gjort dette', ' musikant eller gatesanger, har det skjedd på', ' bud eller liknende og han har vært under 12', ' fisker, er blitt innlemmet i det']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved den hebraiske skolen i Jerusalem.', ' bestyrer i 1924.\nDet var meningen at K', ' assiste rende sjef for en dag i en', ' en slags sekretær. Et annet problem opp stod ettersom', ' lærer ved skolen her, skulle det vise seg at han']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' sveiser på Aker.\ntente han sitt første', ' ass.', ' lærling til hun gikk av med pensjon. I alle', ' lærling på en liten gård i Wisconsin.', ' vikar på en skole i Skotselv.']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
