delta,language,score,value
translated,both,simple_ttr,0.05077545137433271
translated,both,moving_average_ttr,0.3973772967967916
translated,both,number_of_tokens,186.76923076923077
translated,both,stopword_density,0.5606727071934572
translated,both,self_bleu,0.1327724635724094
translated,both,compression_ratio,1.6095384615384618
translated,both,pos_compression_ratio,3.429153846153847
translated,both,3_gram_diversity_score,2.6946923076923075
translated,both,4_gram_diversity_score,3.694153846153846
translated,both,str_len,808.9230769230769
fiction,both,simple_ttr,0.04857993296971123
fiction,both,moving_average_ttr,0.3914117740389917
fiction,both,number_of_tokens,185.0
fiction,both,stopword_density,0.5543454672780257
fiction,both,self_bleu,0.12662012868897715
fiction,both,compression_ratio,1.6126000000000003
fiction,both,pos_compression_ratio,3.3474666666666666
fiction,both,3_gram_diversity_score,2.6962000000000006
fiction,both,4_gram_diversity_score,3.6954000000000007
fiction,both,str_len,818.2
newspapers,both,simple_ttr,0.08862502504392447
newspapers,both,moving_average_ttr,0.3951773454123736
newspapers,both,number_of_tokens,117.84210526315789
newspapers,both,stopword_density,0.5307418670170666
newspapers,both,self_bleu,0.09374899774346392
newspapers,both,compression_ratio,1.4100526315789474
newspapers,both,pos_compression_ratio,2.579157894736842
newspapers,both,3_gram_diversity_score,2.761684210526316
newspapers,both,4_gram_diversity_score,3.761684210526316
newspapers,both,str_len,578.4736842105264
untranslated,both,simple_ttr,0.051664182518428386
untranslated,both,moving_average_ttr,0.3897933042305802
untranslated,both,number_of_tokens,164.57894736842104
untranslated,both,stopword_density,0.5016679033617006
untranslated,both,self_bleu,0.06774515533313061
untranslated,both,compression_ratio,1.6686315789473685
untranslated,both,pos_compression_ratio,3.181210526315789
untranslated,both,3_gram_diversity_score,2.6450526315789475
untranslated,both,4_gram_diversity_score,3.6382105263157904
untranslated,both,str_len,852.2105263157895
all,nno,simple_ttr,0.086902151079005
all,nno,moving_average_ttr,0.3960184043184828
all,nno,number_of_tokens,137.82926829268294
all,nno,stopword_density,0.5122267786299088
all,nno,self_bleu,0.13331466573040732
all,nno,compression_ratio,1.4527073170731708
all,nno,pos_compression_ratio,2.7450487804878043
all,nno,3_gram_diversity_score,2.732878048780488
all,nno,4_gram_diversity_score,3.7321951219512193
all,nno,str_len,643.0243902439024
factual,nno,simple_ttr,0.18037289374639923
factual,nno,moving_average_ttr,0.41494787954706575
factual,nno,number_of_tokens,83.44444444444444
factual,nno,stopword_density,0.4614148559454281
factual,nno,self_bleu,0.06883513723188835
factual,nno,compression_ratio,1.1168888888888888
factual,nno,pos_compression_ratio,1.9701111111111114
factual,nno,3_gram_diversity_score,2.8428888888888886
factual,nno,4_gram_diversity_score,3.8420000000000005
factual,nno,str_len,417.8888888888889
books,nno,simple_ttr,0.05416935131465567
books,nno,moving_average_ttr,0.39032160473365024
books,nno,number_of_tokens,160.16666666666666
books,nno,stopword_density,0.5172985801743785
books,nno,self_bleu,0.023208566320060433
books,nno,compression_ratio,1.5893333333333333
books,nno,pos_compression_ratio,3.0461666666666667
books,nno,3_gram_diversity_score,2.675333333333333
books,nno,4_gram_diversity_score,3.675333333333333
books,nno,str_len,756.6666666666666
nonfiction,nno,simple_ttr,0.05399272987298455
nonfiction,nno,moving_average_ttr,0.39108163568765963
nonfiction,nno,number_of_tokens,164.25
nonfiction,nno,stopword_density,0.4777021095547845
nonfiction,nno,self_bleu,0.01711979607154075
nonfiction,nno,compression_ratio,1.5895000000000001
nonfiction,nno,pos_compression_ratio,3.07875
nonfiction,nno,3_gram_diversity_score,2.70175
nonfiction,nno,4_gram_diversity_score,3.70175
nonfiction,nno,str_len,765.25
translated,nno,simple_ttr,0.055608747687955554
translated,nno,moving_average_ttr,0.41571644788543805
translated,nno,number_of_tokens,179.0
translated,nno,stopword_density,0.5401056072416395
translated,nno,self_bleu,0.011651800907304
translated,nno,compression_ratio,1.6005
translated,nno,pos_compression_ratio,3.2904999999999998
translated,nno,3_gram_diversity_score,2.702
translated,nno,4_gram_diversity_score,3.702
translated,nno,str_len,743.5
fiction,nno,simple_ttr,0.054090991894404694
fiction,nno,moving_average_ttr,0.39242047338969943
fiction,nno,number_of_tokens,169.25
fiction,nno,stopword_density,0.5090228778086955
fiction,nno,self_bleu,0.02361045817423425
fiction,nno,compression_ratio,1.5587499999999999
fiction,nno,pos_compression_ratio,3.12725
fiction,nno,3_gram_diversity_score,2.723
fiction,nno,4_gram_diversity_score,3.723
fiction,nno,str_len,739.0
newspapers,nno,simple_ttr,0.0788369156684724
newspapers,nno,moving_average_ttr,0.386211407225077
newspapers,nno,number_of_tokens,116.11111111111111
newspapers,nno,stopword_density,0.5355951799952301
newspapers,nno,self_bleu,0.07879558735623746
newspapers,nno,compression_ratio,1.4346666666666665
newspapers,nno,pos_compression_ratio,2.558888888888889
newspapers,nno,3_gram_diversity_score,2.750777777777778
newspapers,nno,4_gram_diversity_score,3.7507777777777784
newspapers,nno,str_len,587.1111111111111
untranslated,nno,simple_ttr,0.05164734559599411
untranslated,nno,moving_average_ttr,0.3884214336608994
untranslated,nno,number_of_tokens,171.71428571428572
untranslated,nno,stopword_density,0.5567578507681245
untranslated,nno,self_bleu,0.07615634494301038
untranslated,nno,compression_ratio,1.6095714285714287
untranslated,nno,pos_compression_ratio,3.1577142857142855
untranslated,nno,3_gram_diversity_score,2.65
untranslated,nno,4_gram_diversity_score,3.6471428571428572
untranslated,nno,str_len,753.5714285714286
all,both,lix_score,33.70912065290976
factual,both,lix_score,32.06459799151383
all,nob,lix_score,35.23330932904409
factual,nob,lix_score,32.99807125426839
books,nob,lix_score,40.05579654443704
nonfiction,nob,lix_score,44.52815789440827
translated,nob,lix_score,24.694222400595336
fiction,nob,lix_score,25.155535267417815
newspapers,nob,lix_score,31.743921408891804
untranslated,nob,lix_score,47.48153627209933
books,both,lix_score,37.974493749203994
nonfiction,both,lix_score,41.05559315940014
translated,both,lix_score,23.707774276197764
fiction,both,lix_score,25.49737194996293
newspapers,both,lix_score,34.80314072967655
untranslated,both,lix_score,38.69130326104311
all,nno,lix_score,30.8466199684624
factual,nno,lix_score,30.819966974507736
books,nno,lix_score,33.81188815873792
nonfiction,nno,lix_score,33.242322505631854
translated,nno,lix_score,18.282309592011085
fiction,nno,lix_score,26.437422826962013
newspapers,nno,lix_score,38.20227330832626
untranslated,nno,lix_score,23.62233238494671
