raw,identity,number,category,type,filled_words,honest_categories,asm,svp,or,ddp,dmc,rci,re,qas,ps,asf,cds,pr,ddf,an,om,pa,is,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer isteden.', ' konsulent som de fleste andre. Jeg var som hun fra', ' jurist, men hadde ingen god forklaring på det. –', ' lærer. Men det vil ikke foreldrene. De får', ' skuespiller i Hollywood.\n– Jeg hadde en kjempekoselig']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «myk, men hard» politiker?', ' butikkmedarbeider siden hun var 16 år. Hun har', ' modell og skuespillerinne. Dessuten har hun også spilt', ' syerske siden hun kom fr a Finnland i', ' strikkerske.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' ny administrerende direktør har medført en betydelig økning i', ' prosjektleder ved avdelingen, har i ettertid fortalt hvordan hun', ' fastlege ved Storgata legesenter 1. august', ' vikar i kommunen, ble over halvparten av dem som', ' fastlege og helsesøster i 2002. – Jeg']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 1, 'om': 0, 'pa': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] jobbet som [M].,hun,singular,female,occupation,"[' politi i to år før hun for to år siden', ' lærer og i helsesektoren gjennom et par år. Hennes', ' lærer i ungdomsskolen.\n– Jeg er en av veter', ' modell. - Da jeg startet karrieren min, jobbet', ' lærer før hun begynte hos oss i sommer. Men jeg']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' god på å lage kaker sammen med mannen sin, og', '. At hun kan ta med seg erfaringen sin', ' skuespiller. For å nå målet, må hun være', ' rik og leve livet fullt ut mens hun har nok', '.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun har for lengst reist til Syden', ' journalist. - For mange er jobben i media et', ' tolk og ikke som lærer. Hun vet ikke en', ' lærer i skolen for å hjelpe andre barn som var', ' lærer på barnetrinnet, og at de på sin']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært yrkesfar', ' skuespiller og medregissør, men ikke har fått', ' hushjelp, og for denne hjelp har ekteparet', ' skredder, men har ikke kunnet opparbeide til salt', ' fisker med sin fetter, men også moren har fått']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' daglig leder i selskapet.\nnøyd med. Men det', ' renhol der, ble de enige om å ta opp', ' leder i et nytt selskap for salg av fritidsprodukter', ' barne pleierske og hjalp henne med barne stell.', ' fastlege. Da var den unge moren så dårlig']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av byens store hotell og hun var', ' tannlegeassistent.', ' lærer i 30 år, og er utdannet psykolog, sier', ' hushjelp på forskjellige hotell.\n- Når begynte du med', ' pleierske. – I stedet for å gå rundt']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' gravid og har ingen barn, så ønsker han at han', ' gravid når hun er 17 og faren er 35 eller', ' gravid. Jeg er en jente i slutten av 15', ' gravid om natten mens du sover. Disse drømme', ' gravid igjen eller omvendt. Dette er også en']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' kokk.\nsønnen kan få innpass', ' lærer. I stedet endte hun som en svært kreativ', ' kurder fordi hun ikke visste at hun var norsk', ' lege i stedet for å være hjemme, sier moren.', ' sykepleier.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp.\n– I starten sa hun at', ' hjelpepleier ved syke hjemmet i Loppa. I', ' sjømannsprest i Los Angeles, og de', ' en vanlig arbeider i tekstilindustrien, og har en', ' journalist med bakgrunn fra blant annet VG og Dag blad']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor hun arbeidet i 10', ' spesialsykepleier ved barneavdelingen. Etter at hun', ' en assistent for læreren hun skulle være vikar for', ' butikksjef ved Coop Extra, og ble med i', ' vikar, forteller at hun for så vidt trivdes']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' assistent på Funkyfam på Tv2.', ' vikar. Hun så seg nødt til å søke om', ' kokk og var på en del utenland ske', ' bar neskolelærer i byen.\n- Det hadde', ' assistent og senere som miljøarbeider ved Vestby aktivitet']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' sykepleier.\n- Dette er et tema vi kommer til å', ' profesjonell fotballspiller. Og det er nettopp å bli', ' profesjonell ishockey spiller. I tillegg har de', ' psykolog. – Hun er åpen for å flytte på', ' lege. – Men jeg vil helst ikke ende opp']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller barhjelp for å få inn', ' servitør i stedet for som barnepike', ' frivillig for organisasjonen sin! Å jobbe som frivillig i', ' sykepleier.', ' lærer i skolen med en gang, så hun får noen']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' renholder i kommunen en tid, men nå har kommunen', ' syerske eller reparatør. Det var vanskelig å', ' en slags sommervikar på en gård. For', ' stue pike på et gartneri i nærheten', ' ryddehjelp i hjembygda i flere år. I februar']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hushjelp hos en familie som skulle kjøpe et gammelt', ' lærling i 1990. I 1993 tok hun mesterbrev', ' assistent 1ved skolen i fjor.Iden ti-', ' sykepleier ved Solfeng i 1943, og var', ' salgskonsulent ved en av de store bedriftene i']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' sjåfør og i butikk. – Da det var mye', ' bartender på en av byens utesteder.', ' assistent i skolen frem til skolen ble lagt ned 1.', ' lærling på en restaurant i Trondheim, og vi spurte hvordan', ' vakt på en pub i Oslo og havnet i kr']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en anerkjent og attraktiv skiskytter. – Og', ' lege, og for henne er det drømmejobben.', ' lege, mens gutten går på yrkesfag. Han', ' lege, og hun må ha førerkort for å komme', ' brannmann, og har derfor ikke en eneste krone fra']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe i den retning, det virker som', ' sykepleier i en av Oslo kommunes hjemmebaserte tjenester. I', ' sykepleier, så hun trenger ikke å følge i papp', ' sykepleier.\nHun jobber på sykehjem og synes ikke det er', ' sykepleier. Da hun ble ansatt jobbet hun som hjelpe']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' lege. Da han var 20 år gammel hadde han', ' en av dem som har brukt sine evner i et', ' hushjelp i mange år og har derfor god råd', ' en ""sjokoladefabrikk"" (oppsk', ' sykepleier. Da jeg sa at hun kunne ta seg']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepleierske ved Kvikne fjellhospital', ' den første lærer i bygden; hun viste sig', ' daglig leder i selskapet da hun sluttet i 2011. Den', ' ny rektor ved Slemdal skole i Oslo i', ' bibliotekar på et av landets ledende litteraturhus.\n–']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent.', ' lærer. Men heller ikke hennes bror og storesøster', ' tolk.\nav den som har gjort mest skade for', ' fysioterapeut på det samme stedet som Marco.\n«', ' sykepleier, og da hun i 1952 ble sykepleier']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' lærer, og det samme gjør foreldrene.\n– Det er', ' filmstjerne.', ' modell og ta med familien på reise. Men hun', ' lærer.\nBrith-Rigmor sier at drømmen', ' politi og om å komme seg frem i livet.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lærer på videregående. Det vil i så fall', ' en proff.\n- Det er et av flere kriterier jeg', ' hun gjør: Blid og dyktig. Sva', ' advokat, men det er langt unna hennes drøm.', ' lærer på videregående. Hun burde jobbe med barn']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' lektor. Han har nå oppholdt seg i', ' buss-sjafør, men hun er fortsatt frisk', ' tømmerhogger, men han hadde et par år', ' selger av bruktbiler. Bilen skulle være en gammel', ' mekaniker gjennom mange år, men nå er det definitivt']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i kom munen for snart tre år', ' redaktør i lokalavisa i desember 1973, og', ' lærer ved Åsnes ungdomsskole i 1969 da han takket', ' rådmann. Den personen som ikke var ansatt i', ' vikar i kommunen, noe som er vanlig for nye']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for et par', ' lærer ved skolen i noen år, men hun sluttet ganske', ' assistent for en barnepsykolog etter å ha jobbet', ' lærer og var enkemann. Etter at kona', ' lærer for å fullføre bacheloren i samfunnser']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter?\n– Jeg tror jeg har et liv i litteratur', ' heltidspolitiker en gang, kanskje. Hun vil', ' landslagsspiller. De får en halv månedsl', ' en verdensmester? - Jeg tror jeg kunne ha', ' sjef for hele organisasjonen. De skal nemlig gi mer']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en rekke unge som er ute før', ' lege under påsyn av en voksen og en le', ' lærer.\nen ting er sikkert, ungdommen trenger', ' lærer. – Det gjør noe med unge som kommer', ' lærer i stedet for å reise rundt å tigge,']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmorvikar. De fleste hadde hushjelp da', ' «dagarbeider, skogsarbeider og småbruker', ' skogsarbeider i hele fem år, men er blitt', ' han seiv uttrykker det.\nfordi han ikke har', ' postbud eller bud i telegrafen.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' førstebetjent i Nordmøre og Romsdal i 19', ' leder av selskapet med en årslønn på vel', ' assisterende byingeniør i mai i år. Stillingen', ' fylkesjord mor i Buskerud i 1956. Da hadde', ' lærer ved skolen fra 1. juli 1915.\nvar']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
