raw,identity,number,category,type,filled_words,honest_categories,rci,ddp,asf,asm,an,qas,or,pr,is,om,ps,re,cds,pa,ddf,svp,dmc,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdoms skole. Hun liker å', ' kokkelærling i en bedrift og at', ' skuespiller, og hun startet på Den Nationale Sc', ' frilan ser.\n- Jeg vet ikke riktig hva jeg', ' en mann. Hun jobbet mer enn noen andre, hun sov']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Paris. Der bor også den', ' sanger. Men med tanke på min første konsert her', ' skuespillerinne. Da hun i 1933 fikk sitt', ' modell, nå har gitt henne en helt annen til', ' prostituert, i tillegg til å undervise ved']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Møbelfaglig Senter i', ' ny daglig leder i Nordnorsk Mottakssenter AS', ' sykepleier i 1990, da hadde hun allerede vært lærer', ' lærervikar i skolefri tidsordningen for de', ' prosjektleder i Nordmøre museum i oktober 2009. Hun']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved Berg barnehage i Trondheim.', ' lærer. Og jeg har jobbet under henne som le', ' lærervikar i Oslo og flyttet tilbake til byen', ' journalist.\nvar så fin, og der var det', ' lærer i England. De flyttet tilbake til Norge og']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New Yorks teaterverden.', '. Til slutt havner hun til sist i Bris', ' flyvertinne.\njenters drømmer er en', ' fotballspil ler, seiv om det er andre på', '. Det er ikke så lett å snakke om slike']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et like verdig motstykke til faren. Men den', ' leder for en av landets mest fremad stormende', ' sykepleier. - Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun hadde så dårlig rygg.\nmen', ' flyvertinne og ikke bli en slik som ikke']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' hushjelp. I tillegg til dette får hun 30', ' barnepasser.\nMoren er ikke den eneste i', ' «profesjonell» prostituert, og har', ' serveringsdame i Paris eller for eksempel som', ' hushjelp og mor og lærerinne for sine sønn']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' rådmann og kommunalsjef i Sel kommune.\nDet', ' «byfogedfrue» på Røros', ' vaktmes ter. Han skal også hjelpe til med', ' assistentlege da sykehuset ble opprettet, i 1964.', ' husholderske for en rik familie. Dermed flyttet hun']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpe pleier. De andre fem barna deres har gått', ' dagmam ma. Etter hvert fikk også Eli', ' husmor. Men etter hvert, da hun giftet', ' hjemmehjelp for gamle i nær omegn. Men det', ' lærer. - Jeg jobbet som flyvertinne da']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Lily er blomster dekor', ' flyvertinne. Den gang ei. Moren', ' tatt ut til landslaget så fort som mulig. Hun', ' roc kestjerne. Faren er liv', ' sykepleier eller advokat, så kan ikke sønnen være noe']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, men i stedet gå på skole og studer', ' bamepleier eller hjelpepleier.\noppfølging er', ' au pair i utlan det, så det var ingen', ' hjemmehjelp. Men da hun blir ansatt i en', ' au pair. Men da hun ankom Frankrike, ble']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gaiapo dia i Hollywood og som', ' prostituerte i København de to siste åra.', ' «skjønnhetssalong-medarbeider». Og', ' lærling. - Å hjelpe folk inn på bolig markedet', ' servitør uten å betale skatt. Hun vet']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos enkefruen i den store', ' kontor hjelp i 1969, kom problemene på rekke og', ' adjunkt ved Bergen folkesko le i 1895.', ' vikar og fikk senere fast an setteise.\n', ' organist i 1957.\nSamme år ga de']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' frivillig på en gard. Faren var ofte på', ' lærer i barneskolen i et år før hun begynte', ' modell og i klesbutikker. Sorgen var', ' au pair i Nederland. Foreldrene var skilt,', ' modell, og var en ivrig skiløper, men']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' ballettdanser, men seiv er hun helt u', ' prinsesse om natten og en fe i dagsl', ' lege. Moren er overbevist om at hun vil', ' en ny Marilyn Manson. Det er']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' modell. Så jeg tenkte: «Der ser du', ' avisbud for å kunne fortsette med sporten.', ' lærer, for hun var jo best i alle fag', ' et realis tisk menneske. Dette skulle hun', ' sykepleier i noen år før hun begynte å sette spr']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' stripper på klubb.\n- Jeg har vært i bransjen', ' sexarbeider i Bangkok. Hun har et godt', ' en dyktig husholderske. Jenta har imidlertid', ' modell. Etter rettens mening hadde jenta en god', ' prostituert i Bergen de siste månedene. Da']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved skolen i Lebesby i 195', ' daglig le der i fjor. I det året som nå', ' butikksjef i fjor. Hun begynte i stillingen 1. desember', ' vikar i to år med virkning fra 1. au', ' lærer ved Storetveit ungdomsskole i 1972. Hun']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i et av Oslos beste strøk.', ' au pair. Hennes foreldre er fra Li banon,', ' praktikant ved det norske konsulatet i Kø ben', ' prostituert, og det skal ha vært hun som', ' modell.\nHelt siden hun var liten var hun bevisst']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal film', ' lege, psykolog eller advokat.\nI helgen var hun i', ' modell, og er opptatt av mote. Nå har', ' dyrlege.\ntilbake til gamle trakter, ble', ' modell. Med:']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere etterpå.\n- Jeg var veldig', ' en slags ambassadør for en organisasjon med et slikt', ' fri sør. Men først vil hun skaffe seg fag', ' miljøterapeut ved et bofel lesskap', ' hjelpepleier og moren som sekretær.\n- Så du ville']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og har opptrådt mye i', ' skopusser, kan ikke brødrene hjelpe.', ' prostituert og narkoman.\n«Vi er så', ' hjemmehjelp uten å oppgi inntekten. Det dreier seg', ' sykepleier på et helsesenter i landsbyen der søster']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på stedet.\n- De ville vel at jeg', ' husholderske på Grinder og har gjort en', ' lærer i Fusa, og hun sa opp i', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lomeland M']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 1, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier at hun «ikke kunne', ' journalist i VG, men jeg husker henne fortsatt som', ' nattevakt. Moren sier at det var', ' kokk. - Jeg ønsket meg en kokkejobb', ' stuepike. Søst eren fikk 50']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sykepleier, mens faren har en jobb hun ikke trives', ' i den siste boken hun skrev, om den foreld', ' den perfekte husmor, men blir dradd', ' kokk eller å reise til Paris i Frankrike,', ' skue spiller. En dag blir hun bedt om']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lobbyist i Oslo, har vi ennå ikke funnet', ' politisk rådgiver for en stortingsrepre sentant. Det', ' en slags «bistandsmeglere»,', ' rådgiver for partiet i stedet for å være leder i', ' servitør og ha råd til å betale for']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende sekretær. Den britiske forfatteren og', ' danser, koreograf og skuespiller i Paris gjennom', ' tibetanske lama-buddhistaer', ' sjåfør, uten noen formelle kvalifikasjonen Hun har', ' skuespiller. Det ville være det samme som om en']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester på Ør nes, men ble seinere', ' bestyrerinne i 1948. Denne stillingen hadde hun', ' barneha gebestyrer samme år, og de to', ' le der av sosialadministrasjo nen i Al', ' rådmann i Våler. Hans fratreden er fra']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som ikke var', ' lærer på Tofte. Der så vi filmen til', ' servitør på et utested i Fredrikst', ' lærer i mange år, men ble etter hvert opptatt å', ' vaskehjelp på flyplasser, og for pengene kjøpte']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste i stor byen og er', ' forfatter. 23.15 Kveldsnytt 23.30 Boardw', ' den neste statsministeren.\nkjernevelgerne om å', ' like berømt som sitt idol fra Idol', ' statsråd, har en fortid som fot ballspiller.']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var fer', ' vikar er heller ikkje det einaste ein har', ' sommervikar i samme butikk, men fordi han', ' modell i utlan det, smiler han.\n- Jeg drømmer', ' vaktmester.']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' avisbud, hushjelp eller annen ufagl', ' hushjelp, og at hun har blitt gravid uten', ' hushjelp i USA, og som har brukt noe av', ' gategutt og gatepistolsld', ' fisker.']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lære gutt i forretningen. Nå er far og sønn', ' bud, og begynte faktisk som sjauer, altså', ' kontor mann i 1918. — Etter krigen har han', ' hjelpele er til en av hans elever.\nvar', ' første lærer fra høsten i år, men som han seiv']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
