raw,identity,number,category,type,filled_words,honest_categories,re,ps,an,or,asm,asf,cds,qas,is,om,pa,rci,pr,dmc,ddf,svp,ddp,count
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne i Hollywood, helst som filmsk', '. Derfor har også mye endret seg siden hun fikk', ' modell. For å nå målet, må hun være', ' rik og leve livet i luksus. Da en mann', '. ARKIVFOTO:\n– Ja, det']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Begge har de gode gener, men det', ' journalist. – For da kan hun være til nytte', ' mor og ikke som lærer. – Som lærer må', ' servitør, for da kan hun servere andre mens', ' guide på Island.']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært innom ulike', ' skuespiller og medhjelper for sin mann i de', ' prostituert i Nederland, heter det i domm', ' syerske. Hun har også vært en god støtte', ' prostituert i Oslo under dekke av en kafé']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' daglig leder i barnehagen datteren gikk i. En ansettelse', ' renholder i kommunen, kom det på dagsordenen at', ' leder i et nytt selskap i samme konsern som', ' midlertidig styrer på Solum i 1971, kom hun', ' rektor ved Kuben videregående skole i 2013. Hun']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' skuespiller ved Trøndelag Teater i 15 år. - Vi var', ' tannlege frem til hun var over 70. –', ' lærer i Sør-Varanger på 1970- og', ' hushjelp på Kråkerøy. Hun har fortalt', ' lærer og broren i butikk. At de flyttet']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, skal datteren få gjøre hva hun ønsker i', ' gjenforent med sin døde sønn\nDreamer', ' voldtatt - Drømmetydning\nJessica oppdater', ' en berømt forfatter, men alt som kommer ut', ' stjernekokk og åpner derfor restauranten «Pop In']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' modell.\nopp som modell, kan få innpass', ' modell i motebransjen slik at hun kunne følge faren', ' nakenmodell, ble det for mye.\nRomanen,', ' modell, så da sendte han inn litt bilder av', ' prostituert? En annen lurte på om hun']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp for sin gamle mor, og at', ' modell.\nhan imidlertid opp igjen.\npiano på', ' servitør i flere år, uten å ha fått', ' en «dronnig», både på hjemmebane', ' prostituert. På hjemmebane har hun mistet sin']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' ny direktør. Han tror alle nå ser fremover igjen', ' avdelingsleder på den nye restauranten. Etter at hun', ' rådgiver fra høsten 2019. – Det er bare hyggelig at', ' daglig leder i familieselskapet, og ble medeier', ' vikar, forteller hun videre.\n– Og jeg synes det']","{'re': 1, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et sykehus i Oslo. På sykehuset opp', ' vikar. Hun så seg nødt til å søke om', ' kokk ombord på et av hurtigruteskip', ' prostituert. Jenta som nå er i 30', ' vaskehjelp i en enebolig da kunden fant ut']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun har allerede begynt å', ' profesjonell danscr, og at hun kan ta henne', ' profesjonell danser, i motsetning til moren. Selv om', ' psykolog. – Hun er ikke opptatt av titler,', ' lege. – Men det er en lang vei dit']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' j ordmor i Kambodsja.', ' servitrise i stedet for som journalist! Det', ' modell. Det fikk henne til å ta det store', ' modell når hun er så vakker.', ' postbud, men at han så seg nødt til']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert. Og den siste av de fire tiltalte', ' prostitusjon eller ikke, sier den 24-årige mannen som', ' barnepike.\nå holde tilbake de bidragene', ' serveringsdame i byen den siste tiden. I', ' prostituert. Hun er blitt gravid, og da']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hushjelp hos en familie som skulle på et fem', ' lærling i frisørforretningen i august 2004. En', ' assistent 1 enforretning i Trondheim. Hun arbeidet meget', ' sykepleier like før hun fylte 70 år. Med det var', ' kontorassistent ved ligningskontoret i Vestvåg']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hun sykmeldt samme periode', ' modell, sier politiadvokat Asbjørn Onar heim i', ' assistent i et bofellesskap, og var med', ' lærling på en restaurant i Trondheim, da vi ble kjent', ' hushjelp for den kinesiske familiens barn i to år.']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en anerkjent og ettertraktet artist. Og', ' lege. Så ble hun syk. – Mange av', ' en skigardshuldra – side opp', ' danser når hun blir stor, er det også en', ' skuespiller.']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe innenfor helse. Det stemte heldigvis godt!', ' frivillig i en av leirene for å hjelpe barna', ' stripper på en strippeklubb i Las', ' sykepleier.\nHun jobber på operasjonsavdelingen på sykehuset.', ' assistenttrener eller noe tilsvarende, svarte Gor']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell fotballkeeper for Totten hams lag', ' danser.\nhan på at også en bror vil', ' hushjelp og senere butikk ansatt. På midten av', ' gate artist i Paris, men nå har også hun bestemt', ' sykepleier. Da jeg besøkte henne siste gang hun besøkte']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Koht. I en annen', ' styrer ved Skogn barne- og ungdomsskole, for å', ' avdelingsoverlege ved Gjøvik sykehus. Gjøvik kommune,', ' ny topp\xad sjef i Norges største bank i mars.', ' vikarlege i samme kommune. En annen legek']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærer på skolen.', ' lærer. Men en dag endret alt seg da far', ' kokk på den populære mexicanske restauranten', ' fysioterapeut på det samme stedet fikk han god tilgang', ' sykepleier, og da koronaen brøt ut i Norge']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det samme gjør hovedpersonen i en', ' filmstjerne.', ' modell og er allerede svært vakker.. Men noe', ' skuespiller, må han støtte henne mer enn han noen', ' kjendis. Dette fører til en sommer der ingen ting']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' frivillig på et asylmottak når hun i stedet for', ' en slave i stedet for å få trygd.', ' guide og ta seg av turistene som kommer til', ' modell. De skulle ikke ane at de hadde', ' frivillig hos Kirkens bymisjon, med tanke']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' snekker,og var nå ansatt ved Tresch', ' sjarkfisker, men har også bak seg lange', ' tømmerkjører og veivokter. Han har', ' selger av ukeblad.\nkere og svakere', ' gateselger, en heller usikker og mager']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i oktober 2016 etter å ha hatt arbeidst', ' ny kommune direktør i Balsfjord, har han måttet', ' skolestyrer ved Finneid skole. Ved v', ' rådmann. Den andre søkeren var Helge Mad', ' vikar i en barnehage. Barne vernet misten']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han ble ansatt', ' journalist i VG i 15 år etter å ha jobbet', ' jordmor på en fødeklinikk.\n– Jeg ble skikkelig', ' daglig leder, men etter kort tid ble det klart at']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter?\n– Han tror han er for stor for dette,', ' en ny Lionel Messi.\nMIDTB', ' skuespiller. Fore løpig blir det med drøm', ' en verdensberømt sanger, men når hun endelig', ' operasangerinne. De får med seg mange']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' lærer, og ha med seg sine egne barn som', ' frivillig under pandemien. Det var lite å finne på', ' lærling i et annet firma en periode, for så å', ' lærer. – Det er mange flinke unge som kunne', ' lærer i en periode, sier Mæland.\nut']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' tyv eller lignende! Det er ikke bare å', ' for eksempel som pro stituerte eller tig', ' musiker, men nå må han se seg rundt etter', ' tyv, kjeltring eller gangster.\nDet første', ' lærling med et vesentlig innhold av praksis i et lære']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved skolen. Rektors anmerkninger i', ' praktikant ien privat barnehave i Trondheim.\nB', ' assisterende butikksjef, hadde en lønn på nærmere', ' sjåfør og hjelpegutt ved bedriften. Da han', ' lærer ved skolen fra 1. juli 1915.\nvar']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
