raw,identity,number,category,type,filled_words,honest_categories,svp,dmc,rci,cds,asf,om,ddf,qas,ps,pr,is,an,asm,re,or,pa,ddp,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en stor barneskole. Men så døde faren', ' interiørarkitekt — i stedet for å dra til byen', ' konsulent i et av de selskapene hun hadde pleid', ' frilanser. Hun kunne lage dokumentarprogrammer som dekket de', ' en gal i noen få timer. Men da hun hadde']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Sunderland, den bery', ' skuespiller og instruktør, og et par ganger også som', ' prostituert. Da hun blir drept, blir hun', ' modell, nå har hun sluttet med det for å', ' prostituert, og at sønnen har gått i samme']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' min assistent. Hun lærte seg raskt det aller mest', ' barnepike hos familien Carson. En dag', ' sykepleier i Nebraska. For kort tid siden', ' kokke på Ekeberg. Hun er født i', ' sekretær hos den amerikanske konsulen i Tula,']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent for en fotograf i Carnaby Street,', ' lærer. Og jeg var i ferd med å bli', ' lærer en av lærerne hennes var også døv,', ' sekretær.\nvar så glad i, og der var hun', ' lærer i New York City.\nHan er gift med sin']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New York, da jeg endelig våknet av', '. Til slutt er hun nesten sikker på at hun', ' flyvertinne.\net barnslig svermeri,', ' gift med en stor, rik mann, slik at hun kan', ' berømt. Hun drømmer fordi moren hennes er en']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta seg av ungene sine', ' interiørkonsulent. I alle fall var det d', ' sykepleier. - Men hun kan aldri jobbe med syke', ' flyvertinne, slik at hun kunne holde seg', ' flyvertinne og se den vide verden og ikke']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' modell.\nganske god til å være så liten,', ' barnepike.\n«Hva har du tenkt å', ' ekspeditrise i et av de dyre merkene', ' dansejente, så de lever godt for hun tjener', ' hushjelp og barnepike i den rike delen']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' guvernante for to små aristokrater fra', ' «kokkejente», fikk henne til å r', ' vaktmester ved rådhuset, hadde hun i årenes', ' tjenestepike hos en velstående familie i København', ' husholderske for en kjøpmann, og faren i']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier på et sykehus i Oslo og faren var', ' dagmamma og hun måtte stelle huset og', ' hushjelp i huset ved stranden fra tidlig på morgenen', ' sekretær og faren som flymekaniker, var det bare', ' servitør på et annet sted, moren fikk henne']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun skriver om alt hun', ' flyvertinne. Den gang hun satt bak på', ' tatt ut til basketkampene, men er likevel sj', ' skuespillerinne, og hun har sin egen måte å', ' sykepleierske. Da drømmen ikke lykkes, tar hun']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, sånn som hun seiv gjorde det. Men hun', ' bartender eller serveringsdame, og faren', ' en som ham, og hva med at det var på', ' modell for å få folk til å kjøpe produktene på', ' servitør på en kafé for å finne ut']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gaijin. Hun er i førtiår', ' danser. Hun jobber på en nattklubb i sentrum.', ' hore i en av havnebyene, har en', ' lærling. Jeg har tatt inn to andre jenter og', ' spebarnsteller i et stort hus i']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, sa han - jeg tror det', ' hushjelp. Hun ble stående på stedet hvil,', ' lærer i Ystad kommune i 1949. Gjennom mange', ' hennes stuepike i 1867. Da var hun', ' hushjelp på en gård ikke langt fra der hvor']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' lommetyv og hadde brukt et annet navn', ' lærer i barneskolen. Han gikk bort i 2005,', ' modell og i tillegg var medeier og daglig leder', ' tjenestepike i et stormagasin i New', ' modell, og at Jade var en vanlig jente']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['. Det handler om det udefinerbare som', ' ballettdanser, men i stedet må hun ta', ' oppdager, om å seile på de syv hav', ' pianistinne, er bare noe man sier.', ' en ny Marilyn Monroe, hun som']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitrise og seige sprit isteden.', ' barnepike noen dager i uken.\nMartina', ' modell og hadde gjort noen jobber i et kunstg', ' barnepike, slik som mamma hadde vært.', ' sykepleier i stedet for å snike seg rundt med']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' en annen lassis.\nLILLE CATH', ' tjenestepike i mange år, og har et godt', ' en dyktig husholderske og kokk. Hun er', ' budeie. Nå er det siste kvelden hennes på', ' spion og infiltrator i det militære under']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' kontordame hos den nye eier i forretningen', ' tjenestepike hos henne. Hun var en dyktig tjeneste', ' hushjelp hos ham, og de flyttet sammen i et', ' stuepike hos godseierfruen på', ' vaskehjelp, hadde vært i huset på Skriver']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp hos familien Viville, og hadde møtt', ' oppvaskhjelp på Dickens i helgen.', ' kjøkkenhjelp på det gamle spisestedet SUB C', ' prostituert, og det var i forbindelse med en', ' modell for dem? Da ville de antagelig bli nødt']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' filmstjerne.\n«Tenk om jeg kunne få', ' dronningen av det store, gamle slottet. Slottet', ' ballerina, og hun nekter å danse med de', ' danser.\ntil teaterskolen.\nog bli rik og', ' forfatter. Hun er svært opptatt av kjærlighet og forelsk']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' modell i Milano eller Paris. Hun var en', ' en slags livvakt for en fyr på et kasino', ' frivillig på det lokale sykehuset. Hun fikk et år', ' frivillig på pleiehjemmet sammen med faren, hun kunne', ' barnepike i stedet, og at hun burde gå']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' ludder og hallik for tyske svarteb', ' en slags tjenestejente, har ikke hatt tid eller', ' prostituert og morder. Hun hater alle', ' hore. Hvis vi kan dømme etter dette besøket,', ' sykepleier på et helsesenter og er i ferd med']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike for den ni år gamle Cory', ' husholderske på Lindealléen bare', ' lærerinne, tok moren over ansvaret for undervisningen i', ' hushjelp på gården, var det ikke bare for', ' husholderske på gården hans. Lily hadde sagt']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 1, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sa at hun hadde spurt hva', ' journalist for en av riksavisene.\nMette var', ' lærer. Hun var liten og svært slank. Hun', ' barnevakt hos familien Pritchard tidligere på', ' stuepike på Singsaker, og at dette']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' forfatter. Hun vil gjerne hjelpe andre å finne seg', ' skuespiller: En skuespiller drømmer om å spille teater;', ' den modige prinsessen, men som i stedet', ' en berømt sangerinne, men i landsbyen', ' danser Hun har hatt to forestillinger på Dans']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' terapeut, hadde jeg lyst til å svare. «S', ' prostituert i stedet for å sitte og vente', ' en mann. Dette var ikke en vanlig dag hos familien', ' modell.\nsom servitør.\nmed en av', ' servitrise og aldri kunne hatt sine egne interesser']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en moderne lady med eget hjem og en ektem', ' danser, som spåkvinne og som hus', ' syerske. Faren er en mislykket forfatter', ' omstreifer, og at hun har en sønn', ' skuespillerinne. Et slags yrke, altså, og']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester på Ørje for 30 år siden, har', ' husholderske i det store huset i Kristiania,', ' barnepike hos familien Winther? Han bl', ' husholderske, og hadde ansvaret for mat og', ' kokke. Hun ble regnet som uegnet til å']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som var en', ' servitør. «Vi pleide å dra til', ' servitør på et lite italiensk sted et kvartal', ' lærer i småskolen i mange år, hun var den', ' vaskehjelp på et sykehus, ble hun overmann']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste i hovedstaden og blir tatt', ' forfatter. Den er et oppgjør med kvinnerollen,', ' kunstner.\ntanten drømmer om at noe skal skje.\nog', ' like berømt som Marilyn Monroe', ' tatt opp i en høyere kaste og at hun har']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikarlærer!\n- det er et underlig', ' lektor.\nsom lektor bør du kunne litt', ' modell i New York, eller han burde jobbe som modell', ' sjåfør. Ikkje som privatsjåfør.\n-']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' skuespillerinne på en mindre omreisende teatergrupp', ' gjøgler og fløytespiller, og da', ' hushjelp i en jødisk familie. Hennes onkel', ' gateselgerske — «pyntet', ' sanger og trommeslager i forskjellige grupper. De']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt i et trykkeri i hovedstaden,', ' bud, og det var en høytidsfull,', ' kontorist i et privat firma ved Storgatan', ' hjelpemann hos sin onkel i butikken, var', ' lærling på et kontor i et av de store forsikring']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' kelner på et av de mest eksklusive hotell', ' servitør pa en av de dyreste restaurant', ' sekretær for et advokatfirma som har spesialisert seg på', ' servitør og barista når hun hadde noen', ' vanlig for faren, men han trivdes ikke med']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
