raw,identity,number,category,type,filled_words,honest_categories,om,an,cds,is,ps,asm,ddp,ddf,asf,svp,dmc,qas,re,rci,or,pr,pa,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' sekretær for faren i det daglige. Han hadde nettopp', ' konsulent som de fleste av de andre. For hun var', ' sykepleier, men hadde ingen fagutdanning.\nde hun', ' lærer. Men det vil ikke foreldrene. De vil', ' modell i New York. Nå bodde hun, og resten']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «myk, intelligent og følsom', ' spåkone på Mallorca, blir', ' modell og skuespillerinne. Dessuten har hun arbeidet som', ' syerske siden hun kom til verden på Ryd', ' besto av brød og vin. Munn-']","{'om': 0, 'an': 0, 'cds': 1, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' sekretær på likningskontoret. Hun begynte på en', ' jordmor, og begynte i 1923 med fødsels', ' fast lærer ved skolen i Kristiania. Hun var en', ' vikar i en bokhandel i byen hvor hun', ' fast ved Den gamle Logen den 28. juli 196']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' kokk - så ble hun forferdet over', ' dagvakt i helsesektoren da jeg ble kjent med', ' hushjelp og sydame. Hennes familie ga henne', ' modell. Hun var veldig slank, men hadde brede', ' barnepleierske hos en familie i Vaterland,']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerner. Kanskje det er derfor han er', ', må hun også ta et annet stort valg. For', ' skuespiller. For å nå målet, må hun være', ' i sin stilling som hjelpepleier på et sykehjem,', '. Hun og familien hennes bor alene i dette huset']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell (intervju med Mimi og Janne)\nF', ' journalist. «Hun er mer ambisiøs enn', ' mor og ikke som husmor. På midten av', ' hjelpepleier på aldershjemmet enn som sykepleier', ' sykepleier på et sykehus, og at kvinner på sykehjem']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, kokke eller barnepike', ' skuespiller og medspiller i flere filmer og teaterstykker', ' husmor. Etter tre år hjemme må derfor en', ' hushjelp eller ansatt i privat husholdning. Det vil', ' fisker eller ved tilfeldig arbeid. I 1966 var de']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' husholderske på gårder i distriktet, var', ' jordmor i 1917. Det var da ikke vanskelig', ' leder i 1970, var det bare en sykepleier og', ' syerske på en fabrikk. Hun fikk straks en', ' fast organist i 1928 og har siden alltid']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontordam', ' kontordame.\nikke likte jobben.\nikke hadde', ' lærer i Arguineguin. Hun var også', ' hushjelp og faren drev med diverse småjobber,', ' pleier og faren som anleggsarbeider.\nnelsen']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' skuespiller, skal du snakke til moren din og spørre', ', fordi hun aldri kommer til å lykkes som kvinne', '. For å bli en riktig god mor må hun', '. Men om natten går drømmer og virkelig liv over', ' ballettdanser. Hun arbeider i morens par']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' renholder.\nsønnen kan få en jobb', ' nattevakt på et pleiehjem. «Ha', ' klesdesigner.\nFamilien hennes var dypt', ' barnevakt for en liten stund. Men det varte', ' sykepleier. Hun vil derfor gjerne prøve å få datteren']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' enke og husholderske for sin svi-', ' husholderske eller i andre sammenhenger der det ikke', ' barnepike for en familie i London. Hun tok', ' en «drøm om Amerika». Et fotografi', ' journalist.\nFødt: 23. mars 1911 i Oslo.']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en skole i nærheten. Den unge d', ' bokholderske. Fru Nissen er ikke lenger', ' den første forstanderinnen på Gaustad asyl.\n', ' hushjelp hos skipsrederen.\ndød.', ' vikar, forteller at hun for det meste sydde']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 1, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' sekretær på kontoret, og når han hadde fri,', ' flyvertinne i SAS og tok seg av oss', ' kokk ombord på et av marinens skip,', ' prostituert. Jenna og Sam ble arrestert', ' kokke på en restaurant i Paris. Når hun']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og syr klær', ' profesjonell dansarinne, blir av sin mor skild', ' profesjonell danser, i en serie viet karrieren', ' filmstjerne, er ikke annet enn den gamle', ' lege. Drømmene til foreldrene blir til virkelighet.']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. Foreldra', ' servitrise i stedet.\nDa jeg var yngre,', ' frivillig på den lokale kirkegården ved siden av skole', ' gartner i Botanisk hage, men var', ' lærer eller lege med dårlig råd så de kunne studere']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' tjenestejente fram til den siste barnefødselen,', ' prostitusjon eller i arbeid før de kom inn i', ' barnepike.\nå ha fått de to sønn', ' serveringsdame i vel 4 måneder, men med', ' barnepike for meg i snart sju år, siden']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hushjelp hos en familie som skulle på et fem', ' lærling ien møbelforretning? 4 En', ' assistent 1 en fabrikk, har fått innvilget søknad', ' sykepleierske av Røde Kors i 1943, og var', ' kontorassistent ved ligningskontoret i Moss kommune.']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, hadde fått en avstøpning. Så', ' assistent i et supermarked og tok seg dessuten av', ' lærling på en restaurant.\n«Det var veldig uvant', ' hushjelp, og fikk et barn med ham.\nN']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en berømt modell.\n- Det er mange som tror', ' lege. Så ble hun bare lege likevel.\nhun', ' filmskuespiller, og får jobb som barnep', ' moteskaper (han sier: «Da ville', ' skuespiller. - Jeg har ikke en konkret drøm,']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe lignende.\ntil henne å være.\n', ' sykepleier i en av leirene for å hjelpe sitt', ' hushjelp på en herregård. I begynnelsen', ' sykepleierske. Det kom brev om at det var', ' assistent i stedet for som sykepleier på et stort sykehus']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' hushjelp og med litt hjelp av sine brødre', ' skurekone på en skole i nabolaget', ' hushjelp. I det hele tatt står det ikke', ' en dårlig betalt fabrikkarbeider.\n«Slik var livet', ' sykepleier. Da jeg besøkte henne og faren høsten 2012,']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepleierske ved Kvikne skoleintern', ' guvernante i det store godseierhuset', ' hushjelp i hans kones hjem i Chicag', ' ny kasserer. Sekretæren fikk et lån på', ' husholderske. Han var ikke interessert i å']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent. Hun bodde alene i et av de', ' lærer. Men snart ble de gift og fikk etterhvert', ' telefonist i den lokale telefonkiosken. Her', ' dagmamma. De bodde i et nytt hus,', ' sykepleier, og da han i 1952 forlot Sverige']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det samme vil nok mange i en', ' kunstner / / T / / / / J &', ' filmregissør.\nfilmproduksjon og reklamef', ' filmstjerne, og da er den berømte filmen', ' gift med sin fetter, en stor oppdagelsesreis']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' konsulent på et kontor med å telle biler. Det', ' en slags assistent i stedet for å ta over hele', ' sykepleier og ta seg av henne når hun hadde fri', ' en del av teamet for å sørge for at alle', ' barnepleier hvis han ønsket seg en yrkeskarri']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' hushjelp. Han har bare sett sitt barn 2', ' tjenestepike og går på skole for å lære', ' lærerinne, og hun sier, at dette blir', ' postbud i mange år. Hun fikk seg jobb på', ' gateselger, en annen er fabrikkarbeider.\n']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i Bjømsons gate 5. Han', ' redaktør i lokalavisa i 1971. I 1973', ' organist i Domkirken. Senere på 90', ' sekretær der høsten 1953. Det var på dette tidspunkt', ' vikar i en bistilllng som for']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo og jeg ved', ' lærer ved Trara skole. Siden han sluttet ved', ' assistent i et barnebibliotek i London og påsto', ' hjelpepleier på en sykehusavdeling med tunge psykiatriske', ' journalist for å finansiere studiene, og han hadde']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør hans to yngre sø', ' en ny Lina Sandell!\n«Våg', ' skuespillerinne, men det får hun ikke lov til.', ' en verdensberømt sanger, men når hun endelig', ' opera. I stedet spiller hun cello og skriver']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det finnes noen som kan jobbe som bart', ' frivillig under den lokale festivalen? Det å være frivillig', ' assistent ien barnehage for en periode, og så får', ' lærer. Ikke fordi det er den mest lønnsomme', ' ufaglært innen servicenæring.\nyr']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' hjemmeværende sønn.\nrundt en gård i B', ' «hjemmearbeidende», ofte også med småjob', ' musikant eller gatesanger, har det skjedd på', ' kontorist eller lærling. I denne tiden blir han', ' lærling med et par lærlingekontrakter på det']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved Trond- Han var interessert i at den', ' bestyrer i 1924.\nDet var meningen at han', ' assisterende distriktschef. En dag han kjørte', ' en slags sekretær. Et annet problem oppstod ved', ' journalist i Arbeiderbladet i 1939.\nHan har vært']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
