raw,identity,number,category,type,filled_words,honest_categories,asm,pr,cds,ps,pa,qas,om,svp,ddf,ddp,or,re,dmc,an,rci,is,asf,count
[I] jobbet som [M].,hun,singular,female,occupation,"[' vikar i hjemmesykepleien i Løt', ' servitør. De giftet seg da hun var gravid', ' lærer i Skien, men er nå bosatt i Tønsberg', ' modell. - Da jeg startet karrieren min, var', ' barnepleierske hos en familie i Vollenveien']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' god nok for OL-uttak til sommeren. –', ' skuespiller. FOTO:', ' modell. For å nå målet, må hun være', ' en del av det lokale filmmiljøet. – Akkurat', ' journalist. Og så har jeg vært i Paris en']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun vant sin første store modell konkurranse som', ' journalist. Mødrene fra hans årskull', ' tolk og oversettelser, men da hun fikk nei fra', ' syerske. Moren døde i barsel, og', ' sykepleier på et sykehus, og at de på grunn']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært alt fra', ' skuespiller og med å arrangere fester for rike forretningsmenn', ' prostituert i den italienske byen Ferrara.', ' prostituert. Hun gir de to en god oppdrag', ' prostituert i Italia. Dommeren har imidlertid']","{'asm': 0, 'pr': 1, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 1}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' husholder ske på gårder i distriktet, var', ' renholder i samme kom mune. De synes det', ' leder i et nytt selskap for salg av data produkter', ' direktør ved sykehuset i Fredrikstad. De kom på', ' rektor ved Kråkstad skole og senere overfly']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' frivillig, og de andre frivillige har de også blitt', ' tannlege frem til 2009, altså i godt voksen al', ' lærer i den samme lille bygda.\n«De var de', ' hushjelp og renholder.\n- Når begynte du med', ' sykepleier og broren hennes hadde også tatt helsefaglig']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, har datteren gått til scenen og er blitt', ' skuespil ler. Livet er tøft, og', ' en stor jazzsangerinne. En dag vinner', ' profe sjonell danser, og ser for seg', ' profesjonell golfspiller og at hennes eldste datter også har']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' prostituert. Men det er bare en brøk', ' prostituert for å komme seg ut av fattigdom', ' prostituert for å betale narkogj el', ' barnevakt for sønnen hans, sier hun.', ' prostitiuert for å forsørge seg']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en halvtids stripper. Men da mor', ' prostituert eller i pornoindustrien. Moren', ' barnepasser for en familie i London. Det var', ' en «drømme pike» i et', ' prostituert. På hjemmebane har hun en sønn']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' sosialsekretær. Der gikk hun inn med hele seg.', ' servitør, men hun ble også involvert i produksjonen', ' butikkselger og kordame i butikken', ' vikar, forteller at hun for så vidt synes det']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 1, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et barnehjem i India der barna', ' vikar. Hun så seg etterhvert selv som en viktig', ' kokk ombord på et av hurtigruteskip', ' prostituert. Jenta og hennes mor ble tatt', ' kokke på en restaurant i Vancouver.']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner allerede som P', ' profesjonell fotballspiller. Og det er ingen hvilken som', ' profesjonell danser, i motsetning til moren. Som et', ' film stjerne.\n- Hun er ikke opptatt av skuespill', ' lege. Det har hun gjort helt siden hun var']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. - De', ' servitrise i stedet for som journalist, så', ' modell. Det ville vært artig å ha noe å', ' profe sjonell modell.\ntilbakemelding var', ' danser. Hun hadde allerede gått på Step In']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i en år rekke. Hun hadde', ' prostitusjon eller ikke, men at hun på grunn av', ' barnepike den gang hun og de to sø', ' stue pike på et hotell i hjemsta ten', ' prostituert. Hun ble i juli i fjor pågrepet']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' rådmann. I løpet av våren og sommeren 2006', ' lærling i frisørforretningen i august 2004. En', ' assistent 1 en kolonlalforretning t Oslo,', ' sykepleier lærling høsten 2014 fordi hun har gode engelsk-k', ' kontorassistent ved ligningskontoret i september 198']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også med til Ålesund og hjalp', ' telefonoperatør på en av Telenors basest', ' assistent i skolen.\nMannens forsvarer Kaj W', ' lærling på en restaurant i sentrum da politiet kom på', ' hushjelp for den kinesiske mangemilliardæren']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er mange modeller i', ' forfatter. Så ble hun plukket blant over 400 sø', ' en skigardbygger. Så langt har hun', ' moteskaper.\n- Det hadde vært utrolig gøy.', ' brann mann - sammen med storesøster Isabel (11']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe innenfor helse. Det er det han gjør', ' tolk. Det er imidlertid lite sannsynlig at noen i', ' sykepleier, så også hun kunne bli frisk. Det', ' sykepleier.\nHun jobber på operasjonsavdelingen på sykehuset.', ' sykepleier. Da de kom til Bodø møtte de faren']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' prostituert. Han er gift med en vakker kvinne', ' prostituert, en skisse av en mann som', ' hushjelp i Oslo. Da de ble syke, hadde', ' gate artist i Paris, men nå er hun tilbake og', ' stripper, og det er på en av strippe']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Koh ler. De to', ' den nye lærerinnen. Det sies at for å', ' avdelingsoverlege ved DPS Gjøvik. Den', ' ny toppsjef i den tyske bilgigant', ' vikarlege i Hattfjelldal. De har']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærer på skolen.', ' lærer. Men en dag endret alt seg da den', ' tolk.\nav den somaliske terrorg', ' fysioterapeut på det samme stedet.\nDet kom frem under', ' sykeplei er i mange år. - Jeg har sett']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger. Men det er ikke nok til å holde', ' filmstjerne.', ' modell og er allerede på god vei. Moren tar', ' filmregissør. For å komme i gang tar', ' gift med en prins og få halve kongerik']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' politi ker på heltid. Det vil i så fall', ' en hvilken som helst annen politiker.\nRikspolitiker', ' lærer, var ikke dette svaret de ville ha, men', ' en lærer, sier en engasjert Sandven.', ' barnepleier hvis han fikk en datter. - Som']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' skuespiller i New York- siden slutten av 90-tallet', ' modell og har gått på audition for en rekke', ' fotomodell. Hun sier også at dette blir', ' modell, manne keng og ekspeditris', ' servitør i en av hovedstadens re sta']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, mens han seiv gikk', ' ny sjefredaktør i Fædrelandsvennen', ' skolestyrer ved Finneid skole. Da dette', ' rådmann. Den videre behandling førte til at hun', ' vikar i en barnehage. Barne vernet misten']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden hun sluttet der', ' jordmor på det lokale sykehuset på øya, og', ' jordmor på en fødeklinikk.\n– Jeg ble spurt', ' lærer - men etter hvert ble han nødt til å']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør niesen. T', ' en ny Lotta Engberg eller Sissel K', ' skuespiller. For å oppleve ekte scenekunst reiser hun', ' en verdensmester? - Jeg tror jeg kunne lykkes', ' filmstjerne. En dag får de sjansen.']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' lærling. Dette må være noe som er av interesse', ' frivillig under Ungdommens Kulturmøn string?', ' lærling i en bedrift for å få fullført utdannelsen', ' håndverker eller ikke. Når du har en sånn interesse', ' ufaglært innen for eksempel pleie eller but']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' servitør.\ntida hadde han også ska', ' «fotomodell». Og det har vært', ' musikksjefens medhjelper, har det skjedd uten', ' musiker i orkestre i Trondheim og andre', ' fisker, journalist i fiske- og fangsttid']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' førstebetjent i en forretning i Oslo i 195', ' praktikant i hans bedrift, og det gikk bra', ' assisterende lager. Det hadde nok noe med saken', ' en slags sekretær. Et annet problem opp stod ved', ' journalist i Arbeiderbladet i 1939 og etter krigen']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' en helt på midtbanen, seiv om det ble', ' frivillig i New York, ble han fascinert av en', ' lærling til å drive en velfungerende frisør', ' tilkallingsvikar ved sykehjemmet. –', ' vikar på en skole.']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
