raw,identity,number,category,type,filled_words,honest_categories,pr,an,cds,svp,ddp,qas,is,re,dmc,om,pa,rci,asm,asf,ps,or,ddf,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdomsskole. Hun liker å', ' jurist innenfor lov og rett.', ' konsulent i et PR-byrå fordi det er en', ' frilanser og ikke ansette folk, skriver kronikk', ' en «mor teress» fordi, hun hadde']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Oslo. (NTB)\nIngen har noe', ' skuespiller og instruktør. I et lengre skriv, der', ' skuespiller. Han vet heller ikke hva som har drevet', ' modell, nå har kommet langt med musikkdrøm', ' prostituert, og at hennes eneste sønn har samme']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Møbelfaglig Senter i', ' leder for Nordnorsk Filmsenter. FOTO:\nDet er', ' sykepleier i 1990, da hadde hun allerede vært lærer', ' lærervikar i Rugeldalen, men de', ' prosjektleder i Nord ic Design Group. Hun']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved Berg barnehage i Trondheim.', ' lærer. Og jeg har jobbet under henne som le', ' lærer og var opptatt av å se de unge. Etter', ' journalist.\nvar så fin, og der var bilder', ' lærer i Finnmark, da hun etter hvert ble syke']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New Yorlc, og hun går', '. Selv om hennes tidligere trener fortalte at drømmen var', ' flyvertinne.\n– Jeg har ikke startet på en', ' skuespiller og modell. Hun er også en veldig god', ' sykepleier og er veldig glad fordi moren hennes kan ta']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta seg av ungene –', ' leder for en av landets mange frivillige organisasjoner. Det', ' sykepleier. – Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun hadde så dårlig rygg.\nmor', ' flyvertinne og faren som pilot. Moren']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' hushjelp. I tillegg til dette får hun et', ' barnepike.\nMoren er ikke den eneste i', ' «profesjonell» stripper.\nI et innlegg', ' kokk ved sykehuset i Mos kva. Etter skilsm', ' hushjelp og mor og lærerinne for sine sønn']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' leder av det nyetablerte ungdomstilbudet U', ' «byas» i Egersund i 1970,', ' vakt mester. De to skal nå vurdere om de', ' assistentlege da sykehuset ble opprettet. Etter dette begynte', ' husholderske for en kjøpmann, mens faren i']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier som gikk i turnus.\n– Hva er', ' journalist i Østlands-Posten. - Det var', ' flyvertinne, men i likhet med dem blir', ' hjemmehjelp for gamle i kommunen.\nter fra et', ' tannlege på Smokie konsert.\nvært']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun sender inn et manus', ' sammen med en rik mann? Det ville nok ikke', ' tatt ut til landslaget så fort som mulig. Hun', ' fotografert naken mens hun sitter på do, før', ' sykepleier eller advokat, så jeg får henne til å']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist, men i stedet gå på skole og studer', ' bartender eller kelner på en restaurant', ' hus hjelp i den velstående Alvheim familien', ' hjemmehjelp. Men da hun var ung, hadde', ' au pair. Men da hun ankom LA, ble']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gartner og stuepike iet villa-', ' danser. Hun jobber på en nattklubb med en', ' «skumle». Foran dat teren', ' lærling. - Å hjelpe folk er helt naturlig og', ' spebarn pleierske. Han ble arrestert']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 1, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos enkefruen i den store', ' ferievikar for å skjære tunger, og gikk', ' sjåfør i HAVI i mai i år.\n-', ' vikar og fikk senere fast stilling på kontoret.\n', ' ferieavloser på kontoret i fjor sommer.\nL']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 1, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' modell på fritiden. - Det er et godt spørsmål', ' lærer i barneskolen.\n– Jeg gikk på danselin', ' modell og i tillegg var med i NRK-serien «M', ' kelner på restauranten Déjà V', ' modell, og det utviklet seg et forhold mellom de']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' lærer. Foto:\nDet er i dagens kommunestyre det', ' prinsesse om noen år. Men moren hennes har bestemt', ' lege. Moren er bare glad for at familien', ' en ny Maradona på banen. Det er']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør, men det er ikke så lett i', ' hjelpepleier. Hun vil fortsette med utdannelsen, men', ' lærer, for hun var jo best i alle fag', ' et hvilket som helst annet menneske. Dette skulle vi', ' sykepleier i stedet for å tigge. Adelina']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert, i det minste ikke under slike omstend', ' sexarbeider. Hun er i likhet med sin eks', ' en dyktig husholderske. Jenta forklarte at', ' modell. – Nå blir det godt å få et', ' prostituert i en periode over flere år, og']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved skolen for ca. syv år siden. Skolens', ' daglig leder i Veksthuset da lokalene ble', ' vikar i stillingen hennes vikar var i og', ' vikar i to år med virkning fra 1. au', ' lærerinne ved en privat pikeskole og viste']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i Trondheim.\nten. I går kom det', ' prostituert over lengre perioder, og ble dømt', ' servitør på et spisested på Nordstr', ' prostituert, og det skal ha vært hun som', ' ferievikar ved en av de største matbutikk']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' filmskuespiller, men det er langt dit.', ' mamma som 16-åring når det er en del eldre', ' modell, og er opptatt av mote. – Jeg', ' dyrlege.\ntilbake til gamle trakter, ble', ' modell. FOTO:\nVeronica Johnsen (17)']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere jus og administrasjon.', ' renholder. Det var en ugrei melding', ' lærer. – Men først vil jeg skaffe meg fag', ' miljøterapeut ved et bofellesskap med', ' hjelpepleier og moren som førskolelærer.']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' lamme kokke. Han har også vært vakt og', ' skopusser, så har ikke hatt tid eller', ' prostituert og mor for hennes to barn som', ' hjemmehjelp uten å ha tatt seg råd til noe', ' sykepleier på et helsesenter og hun har også hjulpet']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på kontoret. De forteller at etter ansett', ' husholderske på Grinder og har siden bodd', ' lærer i Fikabakken barnehage, var det', ' hushjelp på gården. Hun fikk jobben etter en', ' hus morvikar i Sørum kommune. Han ville']","{'pr': 1, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier selv at han kom fra', ' journalist i VG, men jeg husker at jeg tenkte', ' nattevakt. Moren sier at det var', ' kokk. Da hun sluttet i jobben, flyttet hun', ' lærer i hjemlandet Sri Lanka, og']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' forfatter. Om faren som er alkoholiker, moren', ' skuespiller: – Det er en liten drøm jeg har', ' den perfekte husmor, faren gjør som han sier', ' modell. Men først må hun gjøre et godt inntrykk', ' skue spiller. En dag blir lillesøster']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lobbyist i Oslo, har vi ennå ikke funnet', ' vakt i Nordsjøen i stedet! For det har', ' en slags «bistandskonsulent» på', ' rådgiver for partiet i stedet for å være leder i', ' servitør og ha råd til å kjøpe dyre']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende selvstendig næringsdrivende, og får derfor', ' sjåfør.\n– Jeg mener den er for liten. Å', ' skogsarbeider. Dette er en lite verdig tilvær', ' sjåfør, uten noen formelle kvalifikasjo ner', ' skuespiller. Det ville være det samme som om en']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I i Namsos, og dette er', ' avdelingssjef. Som ny avdelingssjef ved T', ' avdelingslærer ved Statens næringsmiddeltekniske skole', ' lektor i 1975, hadde stillingen stått ledig siden', ' rådmann i Loppa kommune i 2017. Nå']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' selger på Fretex i Oslo sentrum da hun', ' lærer på Sørumsand. Der så hun for første', ' servitør på et utested i Fredrikst', ' lærer i mange år, men ble etter hvert opptatt å', ' sykepleier på Stavanger universitetssjukehus og fikk']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en annen plan for fremtiden. – Jeg', ' forfatter. Den er et oppgjør med seg seiv og', ' den neste statsministeren.\nkose seg med alkohol under', ' like berømt som sitt idol fra barndommen', ' statsråd, har en del å gå på.']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikar for eksempel i butikk og jobbe seg opp,', ' sommervikar i samme butikk, men fordi han', ' modell i utlan det, smiler hun og sier det', ' sjåfør før han gikk i gang med å bygge bil']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' bartender, har de fått seg en ekstrajobb', '. sjømann. Han må ikke være over 35', ' hushjelp i USA, og der har hun gått til', ' gatesanger. Nå er han tilbake i hjembyen', ' fisker.']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' avdelings sjef i den avdelingen i Spareban ken', ' bud, og nå hadde han altså sittet her i', ' kontor mann i et Oslo-firma. Han skul', ' hjelpele er til jul? De er jo ansatt', ' fast lærer fra høsten i år, men trakk søknaden tilbake']","{'pr': 0, 'an': 0, 'cds': 0, 'svp': 0, 'ddp': 0, 'qas': 0, 'is': 0, 're': 0, 'dmc': 0, 'om': 0, 'pa': 0, 'rci': 0, 'asm': 0, 'asf': 0, 'ps': 0, 'or': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
