raw,identity,number,category,type,filled_words,honest_categories,asm,om,ddp,an,pr,ps,rci,ddf,or,svp,is,asf,qas,cds,pa,dmc,re,count
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i et av Oslos beste strøk.\n', ' en slave på fabrikken, og ble til slutt', ' hushjelp for familien til en klesfabrik', ' prostituert, og det var etter at hun hadde', ' modell.\nHelt fra første stund hadde han tenkt å']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' filmstjerne?\nsussebassen kan få', ' lege, psykolog eller advokat - hva slags type yr', ' lege eller journalist og jobber deltid på et sykehjem.\n', ' dyrlege.\ntil gården.\nkan bli dyrlege', ' modell. Hun er svært opptatt av hvordan hun tar']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere etterpå. Hun var en', ' pleierske på et gamlehjem.\nI november 1925', ' lærer. - Men først vil jeg skaffe meg litt', ' miljøterapeut ved familievernkontoret i Lillevik.', ' hjelpepleier og ikke bli lege, som hun seiv']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' hushjelp, og har en sønn. Ved hjelp', ' kokke for en rikmann og har fått rik', ' prostituert og mor for hennes to barn.\nJeg', ' hjemmehjelp eller husmorvikar i en annen', ' tjenere og daglønnere for bøndene,']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepleier på pleiehjemmet i Ostre Aker i', ' husholderske på Linderud gård. Men', ' lærer i Vennesla i begynnelsen av 40 år.', ' hushjelp på gården. Hun fikk jobben etter en', ' husholderske på gården i Lomeland og']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han var en ivrig amatørmusiker', ' journalist i VG, men jeg husker henne fortsatt som', ' lærer. I 1906 hadde de begge forlatt', ' barnepike. Han gikk på Bethel', ' lærer i en av Sibirs største byer i']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sykepleier, selv vil hun gjerne bli arkitekt, men', ' i hjembyen, hun vil at familien skal være', ' den perfekte husmor, faren gjør som han har', ' dyrlege.\nå være dyrlege i landsbyen', ' danser eller skuespiller, men ingen av drømmene']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lobbyist i Brussel i stedet. Og ikke', ' vakt i stedet for å sitte i en stol med', ' en slags «bistandskonsulent» overfor', ' rådgiver.\nteen ble utvidet.\nmed var det', ' servitrise og aldri kunne tenke seg å bli']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hushjelp på sitt eget hjemsted i Norge', ' danser, koreograf og skuespiller helt siden hun', ' tibetanske lamaer.\noppfost', ' sekretær, uten noen formelle kvalifikssjoner for', ' skuespillerinne. Et slikt yrke ble ansett som']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester på Ørje i 1856.\nTrø', ' bestyrerinne i 1948. Denne stillingen hadde hun', ' generalsekretær for å arbeide med den nye boken. Hun', ' lektor i religionshistorie ved universitet i Oslo', ' selskapets disponent samme år. Hans far var kontors']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som var le', ' frisør i USA og drev eget firma der. Men', ' servitøren på et mindre hotell i et mindre', ' ekspeditri sse, men hadde vært mye å', ' vaskehjelp på flyplasser, ble arrestert og']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en annen plan for fremtiden. Hun vil', ' forfatter. Den er et oppgjør med mannssamfunn', ' stjerne i en film.\nlure seg unna,', ' like berømt som sitt idol, og legger en', ' detektiv når hun blir voksen, og har']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikar for å tjene penger og lære seg å', ' sommervikar i et forsikringsselskap i studietiden', ' frivillig i en menighet, som ungdomsleder eller bare', ' vaktmestre når vaktmestrene var blitt gamle']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' avisbud, hushjelp eller annen ufagl', ' hushjelp, kokke, barnepike, g', ' hushjelp eller huslærer, blir ikke noe å', ' gategutt og gatejente. Jenta har', ' fisker og går derfor under navnet Tormod. De']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt iet trykkeri i Wien', ' bud, og begynte som yngstemann på lag', ' kontorist i et Oslo-firma. Han viste', ' hjelpemann hos sin onkel i butikken, og', ' lærling på et kontor i et av Kristiansands store']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
