raw,identity,number,category,type,filled_words,honest_categories,ddp,ddf,svp,cds,dmc,rci,an,asf,qas,asm,ps,re,om,pr,pa,or,is,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' sekretær for en filmskaper og regissør. Det er', ' syerske på en fabrikk i stedet. For hun var', '. Men etter å ha tenkt seg om en stund', ' lærer. Men det vil ikke foreldrene. De vil', ' modell i New York.\n– Jeg visste ingenting om mote']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «myk, men hard forhandler.» Som', ' spåkone på Karl Johan. Hun hevder', ' modell og skuespiller.\nGreenpeace, der hun også', ' syerske siden hun kom til Eng land fra sitt', ' stripper i åtte år på den lokale puben,']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' professor på Kunsthøgskolen i Oslo (KHi', ' prosjektleder ved Kvinneklinikken.\n-Jeg ble satt', ' fastlege ved Stokmarknes legesenter i', ' overhode for administrasjonen. Det er klart at', ' fastlege og helsesøster i 2002. Da gikk']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisør. - Jeg ble mobbet og trakk meg', ' lærer og i helsesektoren gjennom et langt yrkesliv', ' lærer ved Skøyenåsen skole fra 2004-2011', ' modell. Hun var imidlertid mest kjent som «den', ' barnepleier en periode. Også her var det litt spesielt']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kiowatown».', ', må hun også ta et annet stort valg. For', ' - for eksempel å bli skuespiller, kunstnert', ' rik og berømt, og få sjansen til å', '. Adelén har gjort det kjempebra i']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell under oppvek sten. Det ble isteden', ' journalist. Men hun er mer bekymret for at hun', ' tolk og sjåfør for UDI – Document\nAv:', ' vaskedame for å ha råd til å bo', ' lærer på barnetrinnet. I stedet ble drømmen til']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, sjåfør, servitør og', ' skuespiller og fotograf - Jeg håper at jeg har ar', ' prostituert i tre år. Det har derfor vært', ' prostituert. Hun gir de to en siste sjanse', ' prostituert i Oslo og København. Nå er']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' renholder i kommunen, men for de eldre som var', ' renholder i selskapet i 1999.\n2004 opp', ' ekstra hjelp ved skolefritidsordningen, mener retten', ' sy kepleier på sykehuset. Hun fikk straks en', ' rektor ved Kråkstad skole og senere overfly']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontorer.\nH', ' tannlegeassistent. FOTO:', ' lærer i Sør-Varanger på 1970- og', ' hushjelp på Koh Tao. Hun har tidligere', ' hushjelp, mens hennes to søstre var vaske']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' lærer. Jeg tror ikke det er lett å finne', ' forfatter når hun blir stor. Hun er en sterk og', ' en supermodell som sin datter (bildet). -', '. Men om natten går drømmer i oppfyllelse', ' ballett danser. Hun forsøker å danke ut']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' renho der for å spe på barnetrygden.', ' lærer. I dag er datteren ansatt som forsker ved', ' prostituert for å betale narkogjeld og', ' avisbud for å skaffe penger til det nye skole', ' sykepleier.']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags prostituert, og for dette har hun', ' prostituert i Thailand. Ifølge det th', ' prostituert. De ønsker bare å hjelpe henne til', ' en «drømmer», en jente som bruker', ' prostituert i årevis. Hun har nå']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på heltid, etter mange år som vaskehjelp', ' praktikant hos den bedragerisiktede Oslo', ' servitør, men hun ble også involvert i restaurant', ' daglig leder ved Tors kauen barnehage i', ' vikar, forteller at hun ble så forbannet at']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' assistent på en skole i Sarpsborg.\n– Hun var på', ' vikar. Hun tok seg av de svakeste og', ' kokk på et hotell og en natt, var', ' prostituert. Jentene som ble solgt i R', ' vaskehjelp i banken.']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun tegner og syr klær', ' profesjonell fotballspiller, og blir av sin mor satt', ' profesjonell danser, i motsetning til broren som skal', ' film stjerne.\n- Hun er kjempeskummel og', ' lege. Hun har et stort hjerte, hun er']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør istedet for å søke på sykepleier', ' servitrise i stedet for som journalist! Det', ' frilansskribent. Nå må hun i fengsel', ' lærling til hun er 19 år, med seks måneders ut', ' vanlig. Man bør kunne stille seg litt kritisk til']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i en år rekke. Hun forteller', ' prostitusjon eller menneskehandel. Det er vanskelig å', ' barnepike for famili en de siste seks', ' stue pike på et hotell i London. Men nå', ' prostituert. Hun ble i juli i fjor pågrepet']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' au pair hos familien i 2010. Da hun etter fem', ' lærling i frisørsalongen i august i fjor.', ' praktikant på skolen kort tid i forveien.\nN', ' hjelpepleier av Bodø kommune i januar 2012.\nHjel', ' kontorassistent ved ligningskontoret i september 198']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor.', ' lærling ved Gate Gourmet. De som hadde', ' assistent i et fjøs under utdanning. Jenten ble', ' lærling på en kantine i Bergen da hun i', ' renholder på skolen og hadde kommet til skolen i']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er drømmen min, helt', ' lege. Så ble hun syk. – Mange tenker', ' en skue spiller. Hun øver på talen', ' motedesigner, men da er det godt med', ' skuespiller. - Jeg har drevet en del med te']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe i den dur.\nJeg ble litt overrask', ' fri sør.\nHun er klar på at man må være', ' stripper på et hotell i Las Vegas. Det', ' au pair i et rikere land for å tjene', ' assistent i stedet for som sykepleier på et sykehus.']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' prostituert. Han er også dømt til å betale', ' prostituert, en søster som også viser seg å', ' hushjelp i mange år.\nForan ham ligger den', ' gate artist i New York. Nå skal de sammen', ' prostituert og narko man. Nå er']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Koh ler. Jeg er', ' prosjektleder, hadde det en positiv effekt for å', ' daglig leder i desember i fjor. Dette gikk ikke helt', ' ny rektor ved Svinndal Skule i januar', ' sek retær i Hydra. I august samme']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent.', ' lærer. Men da hun ble innkalt til job', ' tolk for tyske soldater, og på den måten fikk', ' praktikant på det kjente hotellet Burj Al Arab', ' sykepleier, og da skjønte jeg med en gang at']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger. Men det blir ikke lett når man er', ' filmstjerne.', ' proff spiller på landslaget. De spiller håndball fordi det', ' filmstjerne. For å komme i mål er', ' gift med sin elsker, en flyver som skal']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lærer på videregående. Det vil i så fall', ' en slave i stedet for å ta seg fri', ' lege og ta seg av henne når hun hadde fått', ' modell. De sier ikke noe navn, men på bilder', ' barnepleier hvis han fikk velge. Foto:']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' prostituert i New York, men vi kommer aldri', ' stripper. Det er nesten så man kan høre', ' lærerinne, og hun sier at hun ikke akkurat', ' selger av bruktbiler. Under en tur på Oslo', ' gateselger, en annen er et gammelt ekte']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, mens han seiv gikk', ' redaktør i 1980. - Men han har hele tida', ' skolestyrer ved Finneidfjord barne- og', ' rådmann. Den tidligere rådmannen var også enig', ' vikar i en full stilling som lærerassistent']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden hun sluttet der', ' jordmor på det lokale sykehuset etter å ha blitt', ' jordmor på en fødeklinikk i hovedstaden. Det', ' daglig leder ved en SFO-avdeling i kommu']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør niesen. T', ' en ny Lotta Engberg eller Sanna Nielsen', ' skuespiller.\nOda Tærud Westengen. S', ' en verdensstjerne. Foto:\nPÅ VEG', ' filmstjerne.\ndeg. I mellomtiden kan']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' lærer, og ha et yrke der man kommer', ' frivillig under den lokale festivalen? Det er en av', ' lærling i en bedrift for en periode, og så får', ' håndverker eller gartner i nærheten av hjemmet.\n–', ' lærer i stedet for å reise ut å studere mer.']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' kokk, må vel også bli en smidign', ' «dagarbeider, skogsarbeider og fisker».', ' musiker, men nå jobber han mest med å restaur', ' bud eller ærendsgutt. Nå blir han', ' fisker, er blitt innlemmet i det']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' «kjøk- Han kom hit fra Aales', ' praktikant i hans bedrift, og det gikk altså', ' assisterende lagersjef.\ngen var han best', ' en av landets yngste advokater da han var 24', ' journalist i Arbeiderbladet i 1939 og etter krigen']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
